Date,us_10year_bond_futures
5/3/82,63.5
5/4/82,64
5/5/82,64.12
5/6/82,65.06
5/7/82,65.31
5/10/82,65.19
5/11/82,65.31
5/12/82,64.94
5/13/82,64.75
5/14/82,65.19
5/17/82,64.75
5/18/82,64.94
5/19/82,64.62
5/20/82,65.19
5/21/82,65.06
5/24/82,65.06
5/25/82,64.88
5/26/82,64.5
5/27/82,64.38
5/28/82,64.38
6/1/82,63.69
6/2/82,63.88
6/3/82,63.88
6/4/82,63.5
6/7/82,63.69
6/8/82,63.62
6/9/82,63.62
6/10/82,63.44
6/11/82,63.88
6/14/82,62.88
6/15/82,62.88
6/16/82,62.69
6/17/82,62.12
6/18/82,61.5
6/21/82,61.62
6/22/82,61.25
6/23/82,61.06
6/24/82,61.06
6/25/82,60.94
6/28/82,61.19
6/29/82,61.38
6/30/82,62
7/1/82,62.19
7/2/82,61.75
7/6/82,61.88
7/7/82,62.12
7/8/82,62.94
7/9/82,63.5
7/12/82,63.94
7/13/82,63.31
7/14/82,63.06
7/15/82,63.5
7/16/82,64.5
7/19/82,64.62
7/20/82,64.88
7/21/82,64.5
7/22/82,64.88
7/23/82,64.62
7/26/82,63.5
7/27/82,63.69
7/28/82,63.31
7/29/82,64.06
7/30/82,64.5
8/2/82,65.44
8/3/82,65
8/4/82,64.94
8/5/82,64.75
8/6/82,64.06
8/9/82,64.69
8/10/82,64.62
8/11/82,64.56
8/12/82,65.19
8/13/82,65.94
8/16/82,66.69
8/17/82,68.19
8/18/82,68.94
8/19/82,68.88
8/20/82,69.75
8/23/82,68.94
8/24/82,69.56
8/25/82,69.06
8/26/82,68.56
8/27/82,67.62
8/30/82,68
8/31/82,67.81
9/1/82,68.06
9/2/82,68.56
9/3/82,69.19
9/7/82,69
9/8/82,69.06
9/9/82,69
9/10/82,68.06
9/13/82,68.81
9/14/82,68.88
9/15/82,68.81
9/16/82,68.62
9/17/82,69.12
9/20/82,69.31
9/21/82,69.56
9/22/82,69.56
9/23/82,69.94
9/24/82,69.44
9/27/82,69.56
9/28/82,70
9/29/82,70
9/30/82,70.25
10/1/82,71.06
10/4/82,69.94
10/5/82,70.12
10/6/82,70.94
10/7/82,72.69
10/8/82,73.12
10/11/82,74.88
10/12/82,74.75
10/13/82,75.12
10/14/82,74.25
10/15/82,73.62
10/18/82,74.38
10/19/82,74.69
10/20/82,74.31
10/21/82,74.44
10/22/82,73.75
10/25/82,72.62
10/26/82,73.5
10/27/82,73.19
10/28/82,73.94
10/29/82,74.56
11/1/82,75.12
11/3/82,75.69
11/4/82,75.75
11/5/82,75.31
11/8/82,75.12
11/9/82,75.25
11/10/82,75.31
11/11/82,74.75
11/12/82,75.12
11/15/82,74.75
11/16/82,74.25
11/17/82,75
11/18/82,75.44
11/19/82,75.56
11/22/82,75.25
11/23/82,74.94
11/24/82,74.88
11/26/82,74.5
11/29/82,73.75
11/30/82,73.88
12/1/82,74.12
12/2/82,74.5
12/3/82,75.44
12/6/82,75.5
12/7/82,75.31
12/8/82,74.75
12/9/82,74.88
12/10/82,74.31
12/13/82,74.88
12/14/82,75.31
12/15/82,75.19
12/16/82,74.69
12/17/82,74.88
12/20/82,74.81
12/21/82,74.56
12/22/82,74.38
12/23/82,74.75
12/27/82,75.12
12/28/82,75.12
12/29/82,74.88
12/30/82,74.94
1/3/83,75.69
1/4/83,75.38
1/5/83,75.44
1/6/83,75.31
1/7/83,75.31
1/10/83,75.44
1/11/83,75.75
1/12/83,75.88
1/13/83,76
1/14/83,76.12
1/17/83,76.12
1/18/83,76.12
1/19/83,75.56
1/20/83,75.44
1/21/83,74.69
1/24/83,74.19
1/25/83,74.69
1/26/83,74.31
1/27/83,74.38
1/28/83,74.19
1/31/83,73.81
2/1/83,73.88
2/2/83,73.88
2/3/83,73.56
2/4/83,73.31
2/7/83,73.5
2/8/83,73.5
2/9/83,73.44
2/10/83,74.06
2/11/83,74.31
2/14/83,74.31
2/15/83,74.12
2/16/83,74.44
2/17/83,75
2/18/83,75.56
2/22/83,76.12
2/23/83,75.88
2/24/83,76.12
2/25/83,76.88
2/28/83,76.62
3/1/83,77.06
3/2/83,76.88
3/3/83,77
3/4/83,76.69
3/7/83,76.12
3/8/83,75.75
3/9/83,75.75
3/10/83,75.56
3/11/83,75.44
3/14/83,75.88
3/15/83,76.12
3/16/83,75.88
3/17/83,75.75
3/18/83,75.75
3/21/83,75.69
3/22/83,75.69
3/23/83,75.25
3/24/83,75.44
3/25/83,75
3/28/83,75.06
3/29/83,75.19
3/30/83,75.31
3/31/83,75.19
4/4/83,75.31
4/5/83,75.94
4/6/83,76
4/7/83,75.81
4/8/83,75.69
4/11/83,76.19
4/12/83,76.19
4/13/83,76.31
4/14/83,77
4/15/83,76.75
4/18/83,77
4/19/83,76.31
4/20/83,76.44
4/21/83,76.12
4/22/83,76.19
4/25/83,76.31
4/26/83,76.56
4/27/83,76.94
4/28/83,77
4/29/83,77.12
5/2/83,77.12
5/3/83,77.25
5/4/83,77.75
5/5/83,77.44
5/6/83,77.56
5/9/83,77.06
5/10/83,77.44
5/11/83,77.31
5/12/83,77.19
5/13/83,77.25
5/16/83,76.56
5/17/83,76.38
5/18/83,76.31
5/19/83,75.88
5/20/83,75.75
5/23/83,75.69
5/24/83,75.75
5/25/83,75.69
5/26/83,75.44
5/27/83,75.38
5/31/83,74.56
6/1/83,74.88
6/2/83,74.88
6/3/83,74.75
6/6/83,75
6/7/83,74.56
6/8/83,74.19
6/9/83,74.5
6/10/83,74.44
6/13/83,75.19
6/14/83,75
6/15/83,75.19
6/16/83,75.56
6/17/83,75.31
6/20/83,74.88
6/21/83,75
6/22/83,74
6/23/83,73.88
6/24/83,73.19
6/27/83,72.69
6/28/83,73.06
6/29/83,73.38
6/30/83,73.62
7/1/83,73.69
7/5/83,72.31
7/6/83,72.5
7/7/83,72.12
7/8/83,71.75
7/11/83,72.12
7/12/83,71.44
7/13/83,71.56
7/14/83,71.62
7/15/83,71.19
7/18/83,71.88
7/19/83,72.12
7/20/83,72.31
7/21/83,72.12
7/22/83,71.56
7/25/83,71.81
7/26/83,71.5
7/27/83,71.44
7/28/83,70.75
7/29/83,70.38
8/1/83,70.31
8/2/83,70.44
8/3/83,70.44
8/4/83,69.62
8/5/83,69.75
8/8/83,69.44
8/9/83,69.56
8/10/83,69.31
8/11/83,69.75
8/12/83,70.31
8/15/83,71.12
8/16/83,71.25
8/17/83,71.75
8/18/83,71.38
8/19/83,71.12
8/22/83,72.19
8/23/83,72
8/24/83,72.12
8/25/83,71.75
8/26/83,71.75
8/29/83,70.81
8/30/83,70.62
8/31/83,70.19
9/1/83,70.44
9/2/83,70.19
9/6/83,71.06
9/7/83,71.5
9/8/83,71.38
9/9/83,71.56
9/12/83,72
9/13/83,71.94
9/14/83,71.31
9/15/83,71.06
9/16/83,71.62
9/19/83,71.81
9/20/83,72.12
9/21/83,72.12
9/22/83,71.56
9/23/83,72.12
9/26/83,72.44
9/27/83,72.19
9/28/83,72.12
9/29/83,72.12
9/30/83,72.25
10/3/83,72.12
10/4/83,72.12
10/5/83,72.75
10/6/83,72.75
10/7/83,72.62
10/10/83,72.31
10/11/83,71.62
10/12/83,71.56
10/13/83,71.38
10/14/83,71.75
10/17/83,72.19
10/18/83,71.88
10/19/83,72.19
10/20/83,72.12
10/21/83,72.44
10/24/83,71.44
10/25/83,71.25
10/26/83,71.31
10/27/83,71.25
10/28/83,71.19
10/31/83,71
11/1/83,71.25
11/2/83,71.19
11/3/83,71
11/4/83,70.56
11/7/83,70.62
11/8/83,70.75
11/9/83,70.62
11/10/83,71.19
11/11/83,71.75
11/14/83,71.44
11/15/83,71.31
11/16/83,71.25
11/17/83,71.25
11/18/83,71.19
11/21/83,71.56
11/22/83,72
11/23/83,71.88
11/25/83,72.12
11/28/83,71.69
11/29/83,72
11/30/83,71.75
12/1/83,71.69
12/2/83,71.19
12/5/83,71.12
12/6/83,71.19
12/7/83,71.06
12/8/83,70.62
12/9/83,70.56
12/12/83,70.75
12/13/83,70.44
12/14/83,70.31
12/15/83,70.44
12/16/83,70.75
12/19/83,70.88
12/20/83,71
12/21/83,70.31
12/22/83,70.62
12/23/83,70.56
12/27/83,70.75
12/28/83,70.44
12/29/83,70.56
12/30/83,70.5
1/3/84,70.31
1/4/84,70.62
1/5/84,70.62
1/6/84,70.81
1/9/84,70.75
1/10/84,71
1/11/84,70.81
1/12/84,70.75
1/13/84,71.56
1/16/84,71.62
1/17/84,71.56
1/18/84,71.38
1/19/84,71.44
1/20/84,71.31
1/23/84,71.44
1/24/84,71.44
1/25/84,71.44
1/26/84,71.5
1/27/84,71.44
1/30/84,71.38
1/31/84,71.38
2/1/84,71.44
2/2/84,71.75
2/3/84,71.75
2/6/84,71.5
2/7/84,71.44
2/8/84,71.44
2/9/84,71.31
2/10/84,71
2/13/84,70.62
2/14/84,70.88
2/15/84,71
2/16/84,71
2/17/84,70.56
2/21/84,70.69
2/22/84,70.62
2/23/84,70.06
2/24/84,70.44
2/27/84,70.12
2/28/84,70.06
2/29/84,70.31
3/1/84,70.19
3/2/84,70.5
3/5/84,70.12
3/6/84,70.06
3/7/84,69.56
3/8/84,69.56
3/9/84,69.44
3/12/84,69.56
3/13/84,69.44
3/14/84,69.19
3/15/84,69.25
3/16/84,69.12
3/19/84,68.75
3/20/84,68.75
3/21/84,68.81
3/22/84,67.88
3/23/84,67.75
3/26/84,67.88
3/27/84,67.88
3/28/84,68.12
3/29/84,68.31
3/30/84,67.81
4/2/84,67.75
4/3/84,67.5
4/4/84,67.44
4/5/84,67.56
4/6/84,68.06
4/9/84,68.19
4/10/84,68
4/11/84,68.06
4/12/84,68.44
4/13/84,67.81
4/16/84,67.62
4/17/84,67.81
4/18/84,67.25
4/19/84,66.94
4/23/84,66.94
4/24/84,67.19
4/25/84,67.31
4/26/84,67.44
4/27/84,67.06
4/30/84,66.94
5/1/84,66.94
5/2/84,66.88
5/3/84,66.88
5/4/84,66.25
5/7/84,65.94
5/8/84,66.25
5/9/84,65.75
5/10/84,65.62
5/11/84,64.62
5/14/84,64.44
5/15/84,64.88
5/16/84,65.25
