Date,jpy_bond_price
8/8/02,139.93
8/9/02,140.16
8/12/02,140.27
8/13/02,140.1
8/14/02,140.42
8/15/02,140.39
8/16/02,140.27
8/19/02,140.42
8/20/02,140.32
8/21/02,140.53
8/22/02,140.59
8/23/02,140.7
8/26/02,140.77
8/27/02,140.96
8/28/02,140.91
8/29/02,141.31
8/30/02,141.33
9/2/02,141.44
9/3/02,141.31
9/4/02,141.04
9/5/02,141.32
9/6/02,141.65
9/9/02,141.64
9/10/02,141.33
9/11/02,141.28
9/12/02,141.42
9/13/02,141.28
9/17/02,141.15
9/18/02,139.59
9/19/02,140.19
9/20/02,139.38
9/24/02,139.59
9/25/02,139.78
9/26/02,139.93
9/27/02,140.06
9/30/02,140.39
10/2/02,140.63
10/3/02,140.81
10/4/02,140.79
10/7/02,140.58
10/8/02,140.59
10/9/02,140.87
10/10/02,141.26
10/11/02,141.35
10/15/02,141.7
10/16/02,141.62
10/17/02,141.38
10/18/02,141.38
10/21/02,141.53
10/22/02,141.27
10/23/02,141.38
10/24/02,141.41
10/25/02,141.46
10/28/02,141.59
10/29/02,141.7
10/30/02,141.64
10/31/02,141.98
11/1/02,142.09
11/5/02,142.16
11/6/02,141.92
11/7/02,141.88
11/8/02,142.01
11/11/02,142.26
11/12/02,142.21
11/13/02,142.14
11/14/02,141.67
11/15/02,141.73
11/18/02,141.61
11/19/02,141.85
11/20/02,141.61
11/21/02,141.38
11/22/02,141.66
11/25/02,142.12
11/26/02,142.3
11/27/02,142.19
11/28/02,142.34
11/29/02,142.14
12/2/02,142.12
12/3/02,141.97
12/4/02,141.9
12/5/02,141.75
12/6/02,141.85
12/9/02,141.89
12/10/02,142.11
12/11/02,141.54
12/12/02,141.58
12/13/02,141.63
12/16/02,141.98
12/17/02,142.01
12/18/02,141.93
12/19/02,141.91
12/20/02,141.8
12/24/02,142.03
12/25/02,142
12/26/02,141.88
12/27/02,141.99
12/30/02,142.06
1/6/03,142
1/7/03,141.97
1/8/03,142.04
1/9/03,142.05
1/10/03,141.82
1/14/03,141.77
1/15/03,142.19
1/16/03,142.45
1/17/03,142.47
1/20/03,142.45
1/21/03,142.42
1/22/03,142.56
1/23/03,142.54
1/24/03,142.75
1/27/03,142.87
1/28/03,142.84
1/29/03,142.94
1/30/03,142.97
1/31/03,142.71
2/3/03,142.74
2/4/03,142.63
2/5/03,142.44
2/6/03,142.57
2/7/03,142.66
2/10/03,142.78
2/12/03,142.56
2/13/03,142.58
2/14/03,142.64
2/17/03,142.37
2/18/03,142.41
2/19/03,142.42
2/20/03,142.64
2/21/03,142.88
2/24/03,143.06
2/25/03,143.17
2/26/03,143.09
2/27/03,143.15
2/28/03,143.16
3/3/03,143.14
3/4/03,143.36
3/5/03,143.28
3/6/03,143.34
3/7/03,143.38
3/10/03,143.36
3/11/03,143.01
3/12/03,143.1
3/13/03,143.02
3/14/03,142.9
3/17/03,143.09
3/18/03,143.04
3/19/03,143.06
3/20/03,142.73
3/24/03,142.78
3/25/03,142.98
3/26/03,142.9
3/27/03,142.71
3/28/03,142.69
3/31/03,143.05
4/1/03,143
4/2/03,142.9
4/3/03,142.88
4/4/03,142.84
4/7/03,142.52
4/8/03,142.73
4/9/03,143
4/10/03,142.9
4/11/03,142.98
4/14/03,143.08
4/15/03,143.16
4/16/03,143.21
4/17/03,143.27
4/18/03,143.31
4/21/03,143.37
4/22/03,143.34
4/23/03,143.29
4/24/03,143.47
4/25/03,143.46
4/28/03,143.56
4/30/03,143.55
5/1/03,143.68
5/2/03,143.71
5/6/03,143.74
5/7/03,143.84
5/8/03,143.89
5/9/03,143.94
5/12/03,143.97
5/13/03,143.92
5/14/03,143.91
5/15/03,144
5/16/03,144.16
5/19/03,143.99
5/20/03,144.1
5/21/03,144.18
5/22/03,144.2
5/23/03,144.25
5/26/03,144.5
5/27/03,144.57
5/28/03,144.65
5/29/03,144.78
5/30/03,144.77
6/2/03,144.73
6/3/03,144.82
6/4/03,144.8
6/5/03,144.93
6/6/03,144.97
6/9/03,144.91
6/10/03,145.02
6/11/03,144.66
6/12/03,144.89
6/13/03,144.82
6/16/03,144.71
6/17/03,144.43
6/18/03,143.65
6/19/03,142.78
6/20/03,143.45
6/23/03,142.95
6/24/03,142.95
6/25/03,143.21
6/26/03,143.14
6/27/03,142.43
6/30/03,141.74
7/1/03,141.52
7/2/03,141.01
7/3/03,139.84
7/4/03,140.39
7/7/03,139.54
7/8/03,139.1
7/9/03,140.16
7/10/03,140.75
7/11/03,140.71
7/14/03,140.33
7/15/03,139.88
7/16/03,140.43
7/17/03,140.85
7/18/03,141.04
7/21/03,140.96
7/22/03,141.3
7/23/03,141.25
7/24/03,140.6
7/25/03,141.6
7/28/03,141.73
7/29/03,141.75
7/30/03,141.9
7/31/03,141.7
8/1/03,141.44
8/4/03,141.43
8/5/03,141.93
8/6/03,141.85
8/7/03,141.88
8/8/03,142.15
8/11/03,141.96
8/12/03,141.9
8/13/03,141.22
8/14/03,140.25
8/15/03,140.54
8/18/03,139.65
8/19/03,138.61
8/20/03,138.55
8/21/03,138.7
8/22/03,138.59
8/26/03,137.34
8/27/03,138.03
8/28/03,137.45
8/29/03,137.28
9/1/03,136.06
9/2/03,134.75
9/3/03,135.67
9/4/03,136.3
9/5/03,136.98
9/8/03,136.74
9/9/03,136.05
9/11/03,136.14
9/12/03,136.05
9/15/03,135.82
9/16/03,136.24
9/17/03,136.58
9/18/03,137.01
9/19/03,137.35
9/22/03,138.55
9/23/03,138.62
9/24/03,138.21
9/25/03,137.31
9/26/03,136.84
9/29/03,136.77
9/30/03,137.24
10/1/03,136.95
10/2/03,137.35
10/3/03,137.35
10/6/03,137.5
10/7/03,137.71
10/8/03,137.87
10/9/03,138.34
10/10/03,137.89
10/13/03,137.79
10/14/03,136.69
10/15/03,136.9
10/16/03,137.06
10/17/03,136.75
10/20/03,135.93
10/21/03,136.44
10/22/03,136.95
10/23/03,137.65
10/24/03,137.66
10/27/03,137.73
10/28/03,137.26
10/29/03,137.21
10/30/03,136.76
10/31/03,136.9
11/3/03,136.4
11/4/03,136.62
11/5/03,136.59
11/6/03,136.11
11/7/03,136.1
11/10/03,136.5
11/11/03,137.78
11/12/03,137.72
11/13/03,137.68
11/14/03,138.23
11/17/03,138.7
11/18/03,138.49
11/19/03,138.38
11/20/03,138.08
11/21/03,138.26
11/24/03,138
11/25/03,138.1
11/26/03,138.17
11/27/03,138.05
11/28/03,138.4
12/1/03,137.72
12/2/03,137.4
12/3/03,137.25
12/4/03,137.34
12/5/03,138.05
12/8/03,138.1
12/9/03,137.86
12/10/03,138.09
12/11/03,137.88
12/12/03,138.48
12/15/03,137.87
12/16/03,138.21
12/17/03,138.21
12/18/03,138.05
12/19/03,138.18
12/22/03,138.46
12/23/03,138.4
12/24/03,138.42
12/29/03,137.91
12/30/03,137.8
12/31/03,137.78
1/2/04,137.55
1/5/04,137.35
1/6/04,137.98
1/7/04,137.95
1/8/04,137.86
1/9/04,138.41
1/12/04,138.72
1/13/04,138.7
1/14/04,138.69
1/15/04,138.83
1/16/04,139.16
1/19/04,138.68
1/20/04,138.52
1/21/04,138.56
1/22/04,138.83
1/23/04,138.8
1/26/04,139
1/27/04,139.08
1/28/04,138.94
1/29/04,138.78
1/30/04,139.03
2/2/04,139.04
2/3/04,139.27
2/4/04,139.53
2/5/04,139.74
2/6/04,139.8
2/9/04,139.77
2/10/04,139.86
2/11/04,139.84
2/12/04,139.65
2/13/04,139.66
2/16/04,139.58
2/17/04,139.31
2/18/04,139.83
2/19/04,139.82
2/20/04,140
2/23/04,139.98
2/24/04,140.24
2/25/04,140.34
2/26/04,140.1
2/27/04,139.88
3/1/04,139.35
3/2/04,138.8
3/3/04,138.19
3/4/04,138.46
3/5/04,138.65
3/8/04,138.88
3/9/04,138.57
3/10/04,138.84
3/11/04,139.48
3/12/04,139.35
3/15/04,139.16
3/16/04,139.21
3/17/04,138.92
3/18/04,138.9
3/19/04,138.15
3/22/04,138.55
3/23/04,138.65
3/24/04,139.05
3/25/04,138.87
3/26/04,137.73
3/29/04,137.06
3/30/04,137.36
3/31/04,137.32
4/1/04,137.8
4/2/04,137.08
4/5/04,137.07
4/6/04,136.98
4/7/04,137.3
4/8/04,137.19
4/13/04,137.03
4/14/04,136.69
4/15/04,137.23
4/16/04,137.51
4/19/04,137.75
4/20/04,137.17
4/21/04,136.89
4/22/04,137.35
4/23/04,137.38
4/26/04,137.31
4/27/04,137.53
4/28/04,137.43
4/29/04,137.54
4/30/04,137.31
5/4/04,137.48
5/5/04,137.54
5/6/04,137.95
5/7/04,137.87
5/10/04,137.99
5/11/04,137.57
5/12/04,137.7
5/13/04,138.16
5/14/04,138.17
5/17/04,139
5/18/04,138.16
5/19/04,138.09
5/20/04,138.56
5/21/04,138.63
5/24/04,138.43
5/25/04,138.68
5/26/04,138.62
5/27/04,138.5
5/28/04,137.9
6/1/04,137.71
6/2/04,137.64
6/3/04,137.68
6/4/04,137.45
6/7/04,136.76
6/8/04,136.54
6/9/04,134.63
6/10/04,134.6
6/11/04,134.52
6/14/04,134.27
