Date,uk_gilt
9/1/98,111.94
9/2/98,111.88
9/3/98,112.31
9/4/98,112.25
9/8/98,112.31
9/9/98,112.81
9/10/98,114
9/11/98,113.75
9/14/98,113.62
9/15/98,114.06
9/16/98,114.12
9/17/98,115.06
9/18/98,115
9/21/98,115.56
9/22/98,115.19
9/23/98,114.69
9/24/98,114.62
9/25/98,114.94
9/28/98,115.56
9/29/98,115.38
9/30/98,116
10/1/98,117.5
10/2/98,118.19
10/5/98,118.56
10/6/98,117.69
10/7/98,117.5
10/8/98,116.38
10/9/98,113.69
10/12/98,113
10/13/98,113.81
10/14/98,114.38
10/15/98,114.5
10/16/98,114.5
10/19/98,115
10/20/98,114.44
10/21/98,114.38
10/22/98,113.94
10/23/98,113.25
10/26/98,113.81
10/27/98,114.44
10/28/98,114.12
10/29/98,114.62
10/30/98,114.38
11/2/98,113.88
11/3/98,115.06
11/4/98,114.56
11/5/98,114.62
11/6/98,113.62
11/9/98,114.38
11/10/98,114.88
11/11/98,114.38
11/12/98,114.88
11/13/98,115.12
11/16/98,115.19
11/17/98,115.5
11/18/98,116.38
11/19/98,116.25
11/20/98,115.94
11/23/98,116.12
11/24/98,115.94
11/25/98,116.12
11/27/98,116.69
11/30/98,117.25
12/1/98,117.44
12/2/98,117.44
12/3/98,117.5
12/4/98,117.5
12/7/98,117.5
12/8/98,117.88
12/9/98,118.44
12/10/98,118.75
12/11/98,118.81
12/14/98,118.56
12/15/98,118.62
12/16/98,118.44
12/17/98,118.62
12/18/98,118.62
12/21/98,118.25
12/22/98,117.94
12/23/98,118.62
12/24/98,118.44
12/29/98,118.69
12/30/98,119.12
1/4/99,119.62
1/5/99,119.25
1/6/99,119.19
1/7/99,119.5
1/8/99,119.62
1/11/99,119.25
1/12/99,118.75
1/13/99,119.5
1/14/99,119.69
1/15/99,119.44
1/19/99,119.31
1/20/99,120.25
1/21/99,120.12
1/22/99,120.56
1/25/99,120.06
1/26/99,120.25
1/27/99,120.12
1/28/99,120.06
1/29/99,120.25
2/1/99,120.06
2/2/99,119.88
2/3/99,119.44
2/4/99,118.62
2/5/99,119
2/8/99,118.19
2/9/99,118.69
2/10/99,118.56
2/11/99,118.44
2/12/99,117.25
2/16/99,117.12
2/17/99,117.06
2/18/99,117
2/19/99,117.31
2/22/99,117.56
2/23/99,117.88
2/24/99,117.69
2/25/99,117.25
2/26/99,116.94
3/1/99,116.12
3/2/99,116.25
3/3/99,115.5
3/4/99,115.44
3/5/99,116.62
3/8/99,116.38
3/9/99,115.62
3/10/99,116
3/11/99,116.56
3/12/99,116.62
3/15/99,116.62
3/16/99,117.25
3/17/99,117.69
3/18/99,117.69
3/19/99,117.56
3/22/99,117.38
3/23/99,117.19
3/24/99,117.06
3/25/99,117.19
3/26/99,116.75
3/29/99,116.75
3/30/99,117
3/31/99,117.38
4/1/99,117
4/6/99,117.94
4/7/99,118
4/8/99,117.88
4/9/99,118.31
4/12/99,118.31
4/13/99,118
4/14/99,117.94
4/15/99,117.12
4/16/99,117
4/19/99,117.25
4/20/99,117.38
4/21/99,117.38
4/22/99,116.94
4/23/99,116.88
4/26/99,116.5
4/27/99,116.5
4/28/99,116.12
4/29/99,116.62
4/30/99,116.12
5/4/99,115.19
5/5/99,115.12
5/6/99,114.69
5/7/99,114.62
5/10/99,114.81
5/11/99,114.81
5/12/99,115.19
5/13/99,115.81
5/14/99,114.38
5/17/99,114.31
5/18/99,114.12
5/19/99,114.12
5/20/99,114.44
5/21/99,114.56
5/24/99,114.81
5/25/99,114.88
5/26/99,114.81
5/27/99,114.25
5/28/99,113.5
6/1/99,112.75
6/2/99,112.62
6/3/99,112.69
6/4/99,112.56
6/7/99,112.81
6/8/99,112.44
6/9/99,112.25
6/10/99,111.38
6/11/99,111.56
6/14/99,111.69
6/15/99,112.56
6/16/99,112.5
6/17/99,112.94
6/18/99,112.88
6/21/99,112.06
6/22/99,111.31
6/23/99,111.06
6/24/99,109.94
6/25/99,110.75
6/28/99,110.81
6/29/99,110.94
6/30/99,111.31
7/1/99,110.69
7/2/99,111.19
7/6/99,110.31
7/7/99,109.94
7/8/99,109.69
7/9/99,109.94
7/12/99,110.44
7/13/99,110.81
7/14/99,110.75
7/15/99,110.06
7/16/99,110.25
7/19/99,110.19
7/20/99,110
7/21/99,110.44
7/22/99,110.62
7/23/99,110.06
7/26/99,109.94
7/27/99,110.06
7/28/99,110
7/29/99,109.06
7/30/99,109
8/2/99,109.38
8/3/99,108.94
8/4/99,109.06
8/5/99,108.62
8/6/99,107.5
8/9/99,108
8/10/99,108.19
8/11/99,108.38
8/12/99,109
8/13/99,109
8/16/99,109.06
8/17/99,109.19
8/18/99,109.88
8/19/99,110.5
8/20/99,111
8/23/99,110.62
8/24/99,110.5
8/25/99,111.31
8/26/99,111.19
8/27/99,110.75
8/31/99,110.62
9/1/99,109.19
9/2/99,108.12
9/3/99,108.69
9/7/99,107.75
9/8/99,107.06
9/9/99,107.06
9/10/99,106.56
9/13/99,106.31
9/14/99,106.19
9/15/99,106
9/16/99,106.56
9/17/99,107.19
9/20/99,106.81
9/21/99,106.5
9/22/99,106.19
9/23/99,106.31
9/24/99,106.81
9/27/99,106.19
9/28/99,106.06
9/29/99,105.88
9/30/99,106.44
10/1/99,105.5
10/4/99,105.81
10/5/99,105.88
10/6/99,105.94
10/7/99,106.12
10/8/99,105.88
10/11/99,105.81
10/12/99,105.44
10/13/99,105.38
10/14/99,104.56
10/15/99,104.88
10/18/99,105.19
10/19/99,105.25
10/20/99,105.12
10/21/99,105.38
10/22/99,105.38
10/25/99,104.81
10/26/99,105.31
10/27/99,106.75
10/28/99,107.19
10/29/99,108.31
11/1/99,108.31
11/2/99,109.31
11/3/99,108.94
11/4/99,110.25
11/5/99,110.38
11/8/99,110.19
11/9/99,109.69
11/10/99,109.62
11/11/99,109.75
11/12/99,110.69
11/15/99,110.56
11/16/99,111.31
11/17/99,110.44
11/18/99,109.88
11/19/99,109.75
11/22/99,109.19
