Date,us_2year_bond_futures,us_10year_bond_futures,us_30year_bond_features,uk_gilt,jpy_bond_price
1977-08-22,,,83.44,,
1977-08-23,,,83.81,,
1977-08-24,,,83.62,,
1977-08-25,,,83.88,,
1977-08-26,,,83.94,,
1977-08-29,,,84.0,,
1977-08-30,,,83.88,,
1977-08-31,,,84.06,,
1977-09-01,,,84.0,,
1977-09-02,,,84.38,,
1977-09-06,,,84.25,,
1977-09-07,,,84.06,,
1977-09-08,,,84.12,,
1977-09-09,,,83.75,,
1977-09-12,,,83.81,,
1977-09-13,,,84.0,,
1977-09-14,,,84.0,,
1977-09-15,,,84.06,,
1977-09-16,,,84.62,,
1977-09-19,,,84.69,,
1977-09-20,,,84.56,,
1977-09-21,,,85.62,,
1977-09-22,,,85.31,,
1977-09-23,,,85.44,,
1977-09-26,,,85.31,,
1977-09-27,,,85.5,,
1977-09-28,,,85.44,,
1977-09-29,,,85.44,,
1977-09-30,,,85.44,,
1977-10-03,,,85.19,,
1977-10-04,,,85.31,,
1977-10-05,,,85.31,,
1977-10-06,,,85.12,,
1977-10-07,,,84.94,,
1977-10-10,,,84.81,,
1977-10-11,,,84.56,,
1977-10-12,,,84.31,,
1977-10-13,,,84.31,,
1977-10-14,,,84.5,,
1977-10-17,,,84.44,,
1977-10-18,,,84.38,,
1977-10-19,,,84.5,,
1977-10-20,,,84.62,,
1977-10-21,,,84.44,,
1977-10-24,,,84.5,,
1977-10-25,,,84.31,,
1977-10-26,,,84.31,,
1977-10-27,,,83.19,,
1977-10-28,,,84.31,,
1977-10-31,,,83.88,,
1977-11-01,,,83.62,,
1977-11-02,,,83.56,,
1977-11-03,,,83.56,,
1977-11-04,,,83.81,,
1977-11-07,,,84.06,,
1977-11-08,,,84.19,,
1977-11-09,,,84.19,,
1977-11-10,,,84.19,,
1977-11-11,,,84.62,,
1977-11-14,,,84.44,,
1977-11-15,,,84.38,,
1977-11-16,,,84.44,,
1977-11-17,,,84.44,,
1977-11-18,,,84.56,,
1977-11-21,,,84.12,,
1977-11-22,,,84.25,,
1977-11-23,,,84.38,,
1977-11-25,,,84.25,,
1977-11-28,,,84.31,,
1977-11-29,,,83.38,,
1977-11-30,,,83.19,,
1977-12-01,,,83.12,,
1977-12-02,,,84.19,,
1977-12-05,,,82.88,,
1977-12-06,,,83.56,,
1977-12-07,,,82.62,,
1977-12-08,,,84.0,,
1977-12-09,,,84.0,,
1977-12-12,,,83.81,,
1977-12-13,,,83.75,,
1977-12-14,,,83.62,,
1977-12-15,,,83.5,,
1977-12-16,,,83.5,,
1977-12-19,,,82.81,,
1977-12-20,,,82.5,,
1977-12-21,,,82.56,,
1977-12-22,,,82.5,,
1977-12-23,,,81.88,,
1977-12-27,,,82.31,,
1977-12-28,,,81.69,,
1977-12-29,,,82.0,,
1977-12-30,,,82.56,,
1978-01-03,,,82.0,,
1978-01-04,,,82.12,,
1978-01-05,,,82.0,,
1978-01-06,,,81.56,,
1978-01-09,,,80.94,,
1978-01-10,,,80.94,,
1978-01-11,,,80.5,,
1978-01-12,,,80.75,,
1978-01-13,,,81.06,,
1978-01-16,,,80.69,,
1978-01-17,,,80.75,,
1978-01-18,,,80.75,,
1978-01-19,,,80.88,,
1978-01-20,,,80.88,,
1978-01-23,,,80.88,,
1978-01-24,,,80.69,,
1978-01-25,,,80.56,,
1978-01-26,,,80.75,,
1978-01-27,,,80.81,,
1978-01-30,,,80.88,,
1978-01-31,,,81.06,,
1978-02-01,,,80.75,,
1978-02-02,,,80.88,,
1978-02-03,,,80.75,,
1978-02-06,,,80.44,,
1978-02-07,,,80.31,,
1978-02-08,,,80.56,,
1978-02-09,,,80.31,,
1978-02-10,,,80.12,,
1978-02-13,,,80.12,,
1978-02-14,,,80.0,,
1978-02-15,,,79.81,,
1978-02-16,,,79.56,,
1978-02-17,,,79.88,,
1978-02-21,,,79.56,,
1978-02-22,,,79.81,,
1978-02-23,,,79.88,,
1978-02-24,,,80.25,,
1978-02-27,,,80.25,,
1978-02-28,,,80.0,,
1978-03-01,,,79.94,,
1978-03-02,,,80.12,,
1978-03-03,,,80.12,,
1978-03-06,,,80.12,,
1978-03-07,,,80.25,,
1978-03-08,,,80.38,,
1978-03-09,,,80.38,,
1978-03-10,,,80.5,,
1978-03-13,,,80.69,,
1978-03-14,,,80.56,,
1978-03-15,,,80.62,,
1978-03-16,,,80.62,,
1978-03-17,,,80.69,,
1978-03-20,,,80.94,,
1978-03-21,,,80.88,,
1978-03-22,,,80.5,,
1978-03-23,,,80.25,,
1978-03-27,,,79.94,,
1978-03-28,,,79.88,,
1978-03-29,,,80.0,,
1978-03-30,,,79.88,,
1978-03-31,,,79.56,,
1978-04-03,,,79.62,,
1978-04-04,,,79.88,,
1978-04-05,,,79.56,,
1978-04-06,,,79.56,,
1978-04-07,,,79.62,,
1978-04-10,,,79.56,,
1978-04-11,,,79.44,,
1978-04-12,,,79.38,,
1978-04-13,,,79.56,,
1978-04-14,,,79.88,,
1978-04-17,,,80.06,,
1978-04-18,,,80.06,,
1978-04-19,,,79.88,,
1978-04-20,,,79.75,,
1978-04-21,,,79.56,,
1978-04-24,,,79.31,,
1978-04-25,,,78.94,,
1978-04-26,,,78.69,,
1978-04-27,,,79.19,,
1978-04-28,,,79.25,,
1978-05-01,,,79.25,,
1978-05-02,,,79.25,,
1978-05-03,,,79.19,,
1978-05-04,,,78.88,,
1978-05-05,,,78.38,,
1978-05-08,,,78.31,,
1978-05-09,,,78.44,,
1978-05-10,,,78.38,,
1978-05-11,,,78.44,,
1978-05-12,,,78.38,,
1978-05-15,,,78.56,,
1978-05-16,,,78.56,,
1978-05-17,,,78.75,,
1978-05-18,,,78.25,,
1978-05-19,,,78.12,,
1978-05-22,,,78.19,,
1978-05-23,,,78.25,,
1978-05-24,,,78.0,,
1978-05-25,,,77.88,,
1978-05-26,,,77.81,,
1978-05-30,,,77.69,,
1978-05-31,,,77.69,,
1978-06-01,,,77.88,,
1978-06-02,,,78.19,,
1978-06-05,,,78.25,,
1978-06-06,,,78.38,,
1978-06-07,,,78.5,,
1978-06-08,,,78.31,,
1978-06-09,,,78.31,,
1978-06-12,,,78.19,,
1978-06-13,,,78.19,,
1978-06-14,,,78.44,,
1978-06-15,,,78.38,,
1978-06-16,,,78.19,,
1978-06-19,,,78.06,,
1978-06-20,,,77.81,,
1978-06-21,,,77.56,,
1978-06-22,,,77.69,,
1978-06-23,,,77.44,,
1978-06-26,,,77.25,,
1978-06-27,,,77.44,,
1978-06-28,,,77.5,,
1978-06-29,,,77.44,,
1978-06-30,,,77.12,,
1978-07-03,,,77.25,,
1978-07-05,,,77.06,,
1978-07-06,,,77.12,,
1978-07-07,,,76.81,,
1978-07-10,,,76.5,,
1978-07-11,,,76.62,,
1978-07-12,,,76.5,,
1978-07-13,,,76.5,,
1978-07-14,,,76.62,,
1978-07-17,,,76.94,,
1978-07-18,,,76.94,,
1978-07-19,,,77.12,,
1978-07-20,,,76.81,,
1978-07-21,,,76.81,,
1978-07-24,,,76.69,,
1978-07-25,,,76.81,,
1978-07-26,,,77.0,,
1978-07-27,,,77.44,,
1978-07-28,,,77.75,,
1978-07-31,,,77.62,,
1978-08-01,,,77.75,,
1978-08-02,,,78.38,,
1978-08-03,,,78.62,,
1978-08-04,,,79.06,,
1978-08-07,,,79.25,,
1978-08-08,,,79.06,,
1978-08-09,,,79.0,,
1978-08-10,,,78.38,,
1978-08-11,,,78.38,,
1978-08-14,,,77.94,,
1978-08-15,,,78.06,,
1978-08-16,,,77.44,,
1978-08-17,,,77.75,,
1978-08-18,,,78.06,,
1978-08-21,,,78.44,,
1978-08-22,,,78.38,,
1978-08-23,,,79.0,,
1978-08-24,,,78.81,,
1978-08-25,,,79.19,,
1978-08-28,,,78.94,,
1978-08-29,,,78.94,,
1978-08-30,,,78.69,,
1978-08-31,,,79.0,,
1978-09-01,,,78.94,,
1978-09-05,,,79.44,,
1978-09-06,,,79.44,,
1978-09-07,,,79.31,,
1978-09-08,,,79.5,,
1978-09-11,,,79.69,,
1978-09-12,,,79.75,,
1978-09-13,,,79.56,,
1978-09-14,,,79.56,,
1978-09-15,,,79.38,,
1978-09-18,,,79.06,,
1978-09-19,,,78.88,,
1978-09-20,,,78.31,,
1978-09-21,,,78.12,,
1978-09-22,,,77.69,,
1978-09-25,,,77.69,,
1978-09-26,,,77.94,,
1978-09-27,,,77.56,,
1978-09-28,,,77.69,,
1978-09-29,,,77.44,,
1978-10-02,,,77.19,,
1978-10-03,,,77.44,,
1978-10-04,,,77.19,,
1978-10-05,,,77.25,,
1978-10-06,,,77.62,,
1978-10-09,,,77.62,,
1978-10-10,,,77.69,,
1978-10-11,,,77.69,,
1978-10-12,,,77.81,,
1978-10-13,,,77.62,,
1978-10-16,,,77.25,,
1978-10-17,,,77.19,,
1978-10-18,,,76.88,,
1978-10-19,,,76.81,,
1978-10-20,,,76.62,,
1978-10-23,,,77.0,,
1978-10-24,,,76.94,,
1978-10-25,,,76.81,,
1978-10-26,,,76.44,,
1978-10-27,,,76.12,,
1978-10-30,,,75.75,,
1978-10-31,,,75.62,,
1978-11-01,,,76.25,,
1978-11-02,,,76.88,,
1978-11-03,,,76.31,,
1978-11-06,,,76.44,,
1978-11-08,,,76.38,,
1978-11-09,,,76.25,,
1978-11-10,,,76.56,,
1978-11-13,,,76.75,,
1978-11-14,,,77.12,,
1978-11-15,,,77.5,,
1978-11-16,,,77.44,,
1978-11-17,,,77.5,,
1978-11-20,,,77.44,,
1978-11-21,,,77.06,,
1978-11-22,,,77.25,,
1978-11-24,,,76.62,,
1978-11-27,,,76.56,,
1978-11-28,,,76.56,,
1978-11-29,,,76.62,,
1978-11-30,,,76.81,,
1978-12-01,,,77.12,,
1978-12-04,,,76.75,,
1978-12-05,,,76.62,,
1978-12-06,,,76.75,,
1978-12-07,,,76.5,,
1978-12-08,,,76.5,,
1978-12-11,,,76.5,,
1978-12-12,,,76.31,,
1978-12-13,,,75.81,,
1978-12-14,,,75.94,,
1978-12-15,,,75.62,,
1978-12-18,,,75.0,,
1978-12-19,,,75.0,,
1978-12-20,,,74.94,,
1978-12-21,,,75.06,,
1978-12-22,,,75.44,,
1978-12-26,,,75.88,,
1978-12-27,,,75.25,,
1978-12-28,,,74.81,,
1978-12-29,,,75.0,,
1979-01-02,,,74.69,,
1979-01-03,,,75.0,,
1979-01-04,,,75.25,,
1979-01-05,,,75.0,,
1979-01-08,,,74.69,,
1979-01-09,,,74.56,,
1979-01-10,,,74.62,,
1979-01-11,,,74.88,,
1979-01-12,,,75.0,,
1979-01-15,,,74.94,,
1979-01-16,,,74.75,,
1979-01-17,,,74.81,,
1979-01-18,,,74.75,,
1979-01-19,,,75.06,,
1979-01-22,,,75.31,,
1979-01-23,,,75.19,,
1979-01-24,,,75.56,,
1979-01-25,,,76.06,,
1979-01-26,,,76.19,,
1979-01-29,,,75.75,,
1979-01-30,,,75.94,,
1979-01-31,,,75.88,,
1979-02-01,,,76.12,,
1979-02-02,,,76.06,,
1979-02-05,,,75.62,,
1979-02-06,,,75.31,,
1979-02-07,,,74.88,,
1979-02-08,,,74.94,,
1979-02-09,,,74.75,,
1979-02-12,,,74.69,,
1979-02-13,,,75.06,,
1979-02-14,,,74.94,,
1979-02-15,,,75.0,,
1979-02-16,,,75.06,,
1979-02-20,,,74.75,,
1979-02-21,,,74.44,,
1979-02-22,,,74.38,,
1979-02-23,,,74.25,,
1979-02-26,,,74.38,,
1979-02-27,,,74.62,,
1979-02-28,,,74.38,,
1979-03-01,,,74.38,,
1979-03-02,,,74.44,,
1979-03-05,,,75.0,,
1979-03-06,,,74.75,,
1979-03-07,,,74.94,,
1979-03-08,,,75.0,,
1979-03-09,,,74.69,,
1979-03-12,,,74.94,,
1979-03-13,,,74.88,,
1979-03-14,,,74.56,,
1979-03-15,,,74.69,,
1979-03-16,,,74.81,,
1979-03-19,,,74.81,,
1979-03-20,,,74.81,,
1979-03-21,,,74.69,,
1979-03-22,,,74.81,,
1979-03-23,,,74.94,,
1979-03-26,,,74.81,,
