Date,gold
16-Aug-17,"1,288.42"
15-Aug-17,"1,279.70"
14-Aug-17,"1,290.40"
11-Aug-17,"1,294.00"
10-Aug-17,"1,290.10"
9-Aug-17,"1,279.30"
8-Aug-17,"1,262.60"
7-Aug-17,"1,264.70"
4-Aug-17,"1,264.60"
3-Aug-17,"1,274.40"
2-Aug-17,"1,278.40"
1-Aug-17,"1,279.40"
31-Jul-17,"1,273.40"
28-Jul-17,"1,275.30"
27-Jul-17,"1,266.50"
26-Jul-17,"1,255.60"
25-Jul-17,"1,258.50"
24-Jul-17,"1,254.30"
21-Jul-17,"1,254.90"
20-Jul-17,"1,245.50"
19-Jul-17,"1,242.00"
18-Jul-17,"1,241.90"
17-Jul-17,"1,233.70"
14-Jul-17,"1,227.50"
13-Jul-17,"1,217.30"
12-Jul-17,"1,219.10"
11-Jul-17,"1,214.70"
10-Jul-17,"1,213.20"
7-Jul-17,"1,209.70"
6-Jul-17,"1,223.30"
5-Jul-17,"1,221.70"
4-Jul-17,"1,227.55"
3-Jul-17,"1,219.20"
30-Jun-17,"1,242.30"
29-Jun-17,"1,245.80"
28-Jun-17,"1,249.10"
27-Jun-17,"1,246.90"
26-Jun-17,"1,246.40"
23-Jun-17,"1,256.40"
22-Jun-17,"1,249.40"
21-Jun-17,"1,245.80"
20-Jun-17,"1,243.50"
19-Jun-17,"1,246.70"
16-Jun-17,"1,256.50"
15-Jun-17,"1,254.60"
14-Jun-17,"1,275.90"
13-Jun-17,"1,268.60"
12-Jun-17,"1,268.90"
9-Jun-17,"1,271.40"
8-Jun-17,"1,279.50"
7-Jun-17,"1,293.20"
6-Jun-17,"1,297.50"
5-Jun-17,"1,282.70"
2-Jun-17,"1,280.20"
1-Jun-17,"1,270.10"
31-May-17,"1,275.40"
30-May-17,"1,265.70"
29-May-17,"1,266.69"
28-May-17,"1,268.22"
26-May-17,"1,271.40"
25-May-17,"1,259.80"
24-May-17,"1,256.50"
23-May-17,"1,258.90"
22-May-17,"1,264.80"
19-May-17,"1,253.60"
18-May-17,"1,252.80"
17-May-17,"1,258.70"
16-May-17,"1,236.40"
15-May-17,"1,230.00"
12-May-17,"1,227.70"
11-May-17,"1,224.20"
10-May-17,"1,218.90"
9-May-17,"1,216.10"
8-May-17,"1,227.10"
5-May-17,"1,226.90"
4-May-17,"1,228.60"
3-May-17,"1,248.50"
2-May-17,"1,257.00"
1-May-17,"1,255.50"
28-Apr-17,"1,268.30"
27-Apr-17,"1,265.90"
26-Apr-17,"1,264.20"
25-Apr-17,"1,267.20"
24-Apr-17,"1,277.50"
21-Apr-17,"1,289.10"
20-Apr-17,"1,283.80"
19-Apr-17,"1,283.40"
18-Apr-17,"1,294.10"
17-Apr-17,"1,291.90"
14-Apr-17,"1,289.65"
13-Apr-17,"1,288.50"
12-Apr-17,"1,278.10"
11-Apr-17,"1,274.20"
10-Apr-17,"1,253.90"
7-Apr-17,"1,257.30"
6-Apr-17,"1,253.30"
5-Apr-17,"1,248.50"
4-Apr-17,"1,258.40"
3-Apr-17,"1,254.00"
31-Mar-17,"1,251.20"
30-Mar-17,"1,248.00"
29-Mar-17,"1,256.80"
28-Mar-17,"1,258.80"
27-Mar-17,"1,258.80"
24-Mar-17,"1,251.70"
23-Mar-17,"1,250.10"
22-Mar-17,"1,252.80"
21-Mar-17,"1,249.60"
20-Mar-17,"1,237.20"
17-Mar-17,"1,233.20"
16-Mar-17,"1,230.20"
15-Mar-17,"1,203.80"
14-Mar-17,"1,201.90"
13-Mar-17,"1,202.40"
10-Mar-17,"1,200.70"
9-Mar-17,"1,202.40"
8-Mar-17,"1,208.50"
7-Mar-17,"1,215.10"
6-Mar-17,"1,224.50"
3-Mar-17,"1,225.50"
2-Mar-17,"1,231.90"
1-Mar-17,"1,248.90"
28-Feb-17,"1,252.60"
27-Feb-17,"1,257.40"
24-Feb-17,"1,256.90"
23-Feb-17,"1,250.20"
22-Feb-17,"1,232.00"
21-Feb-17,"1,237.50"
20-Feb-17,"1,238.20"
19-Feb-17,"1,237.30"
17-Feb-17,"1,237.60"
16-Feb-17,"1,240.00"
15-Feb-17,"1,231.70"
14-Feb-17,"1,223.90"
13-Feb-17,"1,224.40"
10-Feb-17,"1,234.40"
9-Feb-17,"1,235.10"
8-Feb-17,"1,237.60"
7-Feb-17,"1,234.20"
6-Feb-17,"1,230.00"
3-Feb-17,"1,218.50"
2-Feb-17,"1,216.70"
1-Feb-17,"1,205.60"
31-Jan-17,"1,208.60"
30-Jan-17,"1,193.20"
27-Jan-17,"1,188.10"
26-Jan-17,"1,189.50"
25-Jan-17,"1,197.30"
24-Jan-17,"1,210.30"
23-Jan-17,"1,215.00"
20-Jan-17,"1,204.30"
19-Jan-17,"1,200.90"
18-Jan-17,"1,211.30"
17-Jan-17,"1,212.00"
16-Jan-17,"1,202.85"
15-Jan-17,"1,203.35"
13-Jan-17,"1,195.30"
12-Jan-17,"1,198.90"
11-Jan-17,"1,195.60"
10-Jan-17,"1,184.20"
9-Jan-17,"1,183.50"
6-Jan-17,"1,171.90"
5-Jan-17,"1,179.70"
4-Jan-17,"1,163.80"
3-Jan-17,"1,160.40"
2-Jan-17,"1,151.05"
30-Dec-16,"1,150.00"
29-Dec-16,"1,156.40"
28-Dec-16,"1,139.40"
27-Dec-16,"1,137.30"
26-Dec-16,"1,134.55"
25-Dec-16,"1,135.00"
23-Dec-16,"1,131.90"
22-Dec-16,"1,128.80"
21-Dec-16,"1,131.10"
20-Dec-16,"1,131.50"
19-Dec-16,"1,140.50"
16-Dec-16,"1,135.30"
15-Dec-16,"1,127.80"
14-Dec-16,"1,161.30"
13-Dec-16,"1,156.70"
12-Dec-16,"1,163.50"
9-Dec-16,"1,159.40"
8-Dec-16,"1,169.80"
7-Dec-16,"1,175.00"
6-Dec-16,"1,167.60"
5-Dec-16,"1,174.00"
2-Dec-16,"1,175.10"
1-Dec-16,"1,166.90"
30-Nov-16,"1,170.80"
29-Nov-16,"1,187.90"
28-Nov-16,"1,190.60"
25-Nov-16,"1,178.20"
24-Nov-16,"1,185.55"
23-Nov-16,"1,189.10"
22-Nov-16,"1,211.00"
21-Nov-16,"1,215.85"
20-Nov-16,"1,205.95"
18-Nov-16,"1,208.50"
17-Nov-16,"1,216.50"
16-Nov-16,"1,223.40"
15-Nov-16,"1,224.00"
14-Nov-16,"1,221.20"
11-Nov-16,"1,223.50"
10-Nov-16,"1,265.50"
9-Nov-16,"1,272.60"
8-Nov-16,"1,273.40"
7-Nov-16,"1,278.30"
4-Nov-16,"1,303.30"
3-Nov-16,"1,302.10"
2-Nov-16,"1,306.80"
1-Nov-16,"1,286.40"
31-Oct-16,"1,271.50"
28-Oct-16,"1,275.50"
27-Oct-16,"1,267.90"
26-Oct-16,"1,264.80"
25-Oct-16,"1,271.90"
24-Oct-16,"1,262.00"
21-Oct-16,"1,267.05"
20-Oct-16,"1,265.60"
19-Oct-16,"1,267.90"
18-Oct-16,"1,260.80"
17-Oct-16,"1,254.40"
14-Oct-16,"1,253.10"
13-Oct-16,"1,255.00"
12-Oct-16,"1,251.10"
11-Oct-16,"1,253.00"
10-Oct-16,"1,257.50"
7-Oct-16,"1,248.90"
6-Oct-16,"1,249.80"
5-Oct-16,"1,265.20"
4-Oct-16,"1,266.30"
3-Oct-16,"1,309.00"
30-Sep-16,"1,313.30"
29-Sep-16,"1,321.70"
28-Sep-16,"1,326.95"
27-Sep-16,"1,325.90"
26-Sep-16,"1,339.70"
23-Sep-16,"1,341.55"
22-Sep-16,"1,340.40"
21-Sep-16,"1,326.90"
20-Sep-16,"1,319.25"
19-Sep-16,"1,317.15"
18-Sep-16,"1,314.15"
16-Sep-16,"1,305.80"
15-Sep-16,"1,313.50"
14-Sep-16,"1,321.50"
13-Sep-16,"1,319.00"
12-Sep-16,"1,321.00"
9-Sep-16,"1,330.10"
8-Sep-16,"1,336.80"
7-Sep-16,"1,344.30"
6-Sep-16,"1,349.40"
5-Sep-16,"1,331.10"
4-Sep-16,"1,326.25"
2-Sep-16,"1,322.10"
1-Sep-16,"1,312.20"
31-Aug-16,"1,306.90"
30-Aug-16,"1,311.70"
29-Aug-16,"1,322.90"
26-Aug-16,"1,321.50"
25-Aug-16,"1,320.10"
24-Aug-16,"1,324.40"
23-Aug-16,"1,340.60"
22-Aug-16,"1,337.70"
19-Aug-16,"1,340.40"
18-Aug-16,"1,351.20"
17-Aug-16,"1,342.70"
16-Aug-16,"1,350.50"
15-Aug-16,"1,340.30"
12-Aug-16,"1,335.80"
11-Aug-16,"1,342.50"
10-Aug-16,"1,344.30"
9-Aug-16,"1,339.00"
8-Aug-16,"1,333.40"
5-Aug-16,"1,336.40"
4-Aug-16,"1,358.80"
3-Aug-16,"1,356.10"
2-Aug-16,"1,364.40"
1-Aug-16,"1,351.40"
29-Jul-16,"1,349.00"
28-Jul-16,"1,332.30"
27-Jul-16,"1,326.60"
26-Jul-16,"1,320.70"
25-Jul-16,"1,319.30"
