Date,us_gold,eur_gold,gbp_gold,chf_gold,jpy_gold,cad_gold,aud_gold,us_crude,eur_crude,chf_crude
1971-01-04,,70.43,,162.78,,,,,,
1971-01-05,,70.65,,163.0,,,,,,
1971-01-06,,70.44,,162.57,,,,,,
1971-01-07,,70.43,,162.5,,,,,,
1971-01-08,,70.41,,162.5,,,,,,
1971-01-11,,70.96,,163.79,,,,,,
1971-01-12,,71.32,,164.66,,,,,,
1971-01-13,,71.5,,165.09,,,,,,
1971-01-14,,71.28,,164.58,,,,,,
1971-01-15,,71.64,,165.37,,,,,,
1971-01-18,,71.42,,164.8,,,,,,
1971-01-19,,71.23,,164.3,,,,,,
1971-01-20,,71.54,,165.16,,,,,,
1971-01-21,,71.32,,164.73,,,,,,
1971-01-22,,71.12,,164.23,,,,,,
1971-01-25,,71.3,,164.73,,,,,,
1971-01-26,,71.48,,165.09,,,,,,
1971-01-27,,71.3,,164.59,,,,,,
1971-01-28,,71.31,,164.59,,,,,,
1971-01-29,,71.5,,164.95,,,,,,
1971-02-01,,71.52,,165.02,,,,,,
1971-02-02,,72.27,,166.74,,,,,,
1971-02-03,,72.98,,168.38,,,,,,
1971-02-04,,72.04,,166.24,,,,,,
1971-02-05,,72.05,,166.31,,,,,,
1971-02-08,,72.43,,167.17,,,,,,
1971-02-09,,72.78,,168.03,,,,,,
1971-02-10,,72.81,,168.03,,,,,,
1971-02-11,,73.01,,168.46,,,,,,
1971-02-12,,72.83,,168.03,,,,,,
1971-02-16,,72.97,,168.46,,,,,,
1971-02-17,,72.78,,168.03,,,,,,
1971-02-18,,72.8,,168.03,,,,,,
1971-02-19,,72.61,,167.6,,,,,,
1971-02-22,,72.6,,167.53,,,,,,
1971-02-23,,72.78,,167.96,,,,,,
1971-02-24,,72.6,,167.74,,,,,,
1971-02-25,,72.8,,168.39,,,,,,
1971-02-26,,72.91,,168.39,,,,,,
1971-03-01,,72.65,,167.96,,,,,,
1971-03-02,,72.63,,167.89,,,,,,
1971-03-03,,72.77,,168.24,,,,,,
1971-03-04,,72.64,,167.96,,,,,,
1971-03-05,,72.63,,167.96,,,,,,
1971-03-08,,72.78,,168.17,,,,,,
1971-03-09,,72.78,,168.17,,,,,,
1971-03-10,,72.8,,168.32,,,,,,
1971-03-11,,73.17,,169.03,,,,,,
1971-03-12,,73.21,,169.03,,,,,,
1971-03-15,,73.21,,169.03,,,,,,
1971-03-16,,73.04,,168.6,,,,,,
1971-03-17,,72.78,,168.1,,,,,,
1971-03-18,,73.17,,168.96,,,,,,
