Date,us_crude
1/2/90,22.89
1/3/90,23.68
1/4/90,23.41
1/5/90,22.03
1/8/90,21.03
1/9/90,21.23
1/10/90,21.99
1/11/90,22.17
1/12/90,22.13
1/15/90,21.49
1/16/90,21.73
1/17/90,21.26
1/18/90,21.59
1/19/90,22.08
1/22/90,21.77
1/23/90,21.6
1/24/90,21.59
1/25/90,22.24
1/26/90,22.56
1/29/90,22.8
1/30/90,22.46
1/31/90,22.68
2/1/90,22.7
2/2/90,23.02
2/5/90,22.39
2/6/90,21.83
2/7/90,21.68
2/8/90,21.65
2/9/90,21.74
2/12/90,21.84
2/13/90,21.82
2/14/90,21.95
2/15/90,22.43
2/16/90,22.25
2/20/90,22.14
2/21/90,21.74
2/22/90,21.75
2/23/90,21.42
2/26/90,21.79
2/27/90,21.58
2/28/90,21.54
3/1/90,21.17
3/2/90,21.35
3/5/90,21.69
3/6/90,21.48
3/7/90,21.17
3/8/90,21.01
3/9/90,20.65
3/12/90,20.4
3/13/90,20.39
3/14/90,20.32
3/15/90,20.68
3/16/90,20.38
3/19/90,19.96
3/20/90,19.77
3/21/90,19.96
3/22/90,20
3/23/90,20.39
3/26/90,20.46
3/27/90,20.48
3/28/90,20.08
3/29/90,20.03
3/30/90,20.28
4/2/90,20.48
4/3/90,20.3
4/4/90,19.78
4/5/90,19.43
4/6/90,19.56
4/9/90,18.95
4/10/90,18.34
4/11/90,18.72
4/12/90,18.51
4/16/90,18.67
4/17/90,18.39
4/18/90,18.09
4/19/90,18.87
4/20/90,18.82
4/23/90,19.07
4/24/90,19
4/25/90,18.66
4/26/90,18.47
4/27/90,18.54
4/30/90,18.54
5/1/90,18.81
5/2/90,18.68
5/3/90,17.99
5/4/90,17.98
5/7/90,18.27
5/8/90,18.28
5/9/90,18.99
5/10/90,19.02
5/11/90,18.95
5/14/90,19.71
5/15/90,19.92
5/16/90,19.52
5/17/90,19.57
5/18/90,19.42
5/21/90,19.04
5/22/90,18.92
5/23/90,18.14
5/24/90,17.83
5/25/90,17.8
5/29/90,17.98
5/30/90,18.08
5/31/90,17.4
6/1/90,17.5
6/4/90,17.14
6/5/90,16.68
6/6/90,16.92
6/7/90,16.67
6/8/90,16.78
6/11/90,16.82
6/12/90,17.51
6/13/90,18.19
6/14/90,17.84
6/15/90,17.59
6/18/90,16.95
6/19/90,16.92
6/20/90,16.75
6/21/90,16.94
6/22/90,17.46
6/25/90,17.38
6/26/90,17.14
6/27/90,16.68
6/28/90,17.15
6/29/90,17.07
7/2/90,16.72
7/3/90,16.8
7/5/90,16.5
7/6/90,16.47
7/9/90,16.58
7/10/90,16.94
7/11/90,17.47
7/12/90,18.46
7/13/90,19.35
7/16/90,19.85
7/17/90,19.77
7/18/90,19.61
7/19/90,19.86
7/20/90,20.06
7/23/90,20.5
7/24/90,20.56
7/25/90,20.38
7/26/90,20.3
7/27/90,20.04
7/30/90,20.21
7/31/90,20.69
8/1/90,21.54
8/2/90,23.11
8/3/90,24.49
8/6/90,28.05
8/7/90,28.31
8/8/90,25.96
8/9/90,25.67
8/10/90,26.23
8/14/90,26.33
8/15/90,26.36
8/16/90,27.28
8/17/90,28.28
8/20/90,28.59
8/21/90,28.71
8/22/90,31.22
8/23/90,31.93
8/24/90,30.91
8/27/90,26.91
8/28/90,27.88
8/29/90,25.92
8/30/90,26.77
8/31/90,27.32
9/4/90,29.12
9/5/90,29.77
9/6/90,31.43
9/7/90,30.04
9/10/90,31.3
9/11/90,30.76
9/12/90,30.97
9/13/90,31.07
9/14/90,31.16
9/17/90,33.63
9/18/90,32.67
9/19/90,32.97
9/20/90,33.42
9/21/90,35.43
9/24/90,38.25
9/25/90,37.53
9/26/90,38.67
9/27/90,39.54
9/28/90,39.51
10/1/90,37.09
10/2/90,33.95
10/3/90,37.32
10/4/90,36.93
10/5/90,37.99
10/8/90,38.95
10/9/90,40.4
10/10/90,38.69
10/11/90,40.42
10/12/90,39.69
10/15/90,37.95
