Date,chf_crude
3/30/83,61.28
3/31/83,61.08
4/4/83,61
4/5/83,60.96
4/6/83,61.15
4/7/83,61.85
4/8/83,62.52
4/11/83,62.06
4/12/83,63.03
4/13/83,63.36
4/14/83,62.89
4/15/83,62.18
4/18/83,63.36
4/19/83,63.47
4/20/83,63.64
4/21/83,63.31
4/22/83,63.38
4/25/83,63.39
4/26/83,63.18
4/27/83,63.18
4/28/83,63.58
4/29/83,63.49
5/2/83,63.12
5/3/83,62.92
5/4/83,62.27
5/5/83,61.77
5/6/83,61.9
5/9/83,60.87
5/10/83,61.26
5/11/83,60.15
5/12/83,59.65
5/13/83,59.76
5/16/83,61.27
5/17/83,61.38
5/18/83,60.49
5/19/83,61.98
5/20/83,62.98
5/23/83,62.81
5/24/83,62.47
5/25/83,62.42
5/26/83,62.88
5/27/83,62.82
5/31/83,63.09
6/1/83,63.74
6/2/83,63.75
6/3/83,63.88
6/6/83,64.19
6/7/83,64.96
6/8/83,65
6/9/83,64.72
6/10/83,65.16
6/13/83,65.73
6/14/83,65.99
6/15/83,66.69
6/16/83,66.47
6/17/83,66.29
6/20/83,66.13
6/21/83,65.81
6/22/83,64.42
6/23/83,64.83
6/24/83,65.09
6/27/83,65.39
6/28/83,65.49
6/29/83,65.7
6/30/83,65.98
7/1/83,66.03
7/5/83,66.28
7/6/83,66.09
7/7/83,66.54
7/8/83,66.62
7/11/83,67.01
7/12/83,66.79
7/13/83,67.17
7/14/83,67.22
7/15/83,67.41
7/18/83,66.98
7/19/83,66.99
7/20/83,66.45
7/21/83,66.09
7/22/83,66.29
7/25/83,66.41
7/26/83,66.55
7/27/83,67
7/28/83,67.45
7/29/83,68.13
8/1/83,69.22
8/2/83,68.77
8/3/83,69.16
8/4/83,69.32
8/5/83,69.63
8/8/83,69.68
8/9/83,69.42
8/10/83,70.41
8/11/83,70.06
8/12/83,69.88
8/15/83,69.49
8/16/83,68.54
8/17/83,68.34
8/18/83,67.85
8/19/83,68.21
8/22/83,67.52
8/23/83,67.67
8/24/83,67.7
8/25/83,68.03
8/26/83,68.93
8/29/83,68.93
8/30/83,69.14
8/31/83,68.95
9/1/83,68.79
9/2/83,68.83
9/6/83,67.9
9/7/83,68
9/8/83,67.78
9/9/83,67.41
9/12/83,66.93
9/13/83,67.81
9/14/83,68.4
9/15/83,68.44
9/16/83,68.13
9/19/83,67.64
9/20/83,67.53
9/21/83,67.75
9/22/83,67.86
9/23/83,67.07
9/26/83,66.92
9/27/83,66.53
9/28/83,65.66
9/29/83,65.19
9/30/83,64.3
10/3/83,62.98
10/4/83,63.7
10/5/83,63.37
10/6/83,63.11
10/7/83,63.34
10/10/83,64.13
10/11/83,64.05
10/12/83,64.67
10/13/83,64.67
10/14/83,64.64
10/17/83,64.42
10/18/83,64.1
10/19/83,63.66
10/20/83,63.75
10/21/83,63.73
10/24/83,64.56
10/25/83,64.35
10/26/83,64.18
10/27/83,64.39
10/28/83,64.44
10/31/83,65.09
11/1/83,65.67
11/2/83,65.27
11/3/83,65.64
11/4/83,66.1
11/7/83,66.15
11/8/83,66.13
11/9/83,65.84
11/10/83,64.41
11/11/83,64.06
11/14/83,64.29
11/15/83,64.26
11/16/83,63.67
11/17/83,63.2
11/18/83,63.82
11/21/83,63.2
11/22/83,63.01
11/23/83,63.09
11/28/83,64.29
11/29/83,64.11
11/30/83,62.49
12/1/83,62.73
12/2/83,63.2
12/5/83,63.39
12/6/83,63.1
12/7/83,62.74
12/8/83,63.52
12/9/83,63.98
12/12/83,64.1
12/13/83,64.04
12/14/83,63.92
12/15/83,63.41
12/16/83,62.55
12/19/83,62.77
12/20/83,63.5
12/21/83,63.84
12/22/83,64.31
12/23/83,64.7
12/27/83,65.38
12/28/83,65.06
12/29/83,63.99
12/30/83,63.63
1/3/84,64.18
1/4/84,65.03
1/5/84,64.65
1/6/84,64.77
1/9/84,65.77
1/10/84,65.37
1/11/84,65.89
1/12/84,66.07
1/13/84,65.72
1/16/84,66.22
1/17/84,66.38
1/18/84,66.41
1/19/84,66.36
1/20/84,66.97
1/23/84,66.04
1/24/84,66.74
1/25/84,66.83
1/26/84,67.03
1/27/84,67.69
1/30/84,67
1/31/84,67.55
2/1/84,67.23
2/2/84,66.36
2/3/84,66.16
2/6/84,66.25
2/7/84,66.63
2/8/84,66.45
2/9/84,65.94
2/10/84,66.42
2/13/84,65.75
2/14/84,65.43
2/15/84,64.75
2/16/84,64.9
2/17/84,65.61
2/21/84,66.16
2/22/84,65.37
2/23/84,65.15
2/24/84,65.02
2/27/84,66.55
2/28/84,65.58
2/29/84,65.79
3/1/84,66.48
3/2/84,65.89
3/5/84,65.27
3/6/84,64.52
3/7/84,64.73
3/8/84,65.53
3/9/84,65.81
3/12/84,66.29
3/13/84,65.18
3/14/84,65.16
3/15/84,65.37
3/16/84,65.22
3/19/84,65.95
3/20/84,66.13
3/21/84,66.22
3/22/84,66.46
3/23/84,66.49
3/26/84,65.98
3/27/84,66.12
3/28/84,66.14
3/29/84,66.17
3/30/84,66.4
4/2/84,66.01
4/3/84,66.54
4/4/84,66.54
4/5/84,66.74
4/6/84,66.51
4/9/84,66.51
4/10/84,66.53
4/11/84,66.48
4/12/84,66.54
4/13/84,66.61
4/16/84,66.89
4/17/84,67.08
4/18/84,66.81
4/19/84,67.19
