Date,aud_gold
1/9/84,411.37
1/16/84,407.52
1/23/84,407.09
1/30/84,414.25
2/6/84,421.58
2/13/84,416.33
2/20/84,407.36
3/1/84,422.29
3/5/84,431.7
3/12/84,415.38
3/19/84,408.24
3/26/84,404.15
4/2/84,407.5
4/9/84,411.24
4/16/84,417.44
4/24/84,420.3
5/2/84,413.97
5/7/84,404.65
5/14/84,408.75
5/21/84,422.23
5/28/84,421.31
6/4/84,448.06
6/11/84,420.53
6/18/84,420.69
6/25/84,420.37
7/2/84,432.98
7/9/84,407.55
7/16/84,419.64
7/23/84,406.43
7/30/84,431.56
8/6/84,434.62
8/13/84,430.65
8/20/84,421.23
8/27/84,419.88
9/1/84,419.51
9/10/84,414.13
9/17/84,413.26
9/24/84,424.82
10/1/84,424.23
10/8/84,416.67
10/15/84,414.91
10/22/84,412.95
10/29/84,404.71
11/5/84,414.47
11/12/84,405.4
11/19/84,398.1
11/26/84,387.23
12/1/84,389.45
12/10/84,384.8
12/17/84,375.24
12/24/84,378.8
1/1/85,379.52
1/7/85,371.41
1/14/85,371.6
1/21/85,377.32
1/28/85,376.18
2/4/85,373.92
2/11/85,394.34
2/18/85,409.42
2/25/85,403.36
3/4/85,404.54
3/11/85,428.69
3/18/85,434.4
3/25/85,460.92
3/29/85,481.07
4/1/85,456.23
4/9/85,497.42
4/15/85,501.38
4/22/85,494.53
4/29/85,502.82
5/6/85,476.14
5/13/85,490.17
5/20/85,451.04
5/27/85,450.75
6/1/85,460.4
6/10/85,477.99
6/17/85,484.62
6/24/85,478
7/1/85,465.99
7/8/85,475.19
7/15/85,469.47
7/23/85,448.76
7/29/85,451.38
8/5/85,460.41
8/12/85,470.68
8/19/85,485.08
8/26/85,485.33
9/2/85,488.99
9/9/85,471.75
9/16/85,482.16
9/23/85,488.23
9/30/85,463.5
10/7/85,468.6
10/14/85,467.05
10/21/85,470.79
10/28/85,467.81
11/4/85,465.87
11/11/85,486.9
11/18/85,495.98
11/25/85,494.16
12/2/85,474.02
12/9/85,473.45
12/16/85,475.67
12/23/85,484.14
1/1/86,480.36
1/6/86,484.58
1/13/86,501.9
1/20/86,515.86
1/27/86,506.14
2/1/86,497.24
2/10/86,492.23
2/17/86,493.45
2/24/86,500.46
3/1/86,496.26
3/3/86,481.42
3/10/86,489.71
3/17/86,498.75
3/18/86,498.04
3/24/86,492.7
4/1/86,466.12
4/7/86,477.19
