Date,chf_gold
1/4/71,162.78
1/5/71,163
1/6/71,162.57
1/7/71,162.5
1/8/71,162.5
1/11/71,163.79
1/12/71,164.66
1/13/71,165.09
1/14/71,164.58
1/15/71,165.37
1/18/71,164.8
1/19/71,164.3
1/20/71,165.16
1/21/71,164.73
1/22/71,164.23
1/25/71,164.73
1/26/71,165.09
1/27/71,164.59
1/28/71,164.59
1/29/71,164.95
2/1/71,165.02
2/2/71,166.74
2/3/71,168.38
2/4/71,166.24
2/5/71,166.31
2/8/71,167.17
2/9/71,168.03
2/10/71,168.03
2/11/71,168.46
2/12/71,168.03
2/16/71,168.46
2/17/71,168.03
2/18/71,168.03
2/19/71,167.6
2/22/71,167.53
2/23/71,167.96
2/24/71,167.74
2/25/71,168.39
2/26/71,168.39
3/1/71,167.96
3/2/71,167.89
3/3/71,168.24
3/4/71,167.96
3/5/71,167.96
3/8/71,168.17
3/9/71,168.17
3/10/71,168.32
3/11/71,169.03
3/12/71,169.03
3/15/71,169.03
3/16/71,168.6
3/17/71,168.1
3/18/71,168.96
3/19/71,168.46
3/22/71,168.46
3/23/71,168.46
3/24/71,168.46
3/25/71,168.46
3/26/71,168.38
3/29/71,167.53
3/30/71,167.96
3/31/71,167.96
4/1/71,168.38
4/2/71,167.88
4/5/71,168.03
4/6/71,168.03
4/7/71,168.38
4/8/71,168.31
4/12/71,168.46
4/13/71,168.6
4/14/71,168.67
4/15/71,168.53
4/16/71,168.67
4/19/71,168.75
4/20/71,168.67
4/21/71,168.6
4/22/71,169.39
4/23/71,169.1
4/26/71,168.6
4/27/71,168.53
4/28/71,169.24
4/29/71,170.53
4/30/71,171.39
5/3/71,170.53
5/4/71,171.39
5/5/71,169.04
5/6/71,169.17
5/7/71,165.91
5/10/71,164.68
5/11/71,166.74
5/12/71,167.28
5/13/71,168.3
5/14/71,169.94
5/17/71,167.76
5/18/71,168.37
5/19/71,167.14
5/20/71,169.19
5/21/71,167.82
5/24/71,167.55
5/25/71,168.78
5/26/71,168.03
5/27/71,168.44
5/28/71,168.72
6/1/71,168.72
6/2/71,167.69
6/3/71,167.28
6/4/71,167.42
6/7/71,166.39
6/8/71,165.24
6/9/71,164.48
6/10/71,163.4
6/11/71,163.12
6/14/71,162.78
6/15/71,163.39
6/16/71,164.83
6/17/71,164.14
6/18/71,164.55
6/21/71,164.55
6/22/71,165.51
6/23/71,166.26
6/24/71,166.19
6/25/71,165.44
6/28/71,164.75
6/29/71,164.89
6/30/71,165.57
7/1/71,165.92
7/2/71,166.39
7/6/71,166.6
7/7/71,166.26
7/8/71,166.26
7/9/71,166.32
7/12/71,166.74
7/13/71,166.6
7/14/71,166.39
7/15/71,166.6
7/16/71,167.83
7/19/71,168.99
7/20/71,168.58
7/21/71,169.26
7/22/71,171.64
7/23/71,171.64
7/26/71,171.64
7/27/71,172.46
7/28/71,173.2
7/29/71,174.09
7/30/71,174.5
8/2/71,174.16
8/3/71,174.16
8/4/71,174.18
8/5/71,175.06
8/6/71,174.6
8/9/71,179.16
8/10/71,176.54
8/11/71,175.4
8/12/71,176.66
8/13/71,175.94
8/16/71,176.06
8/17/71,175.83
8/18/71,174.61
8/19/71,175.71
8/20/71,175.1
8/23/71,174.12
8/24/71,172.96
8/25/71,171.3
8/26/71,167.72
8/27/71,164.48
8/30/71,166.27
8/31/71,163.74
9/1/71,165.67
9/2/71,166.33
9/3/71,167.13
9/7/71,167.6
9/8/71,166.67
9/9/71,168.2
9/10/71,167.73
9/13/71,167.53
9/14/71,168
9/15/71,168.59
9/16/71,169.79
9/17/71,168.99
9/20/71,169.18
9/21/71,169.32
9/22/71,168.78
9/23/71,168.12
9/24/71,169.91
9/27/71,170.24
9/28/71,172.22
9/29/71,169.44
9/30/71,169.63
10/1/71,169.04
10/4/71,169.5
10/5/71,169.04
10/6/71,169.11
10/7/71,169.5
10/8/71,169.38
10/11/71,169.38
10/12/71,169.91
10/13/71,171.04
10/14/71,170.85
10/15/71,170.52
10/18/71,170.04
10/19/71,170.11
10/20/71,170.18
10/21/71,169.85
10/22/71,169.92
10/25/71,170.31
10/26/71,170.86
10/27/71,170.99
10/28/71,170.26
10/29/71,170.06
11/1/71,169.46
11/2/71,169.86
11/3/71,169.66
11/4/71,169.66
11/5/71,169.99
11/8/71,170.6
11/9/71,170.99
11/10/71,171.46
11/11/71,171.39
11/12/71,171.73
11/15/71,172.19
11/16/71,172.19
11/17/71,172.26
11/18/71,173.46
11/19/71,172.91
11/22/71,172.96
11/23/71,172.48
11/24/71,172.73
11/26/71,173.26
11/29/71,173.59
11/30/71,173.66
12/1/71,172.99
12/2/71,173.09
12/3/71,172.74
12/6/71,172.12
12/7/71,172
12/8/71,170.37
12/9/71,171.22
12/10/71,171.61
12/13/71,171.35
12/14/71,170.55
12/15/71,170.16
12/16/71,168.87
12/17/71,166.67
12/20/71,166.86
12/21/71,168.61
12/22/71,169.39
12/23/71,170.64
12/27/71,171.31
12/28/71,171.24
12/29/71,171.76
12/30/71,171.7
1/3/72,173.59
1/4/72,175.23
1/5/72,175.69
1/6/72,174.37
1/7/72,180.78
1/10/72,180.32
1/11/72,174.51
1/12/72,178.61
1/13/72,178.24
1/14/72,179.42
1/17/72,179.74
1/18/72,178.75
1/19/72,178.93
1/20/72,179.14
1/21/72,179.14
1/24/72,179.32
1/25/72,179.36
1/26/72,179.88
1/27/72,181.18
1/28/72,184.35
1/31/72,183.65
2/1/72,187.23
2/2/72,190.38
2/3/72,186.34
2/4/72,183.26
2/7/72,185.52
2/8/72,187.31
2/9/72,186.87
2/10/72,188.03
2/11/72,187.11
2/14/72,185.71
2/15/72,186.24
2/16/72,186.47
2/17/72,187.07
2/18/72,187.45
2/22/72,188.73
2/23/72,188.58
2/24/72,189.36
2/25/72,188.85
2/28/72,188.76
2/29/72,187.62
3/1/72,186.99
3/2/72,187.62
3/3/72,186.99
3/6/72,187.26
3/7/72,187.5
3/8/72,185.94
3/9/72,185.95
3/10/72,185.5
3/13/72,193.95
3/14/72,186.8
3/15/72,186.56
3/16/72,187.16
3/17/72,187.89
3/20/72,188.1
3/21/72,187.52
3/22/72,187.64
3/23/72,187.86
3/24/72,188.08
3/27/72,187.57
3/28/72,187.28
3/29/72,187.38
3/30/72,186.49
4/3/72,186.49
4/4/72,187.38
4/5/72,187.45
4/6/72,187.21
