Date,gbp_gold
1/9/84,259.87
1/16/84,265.18
1/23/84,258.05
1/30/84,268.31
2/6/84,275.26
2/13/84,271.62
2/20/84,270.31
3/1/84,274.02
3/5/84,273.91
3/12/84,267.27
3/19/84,267.16
3/26/84,268.64
4/2/84,266.37
4/9/84,270.86
4/16/84,268.06
4/24/84,272.48
5/2/84,269.99
5/7/84,268.36
5/14/84,269.27
5/21/84,273.81
5/28/84,272.92
6/4/84,290.94
6/11/84,270.34
6/18/84,272.02
6/25/84,269.8
7/2/84,276.83
7/9/84,261.05
7/16/84,266.26
7/23/84,256.08
7/30/84,269.05
8/6/84,276.03
8/13/84,275.55
8/20/84,269.33
8/27/84,272.79
9/1/84,275.01
9/10/84,268.66
9/17/84,269.78
9/24/84,286.66
10/1/84,284.02
10/8/84,279.47
10/15/84,280.6
10/22/84,285.09
10/29/84,281.17
11/5/84,290.04
11/12/84,275.1
11/19/84,269.56
11/26/84,265.85
12/1/84,276.01
12/10/84,274.05
12/17/84,263.07
12/24/84,266.57
1/1/85,271.02
1/7/85,264.12
1/14/85,262.01
1/21/85,275.04
1/28/85,273.52
2/4/85,273.43
2/11/85,276.55
2/18/85,281.1
2/25/85,259.86
3/4/85,270.69
3/11/85,276.36
3/18/85,281.15
3/25/85,285.7
3/29/85,276.41
4/1/85,264.96
4/9/85,266.58
4/15/85,275.88
4/22/85,258.49
4/29/85,256.44
5/6/85,250.14
5/13/85,273.66
5/20/85,247.63
5/27/85,245.17
6/1/85,249.41
6/10/85,244.89
6/17/85,255.1
6/24/85,247.2
7/1/85,241.08
7/8/85,243.05
7/15/85,237.45
7/23/85,229.55
7/29/85,228.72
8/5/85,232.39
8/12/85,250.9
8/19/85,247.09
8/26/85,245.7
9/2/85,246.28
9/9/85,236.31
9/16/85,248.77
9/23/85,248.4
9/30/85,228.93
10/7/85,235.05
10/14/85,232.55
10/21/85,233.76
10/28/85,228.92
11/4/85,228.7
11/11/85,226.56
11/18/85,229.29
11/25/85,233.42
12/2/85,224.05
12/9/85,216.55
12/16/85,225.12
12/23/85,227.77
1/1/86,230.5
1/6/86,229.1
1/13/86,237.92
1/20/86,245.98
1/27/86,249.66
2/1/86,256.87
2/10/86,247.8
2/17/86,242.08
2/24/86,248.06
3/1/86,236.49
