Date,cac_40
28-Aug-17,"5,079.75"
25-Aug-17,"5,104.33"
24-Aug-17,"5,113.13"
23-Aug-17,"5,115.39"
22-Aug-17,"5,131.86"
21-Aug-17,"5,087.59"
18-Aug-17,"5,114.15"
17-Aug-17,"5,146.85"
16-Aug-17,"5,176.61"
15-Aug-17,"5,140.25"
14-Aug-17,"5,121.67"
11-Aug-17,"5,060.92"
10-Aug-17,"5,115.23"
9-Aug-17,"5,145.70"
8-Aug-17,"5,218.89"
7-Aug-17,"5,207.89"
4-Aug-17,"5,203.44"
3-Aug-17,"5,130.49"
2-Aug-17,"5,107.25"
1-Aug-17,"5,127.03"
31-Jul-17,"5,093.77"
28-Jul-17,"5,131.39"
27-Jul-17,"5,186.95"
26-Jul-17,"5,190.17"
25-Jul-17,"5,161.08"
24-Jul-17,"5,127.70"
21-Jul-17,"5,117.66"
20-Jul-17,"5,199.22"
19-Jul-17,"5,216.07"
18-Jul-17,"5,173.27"
17-Jul-17,"5,230.17"
14-Jul-17,"5,235.31"
13-Jul-17,"5,235.40"
12-Jul-17,"5,222.13"
11-Jul-17,"5,140.60"
10-Jul-17,"5,165.64"
7-Jul-17,"5,145.16"
6-Jul-17,"5,152.40"
5-Jul-17,"5,180.10"
4-Jul-17,"5,174.90"
3-Jul-17,"5,195.72"
30-Jun-17,"5,120.68"
29-Jun-17,"5,154.35"
28-Jun-17,"5,252.90"
27-Jun-17,"5,258.58"
26-Jun-17,"5,295.75"
23-Jun-17,"5,266.12"
22-Jun-17,"5,281.93"
21-Jun-17,"5,274.26"
20-Jun-17,"5,293.65"
19-Jun-17,"5,310.72"
16-Jun-17,"5,263.31"
15-Jun-17,"5,216.88"
14-Jun-17,"5,243.29"
13-Jun-17,"5,261.74"
12-Jun-17,"5,240.59"
9-Jun-17,"5,299.71"
8-Jun-17,"5,264.24"
7-Jun-17,"5,265.53"
6-Jun-17,"5,269.22"
5-Jun-17,"5,307.89"
2-Jun-17,"5,343.41"
1-Jun-17,"5,318.67"
31-May-17,"5,283.63"
30-May-17,"5,305.94"
29-May-17,"5,332.47"
26-May-17,"5,336.64"
25-May-17,"5,337.16"
24-May-17,"5,341.34"
23-May-17,"5,348.16"
22-May-17,"5,322.88"
19-May-17,"5,324.40"
18-May-17,"5,289.73"
17-May-17,"5,317.89"
16-May-17,"5,406.10"
15-May-17,"5,417.40"
12-May-17,"5,405.42"
11-May-17,"5,383.42"
10-May-17,"5,400.46"
9-May-17,"5,398.01"
8-May-17,"5,382.95"
5-May-17,"5,432.40"
4-May-17,"5,372.42"
3-May-17,"5,301.00"
2-May-17,"5,304.15"
28-Apr-17,"5,267.33"
27-Apr-17,"5,271.70"
26-Apr-17,"5,287.88"
25-Apr-17,"5,277.88"
24-Apr-17,"5,268.85"
21-Apr-17,"5,059.20"
20-Apr-17,"5,077.91"
19-Apr-17,"5,003.73"
18-Apr-17,"4,990.25"
13-Apr-17,"5,071.10"
12-Apr-17,"5,101.11"
11-Apr-17,"5,101.86"
10-Apr-17,"5,107.45"
7-Apr-17,"5,135.28"
6-Apr-17,"5,121.44"
5-Apr-17,"5,091.85"
4-Apr-17,"5,101.13"
3-Apr-17,"5,085.91"
31-Mar-17,"5,122.51"
30-Mar-17,"5,089.64"
29-Mar-17,"5,069.04"
28-Mar-17,"5,046.20"
27-Mar-17,"5,017.43"
24-Mar-17,"5,020.90"
23-Mar-17,"5,032.76"
22-Mar-17,"4,994.70"
21-Mar-17,"5,002.43"
20-Mar-17,"5,012.16"
17-Mar-17,"5,029.24"
16-Mar-17,"5,013.38"
15-Mar-17,"4,985.48"
14-Mar-17,"4,974.26"
13-Mar-17,"4,999.60"
10-Mar-17,"4,993.32"
9-Mar-17,"4,981.51"
8-Mar-17,"4,960.48"
7-Mar-17,"4,955.00"
6-Mar-17,"4,972.19"
3-Mar-17,"4,995.13"
2-Mar-17,"4,963.80"
1-Mar-17,"4,960.83"
28-Feb-17,"4,858.58"
27-Feb-17,"4,845.18"
24-Feb-17,"4,845.24"
23-Feb-17,"4,891.29"
22-Feb-17,"4,895.88"
21-Feb-17,"4,888.76"
20-Feb-17,"4,864.99"
17-Feb-17,"4,867.58"
16-Feb-17,"4,899.46"
15-Feb-17,"4,924.86"
14-Feb-17,"4,895.82"
13-Feb-17,"4,888.19"
10-Feb-17,"4,828.32"
9-Feb-17,"4,826.24"
8-Feb-17,"4,766.60"
7-Feb-17,"4,754.47"
6-Feb-17,"4,778.08"
3-Feb-17,"4,825.42"
2-Feb-17,"4,794.29"
1-Feb-17,"4,794.58"
31-Jan-17,"4,748.90"
30-Jan-17,"4,784.64"
27-Jan-17,"4,839.98"
26-Jan-17,"4,867.24"
25-Jan-17,"4,877.67"
24-Jan-17,"4,830.03"
23-Jan-17,"4,821.41"
20-Jan-17,"4,850.67"
19-Jan-17,"4,841.14"
18-Jan-17,"4,853.40"
17-Jan-17,"4,859.69"
16-Jan-17,"4,882.18"
13-Jan-17,"4,922.49"
12-Jan-17,"4,863.97"
11-Jan-17,"4,888.71"
10-Jan-17,"4,888.23"
9-Jan-17,"4,887.57"
6-Jan-17,"4,909.84"
5-Jan-17,"4,900.64"
4-Jan-17,"4,899.40"
3-Jan-17,"4,899.33"
2-Jan-17,"4,882.38"
30-Dec-16,"4,862.31"
29-Dec-16,"4,838.47"
28-Dec-16,"4,848.01"
27-Dec-16,"4,848.28"
23-Dec-16,"4,839.68"
22-Dec-16,"4,834.63"
21-Dec-16,"4,833.82"
20-Dec-16,"4,849.89"
19-Dec-16,"4,822.77"
16-Dec-16,"4,833.27"
15-Dec-16,"4,819.23"
14-Dec-16,"4,769.24"
13-Dec-16,"4,803.87"
12-Dec-16,"4,760.77"
9-Dec-16,"4,764.07"
8-Dec-16,"4,735.48"
7-Dec-16,"4,694.72"
6-Dec-16,"4,631.94"
5-Dec-16,"4,574.32"
2-Dec-16,"4,528.82"
1-Dec-16,"4,560.61"
30-Nov-16,"4,578.34"
29-Nov-16,"4,551.46"
28-Nov-16,"4,510.39"
25-Nov-16,"4,550.27"
24-Nov-16,"4,542.56"
23-Nov-16,"4,529.21"
22-Nov-16,"4,548.35"
21-Nov-16,"4,529.58"
18-Nov-16,"4,504.35"
17-Nov-16,"4,527.77"
16-Nov-16,"4,501.14"
15-Nov-16,"4,536.53"
14-Nov-16,"4,508.55"
11-Nov-16,"4,489.27"
10-Nov-16,"4,530.95"
9-Nov-16,"4,543.48"
8-Nov-16,"4,476.89"
7-Nov-16,"4,461.21"
4-Nov-16,"4,377.46"
3-Nov-16,"4,411.68"
2-Nov-16,"4,414.67"
1-Nov-16,"4,470.28"
31-Oct-16,"4,509.26"
28-Oct-16,"4,548.58"
27-Oct-16,"4,533.57"
26-Oct-16,"4,534.59"
25-Oct-16,"4,540.84"
24-Oct-16,"4,552.58"
21-Oct-16,"4,536.07"
20-Oct-16,"4,540.12"
19-Oct-16,"4,520.30"
18-Oct-16,"4,508.91"
17-Oct-16,"4,450.23"
14-Oct-16,"4,470.92"
13-Oct-16,"4,405.17"
12-Oct-16,"4,452.24"
11-Oct-16,"4,471.74"
10-Oct-16,"4,497.26"
7-Oct-16,"4,449.91"
6-Oct-16,"4,480.10"
5-Oct-16,"4,489.95"
4-Oct-16,"4,503.09"
3-Oct-16,"4,453.56"
30-Sep-16,"4,448.26"
29-Sep-16,"4,443.84"
28-Sep-16,"4,432.45"
27-Sep-16,"4,398.68"
26-Sep-16,"4,407.85"
23-Sep-16,"4,488.69"
22-Sep-16,"4,509.82"
21-Sep-16,"4,409.55"
20-Sep-16,"4,388.60"
19-Sep-16,"4,394.19"
16-Sep-16,"4,332.45"
15-Sep-16,"4,373.22"
14-Sep-16,"4,370.26"
13-Sep-16,"4,387.18"
12-Sep-16,"4,439.80"
9-Sep-16,"4,491.40"
8-Sep-16,"4,542.20"
7-Sep-16,"4,557.66"
6-Sep-16,"4,529.96"
5-Sep-16,"4,541.08"
2-Sep-16,"4,542.17"
1-Sep-16,"4,439.67"
31-Aug-16,"4,438.22"
30-Aug-16,"4,457.49"
29-Aug-16,"4,424.25"
26-Aug-16,"4,441.87"
25-Aug-16,"4,406.61"
24-Aug-16,"4,435.47"
23-Aug-16,"4,421.45"
22-Aug-16,"4,389.94"
19-Aug-16,"4,400.52"
18-Aug-16,"4,437.06"
17-Aug-16,"4,417.68"
16-Aug-16,"4,460.44"
15-Aug-16,"4,497.86"
12-Aug-16,"4,500.19"
11-Aug-16,"4,503.95"
10-Aug-16,"4,452.01"
9-Aug-16,"4,468.07"
8-Aug-16,"4,415.46"
5-Aug-16,"4,410.55"
4-Aug-16,"4,345.63"
3-Aug-16,"4,321.08"
2-Aug-16,"4,327.99"
1-Aug-16,"4,409.17"
29-Jul-16,"4,439.81"
28-Jul-16,"4,420.58"
27-Jul-16,"4,446.96"
26-Jul-16,"4,394.77"
25-Jul-16,"4,388.00"
22-Jul-16,"4,381.10"
21-Jul-16,"4,376.25"
20-Jul-16,"4,379.76"
19-Jul-16,"4,330.13"
18-Jul-16,"4,357.74"
15-Jul-16,"4,372.51"
14-Jul-16,"4,385.52"
13-Jul-16,"4,335.26"
12-Jul-16,"4,331.38"
11-Jul-16,"4,264.53"
8-Jul-16,"4,190.68"
7-Jul-16,"4,117.85"
6-Jul-16,"4,085.30"
5-Jul-16,"4,163.42"
4-Jul-16,"4,234.86"
1-Jul-16,"4,273.96"
30-Jun-16,"4,237.48"
29-Jun-16,"4,195.32"
28-Jun-16,"4,088.85"
27-Jun-16,"3,984.72"
24-Jun-16,"4,106.73"
23-Jun-16,"4,465.90"
22-Jun-16,"4,380.03"
21-Jun-16,"4,367.24"
20-Jun-16,"4,340.76"
17-Jun-16,"4,193.83"
16-Jun-16,"4,153.01"
15-Jun-16,"4,171.58"
14-Jun-16,"4,130.33"
13-Jun-16,"4,227.02"
10-Jun-16,"4,306.72"
9-Jun-16,"4,405.61"
8-Jun-16,"4,448.73"
7-Jun-16,"4,475.86"
6-Jun-16,"4,423.38"
3-Jun-16,"4,421.78"
2-Jun-16,"4,466.00"
1-Jun-16,"4,475.39"
31-May-16,"4,505.62"
30-May-16,"4,529.40"
27-May-16,"4,514.74"
26-May-16,"4,512.64"
25-May-16,"4,481.64"
