Date,cad_50
16-Aug-17,258.69
15-Aug-17,258.62
14-Aug-17,258.99
11-Aug-17,257.18
10-Aug-17,258.04
9-Aug-17,260.47
8-Aug-17,260.94
7-Aug-17,261.06
4-Aug-17,261.06
3-Aug-17,259.84
2-Aug-17,260.62
1-Aug-17,259.03
31-Jul-17,258
28-Jul-17,257.36
27-Jul-17,258.53
26-Jul-17,258.03
25-Jul-17,259.07
24-Jul-17,258.18
21-Jul-17,259.2
20-Jul-17,260.62
19-Jul-17,259.81
18-Jul-17,258.32
17-Jul-17,258.56
14-Jul-17,258.93
13-Jul-17,258.23
12-Jul-17,258.15
11-Jul-17,258.3
10-Jul-17,257.6
7-Jul-17,256.51
6-Jul-17,257.2
5-Jul-17,258.07
4-Jul-17,257.34
3-Jul-17,258.04
30-Jun-17,258.04
29-Jun-17,258.93
28-Jun-17,261.22
27-Jun-17,260.06
26-Jun-17,260.4
23-Jun-17,260.42
22-Jun-17,258.95
21-Jun-17,257.99
20-Jun-17,258.13
19-Jun-17,260.13
16-Jun-17,258.85
15-Jun-17,258.24
14-Jun-17,257.92
13-Jun-17,261.03
12-Jun-17,261.38
9-Jun-17,263.26
8-Jun-17,262.05
7-Jun-17,261.08
6-Jun-17,262.52
5-Jun-17,262.24
2-Jun-17,262.86
1-Jun-17,263.26
31-May-17,261.55
30-May-17,261.83
29-May-17,262.28
26-May-17,262.18
25-May-17,262.02
24-May-17,261.79
23-May-17,262.91
22-May-17,262.31
19-May-17,262.31
18-May-17,259.5
17-May-17,259.09
16-May-17,263.9
15-May-17,265.86
12-May-17,264.29
11-May-17,264.31
10-May-17,266.08
9-May-17,265.43
8-May-17,267.21
5-May-17,266.05
4-May-17,263.04
3-May-17,265.02
2-May-17,266.1
1-May-17,265.27
28-Apr-17,265.58
27-Apr-17,264.28
26-Apr-17,267.24
25-Apr-17,268.97
24-Apr-17,268.24
21-Apr-17,265.78
20-Apr-17,266.07
19-Apr-17,264.41
18-Apr-17,265.35
17-Apr-17,266.66
14-Apr-17,263.69
13-Apr-17,263.69
12-Apr-17,265.57
11-Apr-17,267.02
10-Apr-17,267.49
7-Apr-17,266.71
6-Apr-17,267.24
5-Apr-17,266.23
4-Apr-17,266.69
3-Apr-17,265.44
31-Mar-17,264.58
30-Mar-17,265.42
29-Mar-17,266.82
28-Mar-17,266.18
27-Mar-17,264.34
24-Mar-17,263.52
23-Mar-17,263.39
22-Mar-17,261.84
21-Mar-17,261.13
20-Mar-17,263.19
