Date,ger_dax
16-Aug-17,"12,263.86"
15-Aug-17,"12,177.04"
14-Aug-17,"12,165.12"
11-Aug-17,"12,014.06"
10-Aug-17,"12,014.30"
9-Aug-17,"12,154.00"
8-Aug-17,"12,292.05"
7-Aug-17,"12,257.17"
4-Aug-17,"12,297.72"
3-Aug-17,"12,154.72"
2-Aug-17,"12,181.48"
1-Aug-17,"12,251.29"
31-Jul-17,"12,118.25"
28-Jul-17,"12,162.70"
27-Jul-17,"12,212.04"
26-Jul-17,"12,305.11"
25-Jul-17,"12,264.31"
24-Jul-17,"12,208.95"
21-Jul-17,"12,240.06"
20-Jul-17,"12,447.25"
19-Jul-17,"12,452.05"
18-Jul-17,"12,430.39"
17-Jul-17,"12,587.16"
14-Jul-17,"12,631.72"
13-Jul-17,"12,641.33"
12-Jul-17,"12,626.58"
11-Jul-17,"12,437.02"
10-Jul-17,"12,445.92"
7-Jul-17,"12,388.68"
6-Jul-17,"12,381.25"
5-Jul-17,"12,453.68"
4-Jul-17,"12,437.13"
3-Jul-17,"12,475.31"
30-Jun-17,"12,325.12"
29-Jun-17,"12,416.19"
28-Jun-17,"12,647.27"
27-Jun-17,"12,671.02"
26-Jun-17,"12,770.83"
23-Jun-17,"12,733.41"
22-Jun-17,"12,794.00"
21-Jun-17,"12,774.26"
20-Jun-17,"12,814.79"
19-Jun-17,"12,888.95"
16-Jun-17,"12,752.73"
15-Jun-17,"12,691.81"
14-Jun-17,"12,805.95"
13-Jun-17,"12,764.98"
12-Jun-17,"12,690.44"
9-Jun-17,"12,815.72"
8-Jun-17,"12,713.58"
7-Jun-17,"12,672.49"
6-Jun-17,"12,690.12"
2-Jun-17,"12,822.94"
1-Jun-17,"12,664.92"
31-May-17,"12,615.06"
30-May-17,"12,598.68"
29-May-17,"12,628.95"
26-May-17,"12,602.18"
25-May-17,"12,621.72"
24-May-17,"12,642.87"
23-May-17,"12,659.15"
22-May-17,"12,619.46"
19-May-17,"12,638.69"
18-May-17,"12,590.06"
17-May-17,"12,631.61"
16-May-17,"12,804.53"
15-May-17,"12,807.04"
12-May-17,"12,770.41"
11-May-17,"12,711.06"
10-May-17,"12,757.46"
9-May-17,"12,749.12"
8-May-17,"12,694.55"
5-May-17,"12,716.89"
4-May-17,"12,647.78"
3-May-17,"12,527.84"
2-May-17,"12,507.90"
28-Apr-17,"12,438.01"
27-Apr-17,"12,443.79"
26-Apr-17,"12,472.80"
25-Apr-17,"12,467.04"
24-Apr-17,"12,454.98"
21-Apr-17,"12,048.57"
20-Apr-17,"12,027.32"
19-Apr-17,"12,016.45"
18-Apr-17,"12,000.44"
13-Apr-17,"12,109.00"
12-Apr-17,"12,154.70"
11-Apr-17,"12,139.35"
10-Apr-17,"12,200.52"
7-Apr-17,"12,225.06"
6-Apr-17,"12,230.89"
5-Apr-17,"12,217.54"
4-Apr-17,"12,282.34"
3-Apr-17,"12,257.20"
31-Mar-17,"12,312.87"
30-Mar-17,"12,256.43"
29-Mar-17,"12,203.00"
28-Mar-17,"12,149.42"
27-Mar-17,"11,996.07"
24-Mar-17,"12,064.27"
23-Mar-17,"12,039.68"
22-Mar-17,"11,904.12"
21-Mar-17,"11,962.13"
20-Mar-17,"12,052.90"
17-Mar-17,"12,095.24"
16-Mar-17,"12,083.18"
15-Mar-17,"12,009.87"
14-Mar-17,"11,988.79"
13-Mar-17,"11,990.03"
10-Mar-17,"11,963.18"
9-Mar-17,"11,978.39"
8-Mar-17,"11,967.31"
7-Mar-17,"11,966.14"
6-Mar-17,"11,958.40"
3-Mar-17,"12,027.36"
2-Mar-17,"12,059.57"
1-Mar-17,"12,067.19"
28-Feb-17,"11,834.41"
27-Feb-17,"11,822.67"
24-Feb-17,"11,804.03"
23-Feb-17,"11,947.83"
22-Feb-17,"11,998.59"
21-Feb-17,"11,967.49"
20-Feb-17,"11,827.62"
17-Feb-17,"11,757.02"
16-Feb-17,"11,757.24"
15-Feb-17,"11,793.93"
14-Feb-17,"11,771.81"
13-Feb-17,"11,774.43"
10-Feb-17,"11,666.97"
9-Feb-17,"11,642.86"
8-Feb-17,"11,543.38"
7-Feb-17,"11,549.44"
6-Feb-17,"11,509.84"
3-Feb-17,"11,651.49"
2-Feb-17,"11,627.95"
1-Feb-17,"11,659.50"
31-Jan-17,"11,535.31"
30-Jan-17,"11,681.89"
27-Jan-17,"11,814.27"
26-Jan-17,"11,848.63"
25-Jan-17,"11,806.05"
24-Jan-17,"11,594.94"
23-Jan-17,"11,545.75"
20-Jan-17,"11,630.13"
19-Jan-17,"11,596.89"
18-Jan-17,"11,599.39"
17-Jan-17,"11,540.00"
16-Jan-17,"11,554.71"
13-Jan-17,"11,629.18"
12-Jan-17,"11,521.04"
11-Jan-17,"11,646.17"
10-Jan-17,"11,583.30"
9-Jan-17,"11,563.99"
6-Jan-17,"11,599.01"
5-Jan-17,"11,584.94"
4-Jan-17,"11,584.31"
3-Jan-17,"11,584.24"
2-Jan-17,"11,598.33"
30-Dec-16,"11,481.06"
29-Dec-16,"11,451.05"
28-Dec-16,"11,474.99"
27-Dec-16,"11,472.24"
23-Dec-16,"11,449.93"
22-Dec-16,"11,456.10"
21-Dec-16,"11,468.64"
20-Dec-16,"11,464.74"
19-Dec-16,"11,426.70"
16-Dec-16,"11,404.01"
15-Dec-16,"11,366.40"
14-Dec-16,"11,244.84"
13-Dec-16,"11,284.65"
12-Dec-16,"11,190.21"
9-Dec-16,"11,203.63"
8-Dec-16,"11,179.42"
7-Dec-16,"10,986.69"
6-Dec-16,"10,775.32"
5-Dec-16,"10,684.83"
2-Dec-16,"10,513.35"
1-Dec-16,"10,534.05"
30-Nov-16,"10,640.30"
29-Nov-16,"10,620.49"
28-Nov-16,"10,582.67"
25-Nov-16,"10,699.27"
24-Nov-16,"10,689.26"
23-Nov-16,"10,662.44"
22-Nov-16,"10,713.85"
21-Nov-16,"10,685.13"
18-Nov-16,"10,664.56"
17-Nov-16,"10,685.54"
16-Nov-16,"10,663.87"
15-Nov-16,"10,735.14"
14-Nov-16,"10,693.69"
11-Nov-16,"10,667.95"
10-Nov-16,"10,630.12"
9-Nov-16,"10,646.01"
8-Nov-16,"10,482.32"
7-Nov-16,"10,456.95"
4-Nov-16,"10,259.13"
3-Nov-16,"10,325.88"
2-Nov-16,"10,370.93"
1-Nov-16,"10,526.16"
31-Oct-16,"10,665.01"
28-Oct-16,"10,696.19"
27-Oct-16,"10,717.08"
26-Oct-16,"10,709.68"
25-Oct-16,"10,757.31"
24-Oct-16,"10,761.17"
21-Oct-16,"10,710.73"
20-Oct-16,"10,701.39"
19-Oct-16,"10,645.68"
18-Oct-16,"10,631.55"
17-Oct-16,"10,503.57"
14-Oct-16,"10,580.38"
13-Oct-16,"10,414.07"
12-Oct-16,"10,523.07"
11-Oct-16,"10,577.16"
10-Oct-16,"10,624.08"
7-Oct-16,"10,490.86"
6-Oct-16,"10,568.80"
5-Oct-16,"10,585.78"
4-Oct-16,"10,619.61"
30-Sep-16,"10,511.02"
29-Sep-16,"10,405.54"
28-Sep-16,"10,438.34"
27-Sep-16,"10,361.48"
26-Sep-16,"10,393.71"
23-Sep-16,"10,626.97"
22-Sep-16,"10,674.18"
21-Sep-16,"10,436.49"
20-Sep-16,"10,393.86"
19-Sep-16,"10,373.87"
16-Sep-16,"10,276.17"
15-Sep-16,"10,431.20"
14-Sep-16,"10,378.40"
13-Sep-16,"10,386.60"
12-Sep-16,"10,431.77"
9-Sep-16,"10,573.44"
8-Sep-16,"10,675.29"
7-Sep-16,"10,752.98"
6-Sep-16,"10,687.14"
5-Sep-16,"10,672.22"
2-Sep-16,"10,683.82"
1-Sep-16,"10,534.31"
31-Aug-16,"10,592.69"
30-Aug-16,"10,657.64"
29-Aug-16,"10,544.44"
26-Aug-16,"10,587.77"
25-Aug-16,"10,529.59"
24-Aug-16,"10,622.97"
23-Aug-16,"10,592.88"
22-Aug-16,"10,494.35"
19-Aug-16,"10,544.36"
18-Aug-16,"10,603.03"
17-Aug-16,"10,537.67"
16-Aug-16,"10,676.65"
15-Aug-16,"10,739.21"
12-Aug-16,"10,713.43"
11-Aug-16,"10,742.84"
10-Aug-16,"10,650.89"
9-Aug-16,"10,692.90"
8-Aug-16,"10,432.36"
5-Aug-16,"10,367.21"
4-Aug-16,"10,227.86"
3-Aug-16,"10,170.21"
2-Aug-16,"10,144.34"
1-Aug-16,"10,330.52"
29-Jul-16,"10,337.50"
28-Jul-16,"10,274.93"
27-Jul-16,"10,319.55"
26-Jul-16,"10,247.76"
25-Jul-16,"10,198.24"
22-Jul-16,"10,147.46"
21-Jul-16,"10,156.21"
20-Jul-16,"10,142.01"
19-Jul-16,"9,981.24"
18-Jul-16,"10,063.13"
15-Jul-16,"10,066.90"
14-Jul-16,"10,068.30"
13-Jul-16,"9,930.71"
12-Jul-16,"9,964.07"
11-Jul-16,"9,833.41"
8-Jul-16,"9,629.66"
7-Jul-16,"9,418.78"
6-Jul-16,"9,373.26"
5-Jul-16,"9,532.61"
4-Jul-16,"9,709.09"
1-Jul-16,"9,776.12"
30-Jun-16,"9,680.09"
29-Jun-16,"9,612.27"
28-Jun-16,"9,447.28"
27-Jun-16,"9,268.66"
24-Jun-16,"9,557.16"
23-Jun-16,"10,257.03"
22-Jun-16,"10,071.06"
21-Jun-16,"10,015.54"
20-Jun-16,"9,962.02"
17-Jun-16,"9,631.36"
16-Jun-16,"9,550.47"
15-Jun-16,"9,606.71"
14-Jun-16,"9,519.20"
13-Jun-16,"9,657.44"
10-Jun-16,"9,834.62"
9-Jun-16,"10,088.87"
8-Jun-16,"10,217.03"
7-Jun-16,"10,287.68"
6-Jun-16,"10,121.08"
3-Jun-16,"10,103.26"
2-Jun-16,"10,208.00"
1-Jun-16,"10,204.44"
31-May-16,"10,262.74"
30-May-16,"10,333.23"
27-May-16,"10,286.31"
26-May-16,"10,272.71"
25-May-16,"10,205.21"
24-May-16,"10,057.31"
23-May-16,"9,842.29"
20-May-16,"9,916.02"
19-May-16,"9,795.89"
18-May-16,"9,943.23"
17-May-16,"9,890.19"
13-May-16,"9,952.90"
12-May-16,"9,862.12"
11-May-16,"9,975.32"
10-May-16,"10,045.44"
9-May-16,"9,980.49"
6-May-16,"9,869.95"
5-May-16,"9,851.86"
4-May-16,"9,828.25"
3-May-16,"9,926.77"
2-May-16,"10,123.27"
29-Apr-16,"10,038.97"
28-Apr-16,"10,321.15"
27-Apr-16,"10,299.83"
26-Apr-16,"10,259.59"
25-Apr-16,"10,294.35"
22-Apr-16,"10,373.49"
21-Apr-16,"10,435.73"
20-Apr-16,"10,421.29"
19-Apr-16,"10,349.59"
18-Apr-16,"10,120.31"
15-Apr-16,"10,051.57"
14-Apr-16,"10,093.65"
