Date,us_dow
16-Aug-17,"21,994.00"
15-Aug-17,"21,977.00"
14-Aug-17,"21,952.00"
13-Aug-17,"21,897.50"
11-Aug-17,"21,848.00"
10-Aug-17,"21,836.00"
9-Aug-17,"22,018.00"
8-Aug-17,"22,030.00"
7-Aug-17,"22,062.00"
4-Aug-17,"22,017.00"
3-Aug-17,"21,974.00"
2-Aug-17,"21,957.00"
1-Aug-17,"21,904.00"
31-Jul-17,"21,842.00"
28-Jul-17,"21,775.00"
27-Jul-17,"21,743.00"
26-Jul-17,"21,646.00"
25-Jul-17,"21,560.00"
24-Jul-17,"21,499.00"
21-Jul-17,"21,518.00"
20-Jul-17,"21,581.00"
19-Jul-17,"21,596.00"
18-Jul-17,"21,520.00"
17-Jul-17,"21,581.00"
14-Jul-17,"21,595.00"
13-Jul-17,"21,509.00"
12-Jul-17,"21,483.00"
11-Jul-17,"21,367.00"
10-Jul-17,"21,359.00"
7-Jul-17,"21,370.00"
6-Jul-17,"21,280.00"
5-Jul-17,"21,422.00"
4-Jul-17,"21,421.50"
3-Jul-17,"21,436.00"
30-Jun-17,"21,300.00"
29-Jun-17,"21,255.00"
28-Jun-17,"21,402.00"
27-Jun-17,"21,291.00"
26-Jun-17,"21,368.00"
23-Jun-17,"21,339.00"
22-Jun-17,"21,348.00"
21-Jun-17,"21,378.00"
20-Jun-17,"21,437.00"
19-Jun-17,"21,461.00"
16-Jun-17,"21,360.10"
15-Jun-17,"21,363.00"
14-Jun-17,"21,371.00"
13-Jun-17,"21,322.00"
12-Jun-17,"21,226.00"
9-Jun-17,"21,251.00"
8-Jun-17,"21,178.00"
7-Jun-17,"21,163.00"
6-Jun-17,"21,156.00"
5-Jun-17,"21,176.00"
2-Jun-17,"21,203.00"
1-Jun-17,"21,132.00"
31-May-17,"21,002.00"
30-May-17,"21,015.00"
29-May-17,"21,069.00"
28-May-17,"21,075.50"
26-May-17,"21,066.00"
25-May-17,"21,063.00"
24-May-17,"20,985.00"
23-May-17,"20,915.00"
22-May-17,"20,878.00"
19-May-17,"20,787.00"
18-May-17,"20,644.00"
17-May-17,"20,605.00"
16-May-17,"20,935.00"
15-May-17,"20,930.00"
12-May-17,"20,848.00"
11-May-17,"20,870.00"
10-May-17,"20,893.00"
9-May-17,"20,907.00"
8-May-17,"20,941.00"
5-May-17,"20,954.00"
4-May-17,"20,871.00"
3-May-17,"20,879.00"
2-May-17,"20,865.00"
1-May-17,"20,873.00"
28-Apr-17,"20,874.00"
27-Apr-17,"20,898.00"
26-Apr-17,"20,905.00"
25-Apr-17,"20,945.00"
24-Apr-17,"20,696.00"
21-Apr-17,"20,503.00"
20-Apr-17,"20,528.00"
19-Apr-17,"20,335.00"
18-Apr-17,"20,433.00"
17-Apr-17,"20,569.00"
13-Apr-17,"20,414.00"
12-Apr-17,"20,516.00"
11-Apr-17,"20,593.00"
10-Apr-17,"20,598.00"
7-Apr-17,"20,599.00"
6-Apr-17,"20,605.00"
5-Apr-17,"20,577.00"
4-Apr-17,"20,634.00"
3-Apr-17,"20,590.00"
31-Mar-17,"20,604.00"
30-Mar-17,"20,660.00"
29-Mar-17,"20,601.00"
28-Mar-17,"20,625.00"
27-Mar-17,"20,497.00"
24-Mar-17,"20,575.00"
23-Mar-17,"20,588.00"
22-Mar-17,"20,596.00"
21-Mar-17,"20,627.00"
20-Mar-17,"20,868.00"
17-Mar-17,"20,972.50"
16-Mar-17,"20,940.00"
15-Mar-17,"20,944.00"
14-Mar-17,"20,847.00"
13-Mar-17,"20,888.00"
10-Mar-17,"20,892.00"
9-Mar-17,"20,869.00"
8-Mar-17,"20,868.00"
7-Mar-17,"20,913.00"
6-Mar-17,"20,957.00"
3-Mar-17,"20,981.00"
2-Mar-17,"21,006.00"
1-Mar-17,"21,091.00"
28-Feb-17,"20,807.00"
27-Feb-17,"20,813.00"
24-Feb-17,"20,787.00"
23-Feb-17,"20,797.00"
22-Feb-17,"20,749.00"
21-Feb-17,"20,688.00"
20-Feb-17,"20,633.00"
19-Feb-17,"20,580.00"
17-Feb-17,"20,588.00"
16-Feb-17,"20,594.00"
15-Feb-17,"20,623.00"
14-Feb-17,"20,482.00"
13-Feb-17,"20,383.00"
10-Feb-17,"20,223.00"
9-Feb-17,"20,136.00"
8-Feb-17,"20,002.00"
7-Feb-17,"20,018.00"
6-Feb-17,"19,972.00"
3-Feb-17,"19,986.00"
2-Feb-17,"19,821.00"
1-Feb-17,"19,816.00"
31-Jan-17,"19,792.00"
30-Jan-17,"19,888.00"
27-Jan-17,"20,012.00"
26-Jan-17,"20,051.00"
25-Jan-17,"20,003.00"
24-Jan-17,"19,844.00"
23-Jan-17,"19,735.00"
20-Jan-17,"19,745.00"
19-Jan-17,"19,694.00"
18-Jan-17,"19,735.00"
17-Jan-17,"19,743.00"
16-Jan-17,"19,784.50"
15-Jan-17,"19,804.50"
13-Jan-17,"19,832.00"
12-Jan-17,"19,803.00"
11-Jan-17,"19,877.00"
10-Jan-17,"19,788.00"
9-Jan-17,"19,828.00"
6-Jan-17,"19,897.00"
5-Jan-17,"19,821.00"
4-Jan-17,"19,856.00"
3-Jan-17,"19,798.00"
2-Jan-17,"19,780.00"
30-Dec-16,"19,720.00"
29-Dec-16,"19,759.00"
28-Dec-16,"19,775.00"
27-Dec-16,"19,876.00"
26-Dec-16,"19,870.50"
23-Dec-16,"19,874.00"
22-Dec-16,"19,873.00"
21-Dec-16,"19,891.00"
20-Dec-16,"19,899.00"
19-Dec-16,"19,837.00"
16-Dec-16,"19,918.40"
15-Dec-16,"19,863.00"
14-Dec-16,"19,824.00"
13-Dec-16,"19,912.00"
12-Dec-16,"19,781.00"
9-Dec-16,"19,769.00"
8-Dec-16,"19,621.00"
7-Dec-16,"19,517.00"
6-Dec-16,"19,232.00"
5-Dec-16,"19,210.00"
2-Dec-16,"19,158.00"
1-Dec-16,"19,197.00"
30-Nov-16,"19,132.00"
29-Nov-16,"19,115.00"
28-Nov-16,"19,080.00"
25-Nov-16,"19,144.00"
24-Nov-16,"19,102.00"
23-Nov-16,"19,054.00"
22-Nov-16,"18,995.00"
21-Nov-16,"18,910.00"
18-Nov-16,"18,853.00"
17-Nov-16,"18,869.00"
16-Nov-16,"18,833.00"
15-Nov-16,"18,880.00"
14-Nov-16,"18,822.00"
11-Nov-16,"18,787.00"
10-Nov-16,"18,786.00"
9-Nov-16,"18,532.00"
8-Nov-16,"18,285.00"
7-Nov-16,"18,192.00"
4-Nov-16,"17,805.00"
3-Nov-16,"17,852.00"
2-Nov-16,"17,881.00"
1-Nov-16,"17,939.00"
31-Oct-16,"18,062.00"
28-Oct-16,"18,098.00"
27-Oct-16,"18,082.00"
26-Oct-16,"18,128.00"
25-Oct-16,"18,097.00"
24-Oct-16,"18,134.00"
21-Oct-16,"18,066.00"
20-Oct-16,"18,108.00"
19-Oct-16,"18,125.00"
18-Oct-16,"18,064.00"
