Date,uk_ftse
16-Aug-17,"7,433.03"
15-Aug-17,"7,383.85"
14-Aug-17,"7,353.89"
11-Aug-17,"7,309.96"
10-Aug-17,"7,389.94"
9-Aug-17,"7,498.06"
8-Aug-17,"7,542.73"
7-Aug-17,"7,531.94"
4-Aug-17,"7,511.71"
3-Aug-17,"7,474.77"
2-Aug-17,"7,411.43"
1-Aug-17,"7,423.66"
31-Jul-17,"7,372.00"
28-Jul-17,"7,368.37"
27-Jul-17,"7,443.01"
26-Jul-17,"7,452.32"
25-Jul-17,"7,434.82"
24-Jul-17,"7,377.73"
21-Jul-17,"7,452.91"
20-Jul-17,"7,487.87"
19-Jul-17,"7,430.91"
18-Jul-17,"7,390.22"
17-Jul-17,"7,404.13"
14-Jul-17,"7,378.39"
13-Jul-17,"7,413.44"
12-Jul-17,"7,416.93"
11-Jul-17,"7,329.76"
10-Jul-17,"7,370.03"
7-Jul-17,"7,350.92"
6-Jul-17,"7,337.28"
5-Jul-17,"7,367.60"
4-Jul-17,"7,357.23"
3-Jul-17,"7,377.09"
30-Jun-17,"7,312.72"
29-Jun-17,"7,350.32"
28-Jun-17,"7,387.80"
27-Jun-17,"7,434.36"
26-Jun-17,"7,446.80"
23-Jun-17,"7,424.13"
22-Jun-17,"7,439.29"
21-Jun-17,"7,447.79"
20-Jun-17,"7,472.71"
19-Jun-17,"7,523.81"
16-Jun-17,"7,463.54"
15-Jun-17,"7,419.36"
14-Jun-17,"7,474.40"
13-Jun-17,"7,500.44"
12-Jun-17,"7,511.87"
9-Jun-17,"7,527.33"
8-Jun-17,"7,449.98"
7-Jun-17,"7,478.62"
6-Jun-17,"7,524.95"
5-Jun-17,"7,525.76"
2-Jun-17,"7,547.63"
1-Jun-17,"7,543.77"
31-May-17,"7,519.95"
30-May-17,"7,526.51"
26-May-17,"7,547.63"
25-May-17,"7,517.71"
24-May-17,"7,514.90"
23-May-17,"7,485.29"
22-May-17,"7,496.34"
19-May-17,"7,470.71"
18-May-17,"7,436.42"
17-May-17,"7,503.47"
16-May-17,"7,522.03"
15-May-17,"7,454.37"
12-May-17,"7,435.39"
11-May-17,"7,386.63"
10-May-17,"7,385.24"
9-May-17,"7,342.21"
8-May-17,"7,300.86"
5-May-17,"7,297.43"
4-May-17,"7,248.10"
3-May-17,"7,234.53"
2-May-17,"7,250.05"
28-Apr-17,"7,203.94"
27-Apr-17,"7,237.17"
26-Apr-17,"7,288.72"
25-Apr-17,"7,275.64"
24-Apr-17,"7,264.68"
21-Apr-17,"7,114.55"
20-Apr-17,"7,118.54"
19-Apr-17,"7,114.36"
18-Apr-17,"7,147.50"
13-Apr-17,"7,327.59"
12-Apr-17,"7,348.99"
11-Apr-17,"7,365.50"
10-Apr-17,"7,348.94"
7-Apr-17,"7,349.37"
6-Apr-17,"7,303.20"
5-Apr-17,"7,331.68"
4-Apr-17,"7,321.82"
3-Apr-17,"7,282.69"
31-Mar-17,"7,322.92"
30-Mar-17,"7,369.52"
29-Mar-17,"7,373.72"
28-Mar-17,"7,343.42"
27-Mar-17,"7,293.50"
24-Mar-17,"7,336.82"
23-Mar-17,"7,340.71"
22-Mar-17,"7,324.72"
21-Mar-17,"7,378.34"
20-Mar-17,"7,429.81"
17-Mar-17,"7,424.96"
16-Mar-17,"7,415.95"
15-Mar-17,"7,368.64"
14-Mar-17,"7,357.85"
13-Mar-17,"7,367.08"
10-Mar-17,"7,343.08"
9-Mar-17,"7,314.96"
8-Mar-17,"7,334.61"
7-Mar-17,"7,338.99"
6-Mar-17,"7,350.12"
3-Mar-17,"7,374.26"
2-Mar-17,"7,382.35"
1-Mar-17,"7,382.90"
28-Feb-17,"7,263.44"
27-Feb-17,"7,253.00"
24-Feb-17,"7,243.70"
23-Feb-17,"7,271.37"
22-Feb-17,"7,302.25"
21-Feb-17,"7,274.83"
20-Feb-17,"7,299.86"
17-Feb-17,"7,299.96"
16-Feb-17,"7,277.92"
15-Feb-17,"7,302.41"
14-Feb-17,"7,268.56"
13-Feb-17,"7,278.92"
10-Feb-17,"7,258.75"
9-Feb-17,"7,229.50"
8-Feb-17,"7,188.82"
7-Feb-17,"7,186.22"
6-Feb-17,"7,172.15"
3-Feb-17,"7,188.30"
2-Feb-17,"7,140.75"
1-Feb-17,"7,107.65"
31-Jan-17,"7,099.15"
