Date,spain_ibex
16-Aug-17,"10,544.30"
15-Aug-17,"10,481.50"
14-Aug-17,"10,461.20"
11-Aug-17,"10,282.90"
10-Aug-17,"10,450.00"
9-Aug-17,"10,596.00"
8-Aug-17,"10,734.70"
7-Aug-17,"10,676.50"
4-Aug-17,"10,658.40"
3-Aug-17,"10,549.10"
2-Aug-17,"10,513.90"
1-Aug-17,"10,586.70"
31-Jul-17,"10,502.20"
28-Jul-17,"10,536.10"
27-Jul-17,"10,603.40"
26-Jul-17,"10,575.40"
25-Jul-17,"10,523.40"
24-Jul-17,"10,446.50"
21-Jul-17,"10,426.60"
20-Jul-17,"10,564.80"
19-Jul-17,"10,588.10"
18-Jul-17,"10,524.50"
17-Jul-17,"10,651.20"
14-Jul-17,"10,655.10"
13-Jul-17,"10,658.30"
12-Jul-17,"10,560.40"
11-Jul-17,"10,449.10"
10-Jul-17,"10,509.50"
7-Jul-17,"10,488.80"
6-Jul-17,"10,498.40"
5-Jul-17,"10,523.60"
4-Jul-17,"10,566.70"
3-Jul-17,"10,604.20"
30-Jun-17,"10,444.50"
29-Jun-17,"10,531.10"
28-Jun-17,"10,702.70"
27-Jun-17,"10,647.90"
26-Jun-17,"10,696.60"
23-Jun-17,"10,630.80"
22-Jun-17,"10,709.90"
21-Jun-17,"10,740.70"
20-Jun-17,"10,746.10"
19-Jun-17,"10,848.90"
16-Jun-17,"10,759.40"
15-Jun-17,"10,699.60"
14-Jun-17,"10,775.80"
13-Jun-17,"10,882.10"
12-Jun-17,"10,842.40"
9-Jun-17,"10,978.30"
8-Jun-17,"10,953.10"
7-Jun-17,"10,871.70"
6-Jun-17,"10,879.70"
5-Jun-17,"10,884.70"
2-Jun-17,"10,905.90"
1-Jun-17,"10,881.00"
31-May-17,"10,880.00"
30-May-17,"10,876.90"
29-May-17,"10,884.00"
26-May-17,"10,904.20"
25-May-17,"10,937.70"
24-May-17,"10,907.40"
23-May-17,"10,916.30"
22-May-17,"10,793.40"
19-May-17,"10,835.40"
18-May-17,"10,684.90"
17-May-17,"10,786.10"
16-May-17,"10,982.40"
15-May-17,"10,957.80"
12-May-17,"10,897.00"
11-May-17,"10,861.40"
10-May-17,"11,034.80"
9-May-17,"11,049.20"
8-May-17,"11,096.30"
5-May-17,"11,135.40"
4-May-17,"11,012.90"
3-May-17,"10,837.00"
2-May-17,"10,820.30"
28-Apr-17,"10,715.80"
27-Apr-17,"10,683.90"
26-Apr-17,"10,763.40"
25-Apr-17,"10,783.10"
24-Apr-17,"10,766.80"
21-Apr-17,"10,377.00"
20-Apr-17,"10,372.50"
19-Apr-17,"10,370.30"
18-Apr-17,"10,264.50"
13-Apr-17,"10,326.10"
12-Apr-17,"10,360.50"
11-Apr-17,"10,416.30"
10-Apr-17,"10,437.70"
7-Apr-17,"10,529.00"
6-Apr-17,"10,518.90"
5-Apr-17,"10,402.70"
4-Apr-17,"10,361.20"
3-Apr-17,"10,325.30"
31-Mar-17,"10,462.90"
30-Mar-17,"10,405.90"
29-Mar-17,"10,367.60"
28-Mar-17,"10,389.00"
27-Mar-17,"10,302.90"
24-Mar-17,"10,309.40"
23-Mar-17,"10,324.90"
22-Mar-17,"10,229.30"
21-Mar-17,"10,211.90"
20-Mar-17,"10,214.00"
17-Mar-17,"10,245.80"
16-Mar-17,"10,168.00"
15-Mar-17,"9,983.20"
14-Mar-17,"9,905.10"
13-Mar-17,"9,995.90"
10-Mar-17,"10,006.40"
9-Mar-17,"9,998.40"
8-Mar-17,"9,850.50"
7-Mar-17,"9,801.70"
6-Mar-17,"9,804.10"
3-Mar-17,"9,798.50"
2-Mar-17,"9,716.00"
1-Mar-17,"9,751.50"
28-Feb-17,"9,555.50"
27-Feb-17,"9,464.30"
24-Feb-17,"9,453.50"
23-Feb-17,"9,493.40"
22-Feb-17,"9,477.20"
21-Feb-17,"9,561.00"
20-Feb-17,"9,526.60"
17-Feb-17,"9,500.30"
16-Feb-17,"9,554.70"
15-Feb-17,"9,584.10"
14-Feb-17,"9,510.20"
13-Feb-17,"9,484.10"
10-Feb-17,"9,378.10"
9-Feb-17,"9,438.40"
8-Feb-17,"9,329.70"
7-Feb-17,"9,331.50"
6-Feb-17,"9,357.30"
3-Feb-17,"9,462.70"
2-Feb-17,"9,406.40"
1-Feb-17,"9,330.80"
