Date,nasdaq
16-Aug-17,"6,344.29"
15-Aug-17,"6,333.01"
14-Aug-17,"6,340.23"
11-Aug-17,"6,256.56"
10-Aug-17,"6,216.87"
9-Aug-17,"6,352.33"
8-Aug-17,"6,370.46"
7-Aug-17,"6,383.77"
4-Aug-17,"6,351.56"
3-Aug-17,"6,340.34"
2-Aug-17,"6,362.65"
1-Aug-17,"6,362.94"
31-Jul-17,"6,348.12"
28-Jul-17,"6,374.68"
27-Jul-17,"6,382.19"
26-Jul-17,"6,422.75"
25-Jul-17,"6,412.17"
24-Jul-17,"6,410.81"
21-Jul-17,"6,387.75"
20-Jul-17,"6,390.00"
19-Jul-17,"6,385.04"
18-Jul-17,"6,344.31"
17-Jul-17,"6,314.43"
14-Jul-17,"6,312.47"
13-Jul-17,"6,274.44"
12-Jul-17,"6,261.17"
11-Jul-17,"6,193.31"
10-Jul-17,"6,176.39"
7-Jul-17,"6,153.08"
6-Jul-17,"6,089.46"
5-Jul-17,"6,150.85"
3-Jul-17,"6,110.06"
30-Jun-17,"6,140.42"
29-Jun-17,"6,144.35"
28-Jun-17,"6,234.41"
27-Jun-17,"6,146.62"
26-Jun-17,"6,247.15"
23-Jun-17,"6,265.25"
22-Jun-17,"6,236.69"
21-Jun-17,"6,233.95"
20-Jun-17,"6,188.03"
19-Jun-17,"6,239.01"
16-Jun-17,"6,151.76"
15-Jun-17,"6,165.50"
14-Jun-17,"6,194.89"
13-Jun-17,"6,220.37"
12-Jun-17,"6,175.47"
9-Jun-17,"6,207.92"
8-Jun-17,"6,321.76"
7-Jun-17,"6,297.38"
6-Jun-17,"6,275.06"
5-Jun-17,"6,295.68"
2-Jun-17,"6,305.80"
1-Jun-17,"6,246.83"
31-May-17,"6,198.52"
30-May-17,"6,203.19"
26-May-17,"6,210.19"
25-May-17,"6,205.26"
24-May-17,"6,163.02"
23-May-17,"6,138.71"
22-May-17,"6,133.62"
19-May-17,"6,083.70"
18-May-17,"6,055.13"
17-May-17,"6,011.24"
16-May-17,"6,169.87"
15-May-17,"6,149.67"
12-May-17,"6,121.23"
11-May-17,"6,115.96"
10-May-17,"6,129.14"
9-May-17,"6,120.59"
8-May-17,"6,102.66"
5-May-17,"6,100.76"
4-May-17,"6,075.34"
3-May-17,"6,072.55"
2-May-17,"6,095.37"
1-May-17,"6,091.60"
28-Apr-17,"6,047.61"
27-Apr-17,"6,048.94"
26-Apr-17,"6,025.23"
25-Apr-17,"6,025.49"
24-Apr-17,"5,983.82"
21-Apr-17,"5,910.52"
20-Apr-17,"5,916.78"
19-Apr-17,"5,863.03"
18-Apr-17,"5,849.47"
17-Apr-17,"5,856.79"
13-Apr-17,"5,805.15"
12-Apr-17,"5,836.16"
11-Apr-17,"5,866.77"
10-Apr-17,"5,880.93"
7-Apr-17,"5,877.81"
6-Apr-17,"5,878.95"
5-Apr-17,"5,864.48"
4-Apr-17,"5,898.61"
3-Apr-17,"5,894.68"
31-Mar-17,"5,911.74"
30-Mar-17,"5,914.34"
29-Mar-17,"5,897.55"
28-Mar-17,"5,875.14"
27-Mar-17,"5,840.37"
24-Mar-17,"5,828.74"
23-Mar-17,"5,817.69"
22-Mar-17,"5,821.64"
21-Mar-17,"5,793.82"
20-Mar-17,"5,901.53"
17-Mar-17,"5,901.00"
16-Mar-17,"5,900.76"
15-Mar-17,"5,900.05"
14-Mar-17,"5,856.82"
13-Mar-17,"5,875.78"
10-Mar-17,"5,861.73"
9-Mar-17,"5,838.81"
8-Mar-17,"5,837.55"
7-Mar-17,"5,833.93"
6-Mar-17,"5,849.18"
3-Mar-17,"5,870.75"
2-Mar-17,"5,861.22"
1-Mar-17,"5,904.03"
28-Feb-17,"5,825.44"
27-Feb-17,"5,861.90"
24-Feb-17,"5,845.31"
23-Feb-17,"5,835.51"
22-Feb-17,"5,860.63"
21-Feb-17,"5,865.95"
17-Feb-17,"5,838.58"
16-Feb-17,"5,814.90"
15-Feb-17,"5,819.44"
14-Feb-17,"5,782.57"
13-Feb-17,"5,763.96"
10-Feb-17,"5,734.13"
9-Feb-17,"5,715.18"
8-Feb-17,"5,682.45"
7-Feb-17,"5,674.22"
6-Feb-17,"5,663.55"
3-Feb-17,"5,666.77"
2-Feb-17,"5,636.20"
1-Feb-17,"5,642.65"
31-Jan-17,"5,614.79"
30-Jan-17,"5,613.71"
27-Jan-17,"5,660.78"
26-Jan-17,"5,655.18"
25-Jan-17,"5,656.34"
24-Jan-17,"5,600.96"
23-Jan-17,"5,552.94"
20-Jan-17,"5,555.33"
19-Jan-17,"5,540.08"
18-Jan-17,"5,555.65"
17-Jan-17,"5,538.73"
13-Jan-17,"5,574.12"
12-Jan-17,"5,547.49"
11-Jan-17,"5,563.65"
10-Jan-17,"5,551.82"
9-Jan-17,"5,531.82"
6-Jan-17,"5,521.06"
5-Jan-17,"5,487.94"
4-Jan-17,"5,477.01"
3-Jan-17,"5,429.08"
30-Dec-16,"5,383.12"
29-Dec-16,"5,432.09"
28-Dec-16,"5,438.56"
27-Dec-16,"5,487.44"
23-Dec-16,"5,462.69"
22-Dec-16,"5,447.42"
21-Dec-16,"5,471.43"
20-Dec-16,"5,483.94"
19-Dec-16,"5,457.44"
16-Dec-16,"5,437.16"
15-Dec-16,"5,456.85"
14-Dec-16,"5,436.67"
13-Dec-16,"5,463.83"
12-Dec-16,"5,412.54"
9-Dec-16,"5,444.50"
8-Dec-16,"5,417.36"
7-Dec-16,"5,393.76"
6-Dec-16,"5,333.00"
5-Dec-16,"5,308.89"
2-Dec-16,"5,255.65"
1-Dec-16,"5,251.11"
30-Nov-16,"5,323.68"
29-Nov-16,"5,379.92"
28-Nov-16,"5,368.81"
25-Nov-16,"5,398.92"
23-Nov-16,"5,380.68"
22-Nov-16,"5,386.35"
21-Nov-16,"5,368.86"
18-Nov-16,"5,321.51"
17-Nov-16,"5,333.97"
16-Nov-16,"5,294.58"
15-Nov-16,"5,275.62"
14-Nov-16,"5,218.40"
11-Nov-16,"5,237.11"
10-Nov-16,"5,208.80"
9-Nov-16,"5,251.07"
8-Nov-16,"5,193.49"
7-Nov-16,"5,166.17"
4-Nov-16,"5,046.37"
3-Nov-16,"5,058.41"
2-Nov-16,"5,105.57"
1-Nov-16,"5,153.58"
31-Oct-16,"5,189.14"
28-Oct-16,"5,190.10"
27-Oct-16,"5,215.97"
26-Oct-16,"5,250.27"
25-Oct-16,"5,283.40"
24-Oct-16,"5,309.83"
21-Oct-16,"5,257.40"
20-Oct-16,"5,241.83"
19-Oct-16,"5,246.41"
18-Oct-16,"5,243.84"
17-Oct-16,"5,199.82"
14-Oct-16,"5,214.16"
13-Oct-16,"5,213.33"
12-Oct-16,"5,239.02"
11-Oct-16,"5,246.79"
10-Oct-16,"5,328.67"
7-Oct-16,"5,292.40"
6-Oct-16,"5,306.85"
5-Oct-16,"5,316.02"
4-Oct-16,"5,289.66"
3-Oct-16,"5,300.87"
30-Sep-16,"5,312.00"
29-Sep-16,"5,269.15"
28-Sep-16,"5,318.55"
27-Sep-16,"5,305.71"
26-Sep-16,"5,257.49"
23-Sep-16,"5,305.75"
22-Sep-16,"5,339.52"
21-Sep-16,"5,295.18"
20-Sep-16,"5,241.35"
19-Sep-16,"5,235.03"
16-Sep-16,"5,244.57"
15-Sep-16,"5,249.69"
14-Sep-16,"5,173.77"
13-Sep-16,"5,155.26"
12-Sep-16,"5,211.89"
9-Sep-16,"5,125.91"
8-Sep-16,"5,259.48"
7-Sep-16,"5,283.93"
6-Sep-16,"5,275.91"
2-Sep-16,"5,249.90"
1-Sep-16,"5,227.21"
31-Aug-16,"5,213.22"
30-Aug-16,"5,222.99"
29-Aug-16,"5,232.33"
26-Aug-16,"5,218.92"
25-Aug-16,"5,212.20"
24-Aug-16,"5,217.69"
23-Aug-16,"5,260.08"
22-Aug-16,"5,244.60"
19-Aug-16,"5,238.38"
18-Aug-16,"5,240.15"
17-Aug-16,"5,228.66"
16-Aug-16,"5,227.11"
15-Aug-16,"5,262.02"
12-Aug-16,"5,232.90"
11-Aug-16,"5,228.40"
10-Aug-16,"5,204.59"
9-Aug-16,"5,225.48"
8-Aug-16,"5,213.14"
5-Aug-16,"5,221.12"
4-Aug-16,"5,166.25"
3-Aug-16,"5,159.74"
2-Aug-16,"5,137.73"
1-Aug-16,"5,184.20"
29-Jul-16,"5,162.13"
28-Jul-16,"5,154.98"
27-Jul-16,"5,139.81"
26-Jul-16,"5,110.05"
25-Jul-16,"5,097.63"
22-Jul-16,"5,100.16"
21-Jul-16,"5,073.90"
20-Jul-16,"5,089.93"
19-Jul-16,"5,036.37"
18-Jul-16,"5,055.78"
15-Jul-16,"5,029.59"
14-Jul-16,"5,034.06"
13-Jul-16,"5,005.73"
12-Jul-16,"5,022.82"
11-Jul-16,"4,988.64"
8-Jul-16,"4,956.76"
7-Jul-16,"4,876.81"
6-Jul-16,"4,859.16"
5-Jul-16,"4,822.90"
1-Jul-16,"4,862.57"
30-Jun-16,"4,842.67"
29-Jun-16,"4,779.24"
28-Jun-16,"4,691.87"
27-Jun-16,"4,594.44"
24-Jun-16,"4,707.98"
23-Jun-16,"4,910.04"
22-Jun-16,"4,833.32"
21-Jun-16,"4,843.76"
20-Jun-16,"4,837.21"
17-Jun-16,"4,800.34"
16-Jun-16,"4,844.91"
15-Jun-16,"4,834.93"
14-Jun-16,"4,843.55"
13-Jun-16,"4,848.44"
10-Jun-16,"4,894.55"
9-Jun-16,"4,958.62"
8-Jun-16,"4,974.64"
7-Jun-16,"4,961.75"
6-Jun-16,"4,968.71"
3-Jun-16,"4,942.52"
2-Jun-16,"4,971.36"
1-Jun-16,"4,952.25"
31-May-16,"4,948.06"
27-May-16,"4,933.51"
26-May-16,"4,901.77"
25-May-16,"4,894.89"
24-May-16,"4,861.06"
23-May-16,"4,765.78"
20-May-16,"4,769.56"
19-May-16,"4,712.53"
18-May-16,"4,739.12"
17-May-16,"4,715.73"
16-May-16,"4,775.46"
13-May-16,"4,717.68"
12-May-16,"4,737.33"
11-May-16,"4,760.69"
10-May-16,"4,809.88"
9-May-16,"4,750.21"
6-May-16,"4,736.15"
5-May-16,"4,717.09"
4-May-16,"4,725.64"
3-May-16,"4,763.22"
2-May-16,"4,817.59"
29-Apr-16,"4,775.36"
28-Apr-16,"4,805.29"
27-Apr-16,"4,863.14"
26-Apr-16,"4,888.28"
25-Apr-16,"4,895.79"
22-Apr-16,"4,906.23"
21-Apr-16,"4,945.89"
20-Apr-16,"4,948.13"
19-Apr-16,"4,940.33"
18-Apr-16,"4,960.02"
15-Apr-16,"4,938.22"
14-Apr-16,"4,945.89"
13-Apr-16,"4,947.42"
12-Apr-16,"4,872.09"
11-Apr-16,"4,833.40"
8-Apr-16,"4,850.69"
7-Apr-16,"4,848.37"
6-Apr-16,"4,920.72"
5-Apr-16,"4,843.93"
4-Apr-16,"4,891.80"
1-Apr-16,"4,914.54"
31-Mar-16,"4,869.85"
30-Mar-16,"4,869.29"
29-Mar-16,"4,846.62"
28-Mar-16,"4,766.79"
24-Mar-16,"4,773.51"
23-Mar-16,"4,768.86"
22-Mar-16,"4,821.66"
21-Mar-16,"4,808.87"
18-Mar-16,"4,795.65"
17-Mar-16,"4,774.98"
16-Mar-16,"4,763.97"
15-Mar-16,"4,728.67"
14-Mar-16,"4,750.28"
11-Mar-16,"4,748.47"
10-Mar-16,"4,662.16"
9-Mar-16,"4,674.38"
8-Mar-16,"4,648.82"
7-Mar-16,"4,708.25"
4-Mar-16,"4,717.02"
3-Mar-16,"4,707.42"
2-Mar-16,"4,703.42"
1-Mar-16,"4,689.60"
29-Feb-16,"4,557.95"
26-Feb-16,"4,590.47"
25-Feb-16,"4,582.20"
24-Feb-16,"4,542.61"
23-Feb-16,"4,503.58"
22-Feb-16,"4,570.61"
19-Feb-16,"4,504.43"
18-Feb-16,"4,487.54"
17-Feb-16,"4,534.06"
16-Feb-16,"4,435.95"
12-Feb-16,"4,337.51"
11-Feb-16,"4,266.84"
10-Feb-16,"4,283.59"
9-Feb-16,"4,268.76"
8-Feb-16,"4,283.75"
5-Feb-16,"4,363.14"
4-Feb-16,"4,509.56"
3-Feb-16,"4,504.24"
2-Feb-16,"4,516.95"
1-Feb-16,"4,620.37"
29-Jan-16,"4,613.95"
28-Jan-16,"4,506.68"
27-Jan-16,"4,468.17"
26-Jan-16,"4,567.67"
25-Jan-16,"4,518.49"
22-Jan-16,"4,591.18"
21-Jan-16,"4,472.06"
20-Jan-16,"4,471.69"
19-Jan-16,"4,476.95"
15-Jan-16,"4,488.42"
14-Jan-16,"4,615.00"
13-Jan-16,"4,526.06"
12-Jan-16,"4,685.92"
11-Jan-16,"4,637.99"
8-Jan-16,"4,643.63"
7-Jan-16,"4,689.43"
6-Jan-16,"4,835.77"
5-Jan-16,"4,891.43"
4-Jan-16,"4,903.09"
31-Dec-15,"5,007.41"
30-Dec-15,"5,065.85"
29-Dec-15,"5,107.94"
28-Dec-15,"5,040.98"
24-Dec-15,"5,048.49"
23-Dec-15,"5,045.93"
22-Dec-15,"5,001.11"
21-Dec-15,"4,968.92"
18-Dec-15,"4,923.08"
17-Dec-15,"5,002.55"
16-Dec-15,"5,071.13"
15-Dec-15,"4,995.36"
14-Dec-15,"4,952.23"
11-Dec-15,"4,933.47"
10-Dec-15,"5,045.17"
9-Dec-15,"5,022.86"
8-Dec-15,"5,098.24"
7-Dec-15,"5,101.81"
4-Dec-15,"5,142.27"
3-Dec-15,"5,037.53"
2-Dec-15,"5,123.22"
1-Dec-15,"5,156.31"
30-Nov-15,"5,108.67"
27-Nov-15,"5,127.52"
25-Nov-15,"5,116.14"
24-Nov-15,"5,102.81"
23-Nov-15,"5,102.48"
20-Nov-15,"5,104.92"
19-Nov-15,"5,073.64"
18-Nov-15,"5,075.20"
17-Nov-15,"4,986.02"
16-Nov-15,"4,984.62"
13-Nov-15,"4,927.88"
12-Nov-15,"5,005.08"
11-Nov-15,"5,067.02"
10-Nov-15,"5,083.24"
9-Nov-15,"5,095.30"
6-Nov-15,"5,147.12"
5-Nov-15,"5,127.74"
4-Nov-15,"5,142.48"
3-Nov-15,"5,145.13"
2-Nov-15,"5,127.15"
30-Oct-15,"5,053.75"
29-Oct-15,"5,074.27"
28-Oct-15,"5,095.69"
27-Oct-15,"5,030.15"
26-Oct-15,"5,034.70"
23-Oct-15,"5,031.86"
22-Oct-15,"4,920.05"
21-Oct-15,"4,840.12"
20-Oct-15,"4,880.97"
19-Oct-15,"4,905.47"
16-Oct-15,"4,886.69"
15-Oct-15,"4,870.10"
14-Oct-15,"4,782.85"
13-Oct-15,"4,796.61"
12-Oct-15,"4,838.64"
9-Oct-15,"4,830.47"
8-Oct-15,"4,810.79"
7-Oct-15,"4,791.15"
6-Oct-15,"4,748.36"
5-Oct-15,"4,781.26"
2-Oct-15,"4,707.77"
1-Oct-15,"4,627.08"
30-Sep-15,"4,620.16"
29-Sep-15,"4,517.32"
28-Sep-15,"4,543.97"
25-Sep-15,"4,686.50"
24-Sep-15,"4,734.48"
23-Sep-15,"4,752.74"
22-Sep-15,"4,756.72"
21-Sep-15,"4,828.95"
18-Sep-15,"4,827.23"
17-Sep-15,"4,893.95"
16-Sep-15,"4,889.24"
15-Sep-15,"4,860.52"
14-Sep-15,"4,805.76"
11-Sep-15,"4,822.34"
10-Sep-15,"4,796.25"
9-Sep-15,"4,756.53"
8-Sep-15,"4,811.93"
4-Sep-15,"4,683.92"
3-Sep-15,"4,733.50"
2-Sep-15,"4,749.98"
1-Sep-15,"4,636.10"
31-Aug-15,"4,776.51"
28-Aug-15,"4,828.32"
27-Aug-15,"4,812.71"
26-Aug-15,"4,697.54"
25-Aug-15,"4,506.49"
24-Aug-15,"4,526.25"
21-Aug-15,"4,706.04"
20-Aug-15,"4,877.49"
19-Aug-15,"5,019.05"
18-Aug-15,"5,059.35"
17-Aug-15,"5,091.70"
14-Aug-15,"5,048.23"
13-Aug-15,"5,033.56"
