Date,jap_nikkei
16-Aug-17,"19,729.28"
15-Aug-17,"19,753.31"
14-Aug-17,"19,537.10"
13-Aug-17,"19,556.00"
10-Aug-17,"19,729.74"
9-Aug-17,"19,738.71"
8-Aug-17,"19,996.01"
7-Aug-17,"20,055.89"
6-Aug-17,"20,069.00"
4-Aug-17,"19,952.33"
3-Aug-17,"20,029.26"
2-Aug-17,"20,080.04"
1-Aug-17,"19,985.79"
31-Jul-17,"19,925.18"
30-Jul-17,"19,953.50"
28-Jul-17,"19,959.84"
27-Jul-17,"20,079.64"
26-Jul-17,"20,050.16"
25-Jul-17,"19,955.20"
24-Jul-17,"19,975.67"
23-Jul-17,"19,970.00"
21-Jul-17,"20,099.75"
20-Jul-17,"20,144.59"
19-Jul-17,"20,020.86"
18-Jul-17,"19,999.91"
17-Jul-17,"20,063.50"
14-Jul-17,"20,118.86"
13-Jul-17,"20,099.81"
12-Jul-17,"20,098.38"
11-Jul-17,"20,195.48"
10-Jul-17,"20,080.98"
7-Jul-17,"19,929.09"
6-Jul-17,"19,994.06"
5-Jul-17,"20,081.63"
4-Jul-17,"20,032.35"
3-Jul-17,"20,055.80"
2-Jul-17,"20,044.00"
30-Jun-17,"20,033.43"
29-Jun-17,"20,220.30"
28-Jun-17,"20,130.41"
27-Jun-17,"20,225.09"
26-Jun-17,"20,153.35"
25-Jun-17,"20,118.00"
23-Jun-17,"20,132.67"
22-Jun-17,"20,110.51"
21-Jun-17,"20,138.79"
20-Jun-17,"20,230.41"
19-Jun-17,"20,067.75"
18-Jun-17,"19,965.00"
16-Jun-17,"19,943.26"
15-Jun-17,"19,831.82"
14-Jun-17,"19,883.52"
13-Jun-17,"19,898.75"
12-Jun-17,"19,908.58"
11-Jun-17,"19,917.50"
9-Jun-17,"20,013.26"
8-Jun-17,"19,909.26"
7-Jun-17,"19,984.62"
6-Jun-17,"19,979.90"
5-Jun-17,"20,170.82"
4-Jun-17,"20,122.50"
2-Jun-17,"20,177.28"
1-Jun-17,"19,860.03"
31-May-17,"19,650.57"
30-May-17,"19,677.85"
29-May-17,"19,682.57"
28-May-17,"19,686.00"
26-May-17,"19,686.84"
25-May-17,"19,813.13"
24-May-17,"19,742.98"
23-May-17,"19,613.28"
22-May-17,"19,678.28"
21-May-17,"19,674.50"
19-May-17,"19,590.76"
18-May-17,"19,553.86"
17-May-17,"19,814.88"
16-May-17,"19,919.82"
15-May-17,"19,869.85"
12-May-17,"19,883.90"
11-May-17,"19,961.55"
10-May-17,"19,900.09"
9-May-17,"19,843.00"
8-May-17,"19,895.70"
7-May-17,"19,729.00"
2-May-17,"19,445.70"
1-May-17,"19,310.52"
30-Apr-17,"19,202.50"
28-Apr-17,"19,196.74"
27-Apr-17,"19,251.87"
26-Apr-17,"19,289.43"
25-Apr-17,"19,079.33"
24-Apr-17,"18,875.88"
23-Apr-17,"18,909.00"
21-Apr-17,"18,620.75"
20-Apr-17,"18,430.49"
19-Apr-17,"18,432.20"
18-Apr-17,"18,418.59"
17-Apr-17,"18,355.26"
16-Apr-17,"18,240.50"
14-Apr-17,"18,335.63"
13-Apr-17,"18,426.84"
12-Apr-17,"18,552.61"
11-Apr-17,"18,747.87"
10-Apr-17,"18,797.88"
9-Apr-17,"18,800.50"
7-Apr-17,"18,664.63"
6-Apr-17,"18,597.06"
5-Apr-17,"18,861.27"
4-Apr-17,"18,810.25"
3-Apr-17,"18,983.23"
2-Apr-17,"18,979.00"
31-Mar-17,"18,909.26"
30-Mar-17,"19,063.22"
29-Mar-17,"19,217.48"
28-Mar-17,"19,202.87"
27-Mar-17,"18,985.59"
26-Mar-17,"19,060.50"
24-Mar-17,"19,262.53"
23-Mar-17,"19,085.31"
22-Mar-17,"19,041.38"
21-Mar-17,"19,455.88"
17-Mar-17,"19,521.59"
16-Mar-17,"19,590.14"
15-Mar-17,"19,577.38"
14-Mar-17,"19,609.50"
13-Mar-17,"19,633.75"
10-Mar-17,"19,604.61"
9-Mar-17,"19,318.58"
8-Mar-17,"19,254.03"
7-Mar-17,"19,344.15"
6-Mar-17,"19,379.14"
3-Mar-17,"19,469.17"
2-Mar-17,"19,564.80"
1-Mar-17,"19,393.54"
28-Feb-17,"19,118.99"
27-Feb-17,"19,107.47"
24-Feb-17,"19,283.54"
23-Feb-17,"19,371.46"
22-Feb-17,"19,379.87"
21-Feb-17,"19,381.44"
20-Feb-17,"19,251.08"
17-Feb-17,"19,234.62"
16-Feb-17,"19,347.53"
15-Feb-17,"19,437.98"
14-Feb-17,"19,238.98"
13-Feb-17,"19,459.15"
10-Feb-17,"19,378.93"
9-Feb-17,"18,907.67"
8-Feb-17,"19,007.60"
7-Feb-17,"18,910.78"
6-Feb-17,"18,976.71"
3-Feb-17,"18,918.20"
2-Feb-17,"18,914.58"
1-Feb-17,"19,148.08"
31-Jan-17,"19,041.34"
30-Jan-17,"19,368.85"
27-Jan-17,"19,467.40"
26-Jan-17,"19,402.39"
25-Jan-17,"19,057.50"
24-Jan-17,"18,787.99"
23-Jan-17,"18,891.03"
20-Jan-17,"19,137.91"
19-Jan-17,"19,072.25"
18-Jan-17,"18,894.37"
17-Jan-17,"18,813.53"
16-Jan-17,"19,095.24"
13-Jan-17,"19,287.28"
12-Jan-17,"19,134.70"
11-Jan-17,"19,364.67"
10-Jan-17,"19,301.44"
6-Jan-17,"19,454.33"
5-Jan-17,"19,520.69"
4-Jan-17,"19,594.16"
30-Dec-16,"19,114.37"
29-Dec-16,"19,145.14"
28-Dec-16,"19,401.72"
27-Dec-16,"19,403.06"
26-Dec-16,"19,396.64"
22-Dec-16,"19,427.67"
21-Dec-16,"19,444.49"
20-Dec-16,"19,494.53"
19-Dec-16,"19,391.60"
16-Dec-16,"19,401.15"
15-Dec-16,"19,273.79"
14-Dec-16,"19,253.61"
13-Dec-16,"19,250.52"
12-Dec-16,"19,155.03"
9-Dec-16,"18,996.37"
8-Dec-16,"18,765.47"
7-Dec-16,"18,496.69"
6-Dec-16,"18,360.54"
5-Dec-16,"18,274.99"
2-Dec-16,"18,426.08"
1-Dec-16,"18,513.12"
30-Nov-16,"18,308.48"
29-Nov-16,"18,307.04"
28-Nov-16,"18,356.89"
25-Nov-16,"18,381.22"
24-Nov-16,"18,333.41"
22-Nov-16,"18,162.94"
21-Nov-16,"18,106.02"
18-Nov-16,"17,967.41"
17-Nov-16,"17,862.63"
16-Nov-16,"17,862.21"
15-Nov-16,"17,668.15"
14-Nov-16,"17,672.62"
11-Nov-16,"17,374.79"
10-Nov-16,"17,344.42"
9-Nov-16,"16,251.54"
8-Nov-16,"17,171.38"
7-Nov-16,"17,177.21"
4-Nov-16,"16,905.36"
2-Nov-16,"17,134.68"
1-Nov-16,"17,442.40"
31-Oct-16,"17,425.02"
28-Oct-16,"17,446.41"
27-Oct-16,"17,336.42"
26-Oct-16,"17,391.84"
25-Oct-16,"17,365.25"
24-Oct-16,"17,234.42"
21-Oct-16,"17,184.59"
20-Oct-16,"17,235.50"
19-Oct-16,"16,998.91"
18-Oct-16,"16,963.61"
17-Oct-16,"16,900.12"
14-Oct-16,"16,856.37"
13-Oct-16,"16,774.24"
12-Oct-16,"16,840.00"
11-Oct-16,"17,024.76"
7-Oct-16,"16,860.09"
6-Oct-16,"16,899.10"
5-Oct-16,"16,819.24"
4-Oct-16,"16,735.65"
3-Oct-16,"16,598.67"
30-Sep-16,"16,449.84"
29-Sep-16,"16,693.71"
28-Sep-16,"16,465.40"
27-Sep-16,"16,683.93"
26-Sep-16,"16,544.56"
23-Sep-16,"16,754.02"
21-Sep-16,"16,807.62"
20-Sep-16,"16,492.15"
16-Sep-16,"16,519.29"
15-Sep-16,"16,405.01"
14-Sep-16,"16,614.24"
13-Sep-16,"16,729.04"
12-Sep-16,"16,672.92"
9-Sep-16,"16,965.76"
8-Sep-16,"16,958.77"
7-Sep-16,"17,012.44"
6-Sep-16,"17,081.98"
5-Sep-16,"17,037.63"
2-Sep-16,"16,925.68"
1-Sep-16,"16,926.84"
31-Aug-16,"16,887.40"
30-Aug-16,"16,725.36"
29-Aug-16,"16,737.49"
26-Aug-16,"16,360.71"
25-Aug-16,"16,555.95"
24-Aug-16,"16,597.30"
23-Aug-16,"16,497.36"
22-Aug-16,"16,598.19"
19-Aug-16,"16,545.82"
18-Aug-16,"16,486.01"
17-Aug-16,"16,745.64"
16-Aug-16,"16,596.51"
15-Aug-16,"16,869.56"
12-Aug-16,"16,919.92"
10-Aug-16,"16,735.12"
9-Aug-16,"16,764.97"
8-Aug-16,"16,650.57"
5-Aug-16,"16,254.45"
4-Aug-16,"16,254.89"
3-Aug-16,"16,083.11"
