Date,swed_omx
16-Aug-17,"1,552.16"
15-Aug-17,"1,543.38"
14-Aug-17,"1,554.58"
11-Aug-17,"1,538.96"
10-Aug-17,"1,554.75"
9-Aug-17,"1,571.20"
8-Aug-17,"1,581.32"
7-Aug-17,"1,575.47"
4-Aug-17,"1,573.47"
3-Aug-17,"1,559.66"
2-Aug-17,"1,563.20"
1-Aug-17,"1,566.31"
31-Jul-17,"1,548.19"
28-Jul-17,"1,557.56"
27-Jul-17,"1,570.48"
26-Jul-17,"1,580.22"
25-Jul-17,"1,568.91"
24-Jul-17,"1,566.88"
21-Jul-17,"1,581.37"
20-Jul-17,"1,597.84"
19-Jul-17,"1,609.96"
18-Jul-17,"1,607.36"
17-Jul-17,"1,639.33"
14-Jul-17,"1,646.83"
13-Jul-17,"1,642.48"
12-Jul-17,"1,650.59"
11-Jul-17,"1,621.57"
10-Jul-17,"1,624.81"
7-Jul-17,"1,617.00"
6-Jul-17,"1,620.99"
5-Jul-17,"1,627.21"
4-Jul-17,"1,621.67"
3-Jul-17,"1,627.41"
30-Jun-17,"1,602.53"
29-Jun-17,"1,613.22"
28-Jun-17,"1,630.98"
27-Jun-17,"1,628.54"
26-Jun-17,"1,643.52"
22-Jun-17,"1,645.36"
21-Jun-17,"1,641.71"
20-Jun-17,"1,647.67"
19-Jun-17,"1,653.39"
16-Jun-17,"1,635.93"
15-Jun-17,"1,624.97"
14-Jun-17,"1,639.60"
13-Jun-17,"1,648.61"
12-Jun-17,"1,638.80"
9-Jun-17,"1,654.80"
8-Jun-17,"1,643.77"
7-Jun-17,"1,640.54"
5-Jun-17,"1,637.90"
2-Jun-17,"1,646.66"
1-Jun-17,"1,641.32"
31-May-17,"1,639.11"
30-May-17,"1,639.74"
29-May-17,"1,631.91"
26-May-17,"1,635.77"
24-May-17,"1,638.89"
23-May-17,"1,641.70"
22-May-17,"1,629.21"
19-May-17,"1,629.21"
18-May-17,"1,615.27"
17-May-17,"1,628.37"
16-May-17,"1,653.06"
15-May-17,"1,649.84"
12-May-17,"1,646.45"
11-May-17,"1,642.02"
10-May-17,"1,649.65"
9-May-17,"1,653.11"
8-May-17,"1,639.49"
5-May-17,"1,642.04"
4-May-17,"1,638.33"
3-May-17,"1,633.99"
2-May-17,"1,636.51"
28-Apr-17,"1,626.99"
27-Apr-17,"1,616.58"
26-Apr-17,"1,620.28"
25-Apr-17,"1,617.05"
24-Apr-17,"1,609.27"
21-Apr-17,"1,573.24"
20-Apr-17,"1,568.74"
19-Apr-17,"1,565.73"
18-Apr-17,"1,557.21"
13-Apr-17,"1,572.81"
12-Apr-17,"1,575.02"
11-Apr-17,"1,570.91"
10-Apr-17,"1,572.47"
7-Apr-17,"1,569.67"
6-Apr-17,"1,564.05"
5-Apr-17,"1,558.56"
4-Apr-17,"1,567.30"
3-Apr-17,"1,571.41"
31-Mar-17,"1,587.63"
30-Mar-17,"1,583.88"
29-Mar-17,"1,584.43"
28-Mar-17,"1,580.09"
27-Mar-17,"1,574.51"
24-Mar-17,"1,579.70"
23-Mar-17,"1,581.29"
22-Mar-17,"1,562.96"
21-Mar-17,"1,570.88"
20-Mar-17,"1,583.25"
17-Mar-17,"1,584.97"
16-Mar-17,"1,593.25"
15-Mar-17,"1,588.89"
14-Mar-17,"1,586.00"
13-Mar-17,"1,594.71"
10-Mar-17,"1,587.93"
9-Mar-17,"1,583.73"
8-Mar-17,"1,578.23"
7-Mar-17,"1,575.77"
6-Mar-17,"1,575.52"
3-Mar-17,"1,581.32"
2-Mar-17,"1,580.53"
1-Mar-17,"1,591.37"
28-Feb-17,"1,570.17"
27-Feb-17,"1,564.63"
24-Feb-17,"1,569.86"
23-Feb-17,"1,588.30"
22-Feb-17,"1,582.13"
21-Feb-17,"1,590.09"
20-Feb-17,"1,576.33"
17-Feb-17,"1,570.59"
16-Feb-17,"1,576.33"
15-Feb-17,"1,574.02"
14-Feb-17,"1,569.76"
13-Feb-17,"1,572.18"
10-Feb-17,"1,562.73"
9-Feb-17,"1,557.50"
8-Feb-17,"1,549.24"
7-Feb-17,"1,550.94"
6-Feb-17,"1,548.90"
3-Feb-17,"1,557.31"
2-Feb-17,"1,551.85"
1-Feb-17,"1,547.31"
31-Jan-17,"1,536.75"
30-Jan-17,"1,528.89"
27-Jan-17,"1,538.76"
26-Jan-17,"1,553.89"
25-Jan-17,"1,545.99"
24-Jan-17,"1,522.85"
23-Jan-17,"1,504.69"
20-Jan-17,"1,525.49"
19-Jan-17,"1,513.92"
18-Jan-17,"1,515.99"
17-Jan-17,"1,507.32"
16-Jan-17,"1,512.97"
13-Jan-17,"1,522.49"
12-Jan-17,"1,503.31"
11-Jan-17,"1,511.88"
10-Jan-17,"1,510.09"
9-Jan-17,"1,509.82"
5-Jan-17,"1,522.10"
4-Jan-17,"1,530.93"
3-Jan-17,"1,534.70"
2-Jan-17,"1,526.83"
30-Dec-16,"1,517.20"
29-Dec-16,"1,518.37"
28-Dec-16,"1,527.30"
27-Dec-16,"1,533.31"
23-Dec-16,"1,525.80"
22-Dec-16,"1,519.54"
21-Dec-16,"1,525.47"
20-Dec-16,"1,536.72"
19-Dec-16,"1,542.71"
16-Dec-16,"1,548.19"
15-Dec-16,"1,550.52"
14-Dec-16,"1,541.39"
13-Dec-16,"1,551.00"
12-Dec-16,"1,537.92"
9-Dec-16,"1,534.27"
8-Dec-16,"1,520.15"
7-Dec-16,"1,503.95"
6-Dec-16,"1,492.17"
5-Dec-16,"1,483.29"
2-Dec-16,"1,470.08"
1-Dec-16,"1,477.95"
30-Nov-16,"1,481.14"
29-Nov-16,"1,467.18"
28-Nov-16,"1,472.68"
25-Nov-16,"1,491.23"
24-Nov-16,"1,484.33"
23-Nov-16,"1,482.63"
22-Nov-16,"1,485.05"
21-Nov-16,"1,478.58"
18-Nov-16,"1,476.47"
17-Nov-16,"1,472.05"
16-Nov-16,"1,458.25"
15-Nov-16,"1,466.46"
14-Nov-16,"1,443.09"
11-Nov-16,"1,451.53"
10-Nov-16,"1,460.52"
9-Nov-16,"1,456.71"
8-Nov-16,"1,439.43"
7-Nov-16,"1,431.77"
4-Nov-16,"1,406.10"
3-Nov-16,"1,421.01"
2-Nov-16,"1,417.37"
1-Nov-16,"1,431.87"
31-Oct-16,"1,446.35"
28-Oct-16,"1,459.36"
27-Oct-16,"1,456.55"
26-Oct-16,"1,454.21"
25-Oct-16,"1,451.27"
24-Oct-16,"1,456.79"
21-Oct-16,"1,464.85"
20-Oct-16,"1,465.84"
19-Oct-16,"1,455.27"
18-Oct-16,"1,458.63"
17-Oct-16,"1,438.28"
14-Oct-16,"1,446.00"
13-Oct-16,"1,426.69"
12-Oct-16,"1,442.50"
11-Oct-16,"1,455.41"
10-Oct-16,"1,467.45"
7-Oct-16,"1,451.65"
6-Oct-16,"1,458.38"
5-Oct-16,"1,452.50"
4-Oct-16,"1,456.22"
3-Oct-16,"1,443.46"
30-Sep-16,"1,439.08"
29-Sep-16,"1,434.81"
28-Sep-16,"1,425.24"
27-Sep-16,"1,421.20"
26-Sep-16,"1,418.19"
23-Sep-16,"1,437.52"
22-Sep-16,"1,446.01"
21-Sep-16,"1,422.66"
20-Sep-16,"1,418.44"
19-Sep-16,"1,419.01"
16-Sep-16,"1,405.31"
15-Sep-16,"1,416.83"
14-Sep-16,"1,409.89"
13-Sep-16,"1,410.79"
12-Sep-16,"1,417.36"
9-Sep-16,"1,426.56"
8-Sep-16,"1,440.03"
7-Sep-16,"1,441.52"
6-Sep-16,"1,435.19"
5-Sep-16,"1,440.76"
2-Sep-16,"1,437.24"
1-Sep-16,"1,417.59"
31-Aug-16,"1,418.14"
30-Aug-16,"1,418.43"
29-Aug-16,"1,411.98"
26-Aug-16,"1,411.65"
25-Aug-16,"1,405.08"
24-Aug-16,"1,412.94"
23-Aug-16,"1,406.55"
22-Aug-16,"1,391.47"
19-Aug-16,"1,393.61"
18-Aug-16,"1,403.02"
17-Aug-16,"1,392.05"
16-Aug-16,"1,406.26"
15-Aug-16,"1,421.58"
12-Aug-16,"1,414.21"
11-Aug-16,"1,416.90"
10-Aug-16,"1,405.99"
9-Aug-16,"1,411.35"
8-Aug-16,"1,385.68"
5-Aug-16,"1,378.83"
4-Aug-16,"1,365.85"
3-Aug-16,"1,352.34"
2-Aug-16,"1,358.62"
1-Aug-16,"1,379.46"
29-Jul-16,"1,386.66"
28-Jul-16,"1,382.08"
27-Jul-16,"1,387.51"
26-Jul-16,"1,382.73"
25-Jul-16,"1,385.97"
22-Jul-16,"1,377.47"
21-Jul-16,"1,381.70"
20-Jul-16,"1,386.59"
19-Jul-16,"1,371.90"
18-Jul-16,"1,368.25"
15-Jul-16,"1,372.80"
14-Jul-16,"1,364.92"
13-Jul-16,"1,356.35"
12-Jul-16,"1,354.51"
11-Jul-16,"1,350.09"
8-Jul-16,"1,326.21"
7-Jul-16,"1,305.33"
6-Jul-16,"1,284.58"
5-Jul-16,"1,303.01"
4-Jul-16,"1,325.54"
1-Jul-16,"1,340.26"
30-Jun-16,"1,323.57"
29-Jun-16,"1,309.57"
28-Jun-16,"1,278.52"
27-Jun-16,"1,246.10"
23-Jun-16,"1,360.73"
22-Jun-16,"1,354.60"
21-Jun-16,"1,344.59"
20-Jun-16,"1,340.29"
17-Jun-16,"1,298.38"
16-Jun-16,"1,278.71"
15-Jun-16,"1,304.09"
14-Jun-16,"1,273.97"
13-Jun-16,"1,294.51"
10-Jun-16,"1,315.06"
9-Jun-16,"1,344.00"
8-Jun-16,"1,361.49"
7-Jun-16,"1,367.15"
