Date,shanghai_composite
16-Aug-17,"3,246.45"
15-Aug-17,"3,251.26"
14-Aug-17,"3,237.36"
11-Aug-17,"3,208.54"
10-Aug-17,"3,261.75"
9-Aug-17,"3,275.57"
8-Aug-17,"3,281.87"
7-Aug-17,"3,279.46"
4-Aug-17,"3,262.08"
3-Aug-17,"3,272.93"
2-Aug-17,"3,285.06"
1-Aug-17,"3,292.64"
31-Jul-17,"3,273.03"
28-Jul-17,"3,253.24"
27-Jul-17,"3,249.78"
26-Jul-17,"3,247.67"
25-Jul-17,"3,243.69"
24-Jul-17,"3,250.60"
21-Jul-17,"3,237.98"
20-Jul-17,"3,244.86"
19-Jul-17,"3,230.98"
18-Jul-17,"3,187.57"
17-Jul-17,"3,176.46"
14-Jul-17,"3,222.42"
13-Jul-17,"3,218.16"
12-Jul-17,"3,197.54"
11-Jul-17,"3,203.04"
10-Jul-17,"3,212.63"
7-Jul-17,"3,217.96"
6-Jul-17,"3,212.44"
5-Jul-17,"3,207.13"
4-Jul-17,"3,182.80"
3-Jul-17,"3,195.91"
30-Jun-17,"3,192.43"
29-Jun-17,"3,188.06"
28-Jun-17,"3,173.20"
27-Jun-17,"3,191.20"
26-Jun-17,"3,185.44"
23-Jun-17,"3,157.87"
22-Jun-17,"3,147.45"
21-Jun-17,"3,156.21"
20-Jun-17,"3,140.01"
19-Jun-17,"3,144.37"
16-Jun-17,"3,123.17"
15-Jun-17,"3,132.49"
14-Jun-17,"3,130.67"
13-Jun-17,"3,153.74"
12-Jun-17,"3,139.88"
9-Jun-17,"3,158.40"
8-Jun-17,"3,150.33"
7-Jun-17,"3,140.32"
6-Jun-17,"3,102.13"
5-Jun-17,"3,091.66"
2-Jun-17,"3,105.54"
1-Jun-17,"3,102.62"
31-May-17,"3,117.18"
26-May-17,"3,110.06"
25-May-17,"3,107.83"
24-May-17,"3,064.08"
23-May-17,"3,061.95"
22-May-17,"3,075.68"
19-May-17,"3,090.63"
18-May-17,"3,090.14"
17-May-17,"3,104.44"
16-May-17,"3,112.96"
15-May-17,"3,090.23"
12-May-17,"3,083.51"
11-May-17,"3,061.50"
10-May-17,"3,052.78"
9-May-17,"3,080.53"
8-May-17,"3,078.61"
5-May-17,"3,103.04"
4-May-17,"3,127.37"
3-May-17,"3,135.35"
2-May-17,"3,143.71"
28-Apr-17,"3,154.66"
27-Apr-17,"3,152.19"
26-Apr-17,"3,140.85"
25-Apr-17,"3,134.57"
24-Apr-17,"3,129.53"
21-Apr-17,"3,173.15"
20-Apr-17,"3,172.10"
19-Apr-17,"3,170.69"
18-Apr-17,"3,196.71"
17-Apr-17,"3,222.17"
14-Apr-17,"3,246.07"
13-Apr-17,"3,275.96"
12-Apr-17,"3,273.83"
11-Apr-17,"3,288.97"
10-Apr-17,"3,269.39"
7-Apr-17,"3,286.62"
6-Apr-17,"3,281.00"
5-Apr-17,"3,270.31"
31-Mar-17,"3,222.51"
30-Mar-17,"3,210.24"
29-Mar-17,"3,241.31"
28-Mar-17,"3,252.95"
27-Mar-17,"3,266.96"
24-Mar-17,"3,269.45"
23-Mar-17,"3,248.55"
22-Mar-17,"3,245.22"
21-Mar-17,"3,261.61"
20-Mar-17,"3,250.81"
17-Mar-17,"3,237.45"
16-Mar-17,"3,268.94"
15-Mar-17,"3,241.76"
14-Mar-17,"3,239.33"
13-Mar-17,"3,237.02"
10-Mar-17,"3,212.76"
9-Mar-17,"3,216.75"
8-Mar-17,"3,240.66"
7-Mar-17,"3,242.41"
6-Mar-17,"3,233.87"
3-Mar-17,"3,218.31"
2-Mar-17,"3,230.03"
1-Mar-17,"3,246.93"
28-Feb-17,"3,241.73"
27-Feb-17,"3,228.66"
24-Feb-17,"3,253.43"
23-Feb-17,"3,251.38"
22-Feb-17,"3,261.22"
21-Feb-17,"3,253.33"
20-Feb-17,"3,239.96"
17-Feb-17,"3,202.08"
16-Feb-17,"3,229.62"
15-Feb-17,"3,212.99"
14-Feb-17,"3,217.93"
13-Feb-17,"3,216.84"
10-Feb-17,"3,196.70"
9-Feb-17,"3,183.18"
8-Feb-17,"3,166.98"
7-Feb-17,"3,153.09"
6-Feb-17,"3,156.98"
3-Feb-17,"3,140.17"
26-Jan-17,"3,159.17"
25-Jan-17,"3,149.55"
24-Jan-17,"3,142.55"
23-Jan-17,"3,136.77"
20-Jan-17,"3,123.14"
19-Jan-17,"3,101.30"
18-Jan-17,"3,113.01"
17-Jan-17,"3,108.77"
16-Jan-17,"3,103.43"
13-Jan-17,"3,112.76"
12-Jan-17,"3,119.29"
11-Jan-17,"3,136.75"
10-Jan-17,"3,161.67"
9-Jan-17,"3,171.24"
6-Jan-17,"3,154.32"
5-Jan-17,"3,165.41"
4-Jan-17,"3,158.79"
3-Jan-17,"3,135.92"
30-Dec-16,"3,103.64"
29-Dec-16,"3,096.10"
28-Dec-16,"3,102.24"
27-Dec-16,"3,114.66"
26-Dec-16,"3,122.57"
23-Dec-16,"3,110.15"
22-Dec-16,"3,139.56"
21-Dec-16,"3,137.43"
20-Dec-16,"3,102.88"
19-Dec-16,"3,118.08"
16-Dec-16,"3,122.98"
15-Dec-16,"3,117.68"
14-Dec-16,"3,140.53"
13-Dec-16,"3,155.04"
12-Dec-16,"3,152.97"
9-Dec-16,"3,232.88"
8-Dec-16,"3,215.37"
7-Dec-16,"3,222.24"
6-Dec-16,"3,199.65"
5-Dec-16,"3,204.71"
2-Dec-16,"3,243.84"
1-Dec-16,"3,273.31"
30-Nov-16,"3,250.03"
29-Nov-16,"3,282.92"
28-Nov-16,"3,277.00"
25-Nov-16,"3,261.94"
24-Nov-16,"3,241.74"
23-Nov-16,"3,241.14"
22-Nov-16,"3,248.35"
21-Nov-16,"3,218.15"
18-Nov-16,"3,192.86"
17-Nov-16,"3,208.45"
16-Nov-16,"3,205.06"
15-Nov-16,"3,206.99"
14-Nov-16,"3,210.37"
11-Nov-16,"3,196.04"
10-Nov-16,"3,171.28"
9-Nov-16,"3,128.37"
8-Nov-16,"3,147.89"
7-Nov-16,"3,133.33"
4-Nov-16,"3,125.32"
3-Nov-16,"3,128.94"
2-Nov-16,"3,102.73"
1-Nov-16,"3,122.44"
31-Oct-16,"3,100.49"
28-Oct-16,"3,104.27"
27-Oct-16,"3,112.35"
26-Oct-16,"3,116.31"
25-Oct-16,"3,131.94"
24-Oct-16,"3,128.25"
21-Oct-16,"3,090.94"
20-Oct-16,"3,084.46"
19-Oct-16,"3,084.72"
18-Oct-16,"3,083.88"
17-Oct-16,"3,041.17"
14-Oct-16,"3,063.81"
13-Oct-16,"3,061.35"
12-Oct-16,"3,058.50"
11-Oct-16,"3,065.25"
10-Oct-16,"3,048.14"
30-Sep-16,"3,004.70"
29-Sep-16,"2,998.48"
28-Sep-16,"2,987.86"
27-Sep-16,"2,998.17"
26-Sep-16,"2,980.43"
23-Sep-16,"3,033.90"
