Date,Swis_smi_index
16-Aug-17,"9,037.92"
15-Aug-17,"9,012.52"
14-Aug-17,"9,031.27"
11-Aug-17,"8,884.04"
10-Aug-17,"8,949.86"
9-Aug-17,"9,027.15"
8-Aug-17,"9,162.33"
7-Aug-17,"9,155.13"
4-Aug-17,"9,176.99"
3-Aug-17,"9,136.61"
2-Aug-17,"9,122.68"
31-Jul-17,"9,055.00"
28-Jul-17,"9,019.31"
27-Jul-17,"9,017.79"
26-Jul-17,"8,990.34"
25-Jul-17,"8,937.90"
24-Jul-17,"8,898.23"
21-Jul-17,"8,938.68"
20-Jul-17,"9,027.37"
19-Jul-17,"9,024.32"
18-Jul-17,"8,977.98"
17-Jul-17,"9,038.65"
14-Jul-17,"9,034.57"
13-Jul-17,"9,003.57"
12-Jul-17,"9,015.60"
11-Jul-17,"8,874.07"
10-Jul-17,"8,943.84"
7-Jul-17,"8,883.27"
6-Jul-17,"8,886.95"
5-Jul-17,"8,954.10"
4-Jul-17,"8,971.40"
3-Jul-17,"9,009.81"
30-Jun-17,"8,906.89"
29-Jun-17,"8,944.04"
28-Jun-17,"9,076.73"
27-Jun-17,"9,072.92"
26-Jun-17,"9,121.22"
23-Jun-17,"9,032.89"
22-Jun-17,"9,051.27"
21-Jun-17,"8,985.61"
20-Jun-17,"9,023.55"
19-Jun-17,"9,030.30"
16-Jun-17,"8,963.29"
15-Jun-17,"8,853.01"
14-Jun-17,"8,849.40"
13-Jun-17,"8,867.07"
12-Jun-17,"8,807.85"
9-Jun-17,"8,845.85"
8-Jun-17,"8,811.62"
7-Jun-17,"8,876.73"
6-Jun-17,"8,908.27"
2-Jun-17,"9,043.96"
1-Jun-17,"9,024.92"
31-May-17,"9,016.64"
30-May-17,"9,007.54"
29-May-17,"9,031.96"
26-May-17,"9,042.03"
24-May-17,"9,035.09"
23-May-17,"9,061.76"
22-May-17,"9,084.78"
19-May-17,"9,022.51"
18-May-17,"8,938.37"
17-May-17,"9,001.60"
16-May-17,"9,127.61"
15-May-17,"9,108.25"
12-May-17,"9,123.41"
11-May-17,"9,064.88"
10-May-17,"9,089.80"
9-May-17,"9,113.83"
8-May-17,"9,039.61"
5-May-17,"9,016.66"
4-May-17,"8,980.02"
3-May-17,"8,891.89"
2-May-17,"8,868.56"
28-Apr-17,"8,812.67"
27-Apr-17,"8,844.78"
26-Apr-17,"8,830.29"
25-Apr-17,"8,775.24"
24-Apr-17,"8,711.32"
21-Apr-17,"8,553.99"
