Date,cac_40,s_p_500,Swis_smi_index,cad_50,ger_dax,us_dow,uk_ftse,nasdaq,jap_nikkei,swed_omx,eu_stoxx_50
1986-10-01,,,,,,,,,,125.93,
1986-10-02,,,,,,,,,,126.25,
1986-10-03,,,,,,,,,,126.69,
1986-10-06,,,,,,,,,,128.16,
1986-10-07,,,,,,,,,,129.84,
1986-10-08,,,,,,,,,,130.9,
1986-10-09,,,,,,,,,,130.65,
1986-10-10,,,,,,,,,,129.32,
1986-10-13,,,,,,,,,,127.88,
1986-10-14,,,,,,,,,,129.09,
1986-10-15,,,,,,,,,,127.58,
1986-10-16,,,,,,,,,,127.69,
1986-10-17,,,,,,,,,,128.76,
1986-10-20,,,,,,,,,,128.66,
1986-10-21,,,,,,,,,,127.44,
1986-10-22,,,,,,,,,,127.93,
1986-10-23,,,,,,,,,,129.5,
1986-10-24,,,,,,,,,,130.83,
1986-10-27,,,,,,,,,,130.24,
1986-10-28,,,,,,,,,,131.74,
1986-10-29,,,,,,,,,,130.99,
1986-10-30,,,,,,,,,,132.9,
1986-10-31,,,,,,,,,,134.54,
1986-11-03,,,,,,,,,,135.03,
1986-11-04,,,,,,,,,,136.3,
1986-11-05,,,,,,,,,,136.15,
1986-11-06,,,,,,,,,,136.66,
1986-11-07,,,,,,,,,,137.51,
1986-11-10,,,,,,,,,,137.17,
1986-11-11,,,,,,,,,,135.98,
1986-11-12,,,,,,,,,,137.12,
1986-11-13,,,,,,,,,,136.3,
1986-11-14,,,,,,,,,,135.07,
1986-11-17,,,,,,,,,,131.74,
1986-11-18,,,,,,,,,,131.16,
1986-11-19,,,,,,,,,,132.04,
1986-11-20,,,,,,,,,,132.36,
1986-11-21,,,,,,,,,,129.81,
1986-11-24,,,,,,,,,,128.73,
1986-11-25,,,,,,,,,,128.21,
1986-11-26,,,,,,,,,,129.12,
1986-11-27,,,,,,,,,,129.59,
1986-11-28,,,,,,,,,,128.0,
1986-12-01,,,,,,,,,,125.23,
1986-12-02,,,,,,,,,,124.95,
1986-12-03,,,,,,,,,,127.46,
1986-12-04,,,,,,,,,,126.45,
1986-12-05,,,,,,,,,,125.28,
1986-12-08,,,,,,,,,,123.4,
1986-12-09,,,,,,,,,,123.84,
1986-12-10,,,,,,,,,,123.21,
1986-12-11,,,,,,,,,,125.3,
1986-12-12,,,,,,,,,,127.25,
1986-12-15,,,,,,,,,,125.48,
1986-12-16,,,,,,,,,,124.99,
1986-12-17,,,,,,,,,,125.58,
1986-12-18,,,,,,,,,,125.62,
1986-12-19,,,,,,,,,,126.22,
1986-12-22,,,,,,,,,,125.5,
1986-12-23,,,,,,,,,,125.01,
1986-12-29,,,,,,,,,,125.0,
1986-12-30,,,,,,,,,,126.18,
1987-01-02,,,,,,,,,,127.18,
1987-01-05,,,,,,,,,,127.99,
1987-01-07,,,,,,,,,,126.02,
1987-01-08,,,,,,,,,,123.8,
1987-01-09,,,,,,,,,,120.86,
1987-01-12,,,,,,,,,,117.01,
