Date,Case_shiller_index
1/1/75,25.25
2/1/75,25.29
3/1/75,25.36
4/1/75,25.4
5/1/75,25.47
6/1/75,25.46
7/1/75,25.6
8/1/75,25.76
9/1/75,26.02
10/1/75,26.21
11/1/75,26.39
12/1/75,26.46
1/1/76,26.56
2/1/76,26.62
3/1/76,26.85
4/1/76,27.11
5/1/76,27.44
6/1/76,27.52
7/1/76,27.76
8/1/76,27.94
9/1/76,28.14
10/1/76,28.23
11/1/76,28.4
12/1/76,28.64
1/1/77,28.87
2/1/77,29.21
3/1/77,29.63
4/1/77,30.16
5/1/77,30.53
6/1/77,30.76
7/1/77,31.07
8/1/77,31.38
9/1/77,31.8
10/1/77,32.2
11/1/77,32.53
12/1/77,32.83
1/1/78,33.15
2/1/78,33.51
3/1/78,33.98
4/1/78,34.43
5/1/78,34.9
6/1/78,35.43
7/1/78,35.94
8/1/78,36.41
9/1/78,36.8
10/1/78,37.15
11/1/78,37.54
12/1/78,37.99
1/1/79,38.49
2/1/79,38.97
3/1/79,39.49
4/1/79,40.01
5/1/79,40.53
6/1/79,41.05
7/1/79,41.51
8/1/79,41.92
9/1/79,42.27
10/1/79,42.65
11/1/79,42.95
12/1/79,43.21
1/1/80,43.44
2/1/80,43.7
3/1/80,44.07
4/1/80,44.47
5/1/80,44.78
6/1/80,45.05
7/1/80,45.37
8/1/80,45.64
9/1/80,45.86
10/1/80,46.05
11/1/80,46.23
12/1/80,46.41
1/1/81,46.56
2/1/81,46.74
3/1/81,47.02
4/1/81,47.44
5/1/81,47.77
6/1/81,48.08
7/1/81,48.33
8/1/81,48.58
9/1/81,48.67
10/1/81,48.73
11/1/81,48.74
12/1/81,48.78
1/1/82,48.81
2/1/82,48.88
3/1/82,48.86
4/1/82,48.93
5/1/82,49
6/1/82,49
7/1/82,48.98
8/1/82,48.96
9/1/82,48.98
10/1/82,48.98
11/1/82,48.99
12/1/82,49.07
1/1/83,49.23
2/1/83,49.49
3/1/83,49.69
4/1/83,49.95
5/1/83,50.2
6/1/83,50.44
7/1/83,50.73
8/1/83,50.95
9/1/83,51.09
10/1/83,51.18
11/1/83,51.25
12/1/83,51.38
1/1/84,51.54
2/1/84,51.71
3/1/84,51.94
4/1/84,52.23
5/1/84,52.56
6/1/84,52.86
7/1/84,53.16
8/1/84,53.41
