Date,AUD/USD,CAD/USD,EUR/USD,GBP/USD,JPY/USD,SWF/USD,SDK/USD
1-Nov-93,1.4837,1.3175,0.8746,0.6765,108.47,1.5035,8.206
2-Nov-93,1.4848,1.3075,0.8721,0.6751,107.65,1.501,8.182
3-Nov-93,1.4793,1.309,0.871,0.6748,107.18,1.505,8.17
4-Nov-93,1.4859,1.3058,0.8715,0.6754,108.27,1.502,8.174
5-Nov-93,1.4804,1.2942,0.8734,0.6758,108.2,1.5005,8.135
8-Nov-93,1.4925,1.297,0.8657,0.6747,108.1,1.483,8.109
9-Nov-93,1.4988,1.3055,0.8726,0.6821,108.3,1.497,8.1875
10-Nov-93,1.506,1.3072,0.8713,0.6782,107.32,1.495,8.225
11-Nov-93,1.5106,1.3137,0.8705,0.6761,106.52,1.493,8.243
12-Nov-93,1.5129,1.3115,0.874,0.6767,106.27,1.503,8.2275
15-Nov-93,1.5267,1.3225,0.8689,0.6693,106.38,1.488,8.1745
16-Nov-93,1.5209,1.3162,0.8726,0.6711,106.35,1.4945,8.212
17-Nov-93,1.5106,1.3168,0.8765,0.6761,107.07,1.4975,8.243
18-Nov-93,1.5106,1.3208,0.8772,0.6763,107.15,1.501,8.268
19-Nov-93,1.5094,1.327,0.881,0.6791,108.32,1.5062,8.33
22-Nov-93,1.5106,1.329,0.8782,0.6775,108.35,1.4945,8.332
23-Nov-93,1.5072,1.3265,0.8797,0.6753,108.85,1.4955,8.384
24-Nov-93,1.5026,1.3316,0.876,0.6711,108.15,1.4915,8.372
25-Nov-93,1.5015,1.3285,0.8797,0.672,108.37,1.4975,8.382
26-Nov-93,1.5083,1.328,0.8818,0.678,108.77,1.4985,8.402
29-Nov-93,1.514,1.3325,0.8806,0.6725,109.3,1.4935,8.453
30-Nov-93,1.517,1.3382,0.8846,0.675,109.05,1.499,8.46
1-Dec-93,1.5198,1.3332,0.8849,0.6743,108.58,1.496,8.4635
2-Dec-93,1.5015,1.3305,0.8883,0.676,108.72,1.4985,8.469
3-Dec-93,1.4937,1.3298,0.8849,0.6706,108.3,1.488,8.414
6-Dec-93,1.4921,1.3282,0.8763,0.6671,108.22,1.472,8.314
7-Dec-93,1.497,1.3232,0.8739,0.6688,107.77,1.4625,8.31
8-Dec-93,1.4881,1.3226,0.8726,0.6676,108.6,1.464,8.3065
9-Dec-93,1.4892,1.3245,0.8742,0.669,108.75,1.466,8.308
10-Dec-93,1.4903,1.3286,0.8711,0.6691,109.14,1.4565,8.326
13-Dec-93,1.4903,1.3295,0.8741,0.6703,109.05,1.464,8.403
14-Dec-93,1.4859,1.3335,0.8787,0.6715,109.35,1.466,8.45
15-Dec-93,1.4848,1.3335,0.8793,0.6734,109.72,1.4645,8.435
16-Dec-93,1.4815,1.332,0.8776,0.672,109.7,1.461,8.405
17-Dec-93,1.4728,1.3366,0.8745,0.6706,109.96,1.455,8.38
20-Dec-93,1.4728,1.341,0.8772,0.6733,110.6,1.4625,8.4095
21-Dec-93,1.4723,1.3445,0.8726,0.6713,111.1,1.448,8.353
22-Dec-93,1.4695,1.3382,0.8703,0.6696,111.05,1.4355,8.279
23-Dec-93,1.476,1.3258,0.8678,0.6656,110.78,1.435,8.213
24-Dec-93,1.4728,1.3328,0.8688,0.666,110.75,1.438,8.225
29-Dec-93,1.4826,1.3325,0.8801,0.6704,111.85,1.4545,8.287
30-Dec-93,1.4793,1.3335,0.8873,0.6772,111.9,1.4785,8.326
31-Dec-93,1.4738,1.324,0.8894,0.6766,111.62,1.485,8.34
4-Jan-94,1.4609,1.3164,0.8892,0.6748,113.15,1.4862,8.255
5-Jan-94,1.4552,1.3152,0.8887,0.6726,112.75,1.48,8.215
6-Jan-94,1.4609,1.3227,0.8887,0.672,112.52,1.4745,8.197
7-Jan-94,1.4577,1.3225,0.8855,0.6698,111.77,1.4702,8.165
10-Jan-94,1.4535,1.3142,0.8874,0.6687,112.22,1.467,8.132
11-Jan-94,1.4493,1.3212,0.8905,0.671,112.5,1.4772,8.192
12-Jan-94,1.4493,1.3175,0.8879,0.6661,112.47,1.4695,8.173
13-Jan-94,1.4461,1.322,0.8943,0.6687,112.1,1.4785,8.185
14-Jan-94,1.4493,1.321,0.8947,0.6705,111.25,1.4835,8.192
17-Jan-94,1.4368,1.3195,0.8955,0.6702,111.08,1.48,8.126
18-Jan-94,1.4347,1.315,0.891,0.6673,110.7,1.465,8.095
19-Jan-94,1.4306,1.3115,0.8904,0.6705,110.87,1.46,8.108
20-Jan-94,1.4194,1.31,0.8876,0.6665,111.5,1.4535,8.087
21-Jan-94,1.4235,1.312,0.892,0.669,111.2,1.4658,8.062
24-Jan-94,1.4215,1.3105,0.8928,0.6684,111.82,1.464,8.049
25-Jan-94,1.4114,1.3125,0.8926,0.6694,111.17,1.469,8.025
26-Jan-94,1.4094,1.3137,0.8907,0.67,110.4,1.4725,7.97
27-Jan-94,1.4094,1.3115,0.8887,0.6699,109.4,1.47,7.96
28-Jan-94,1.4134,1.3145,0.882,0.665,109.15,1.4585,7.932
31-Jan-94,1.4104,1.3263,0.8881,0.6671,108.95,1.4665,7.9245
1-Feb-94,1.3996,1.3302,0.8803,0.6636,107.62,1.4455,7.865
2-Feb-94,1.4002,1.3267,0.8841,0.6687,108,1.4535,7.92
3-Feb-94,1.3986,1.3265,0.8823,0.6676,108,1.4455,7.865
4-Feb-94,1.3986,1.329,0.8836,0.6701,108.05,1.4455,7.8505
7-Feb-94,1.3986,1.3415,0.8963,0.6753,108.7,1.472,7.98
8-Feb-94,1.3918,1.343,0.8976,0.6802,108.95,1.481,8.037
9-Feb-94,1.3918,1.3442,0.8945,0.6846,107.82,1.4795,8.038
10-Feb-94,1.3918,1.3424,0.8933,0.6841,108.43,1.4785,8.0955
11-Feb-94,1.3957,1.3438,0.8923,0.6818,107.85,1.4765,8.0865
14-Feb-94,1.4075,1.3535,0.8881,0.6805,104.15,1.4705,8.0635
15-Feb-94,1.4134,1.3548,0.8803,0.6779,103.2,1.45,8.037
16-Feb-94,1.4055,1.351,0.8793,0.6764,103.55,1.452,8.023
17-Feb-94,1.3976,1.3405,0.8827,0.6779,104.2,1.461,7.985
18-Feb-94,1.4015,1.3377,0.8767,0.6767,104.3,1.4505,7.924
21-Feb-94,1.3996,1.3405,0.8808,0.6775,106.22,1.4555,7.961
22-Feb-94,1.3899,1.343,0.8804,0.6762,105.28,1.45,7.938
23-Feb-94,1.3812,1.3394,0.8811,0.6774,105.5,1.453,7.932
24-Feb-94,1.3746,1.3455,0.8824,0.6756,105.3,1.447,8.016
25-Feb-94,1.3879,1.3508,0.872,0.671,104.7,1.427,7.995
28-Feb-94,1.4035,1.3525,0.8728,0.6728,104.15,1.429,7.9875
1-Mar-94,1.3986,1.3528,0.8746,0.6731,104.67,1.4385,8.024
2-Mar-94,1.4201,1.3557,0.8725,0.6689,103.68,1.4305,8.026
3-Mar-94,1.4154,1.3548,0.8735,0.6688,104.05,1.4325,7.998
4-Mar-94,1.3996,1.359,0.8786,0.6711,105.62,1.4405,8.022
7-Mar-94,1.3899,1.359,0.8779,0.6711,105.85,1.4395,7.995
8-Mar-94,1.3947,1.3555,0.8772,0.6721,105.22,1.4372,7.9955
9-Mar-94,1.3996,1.3535,0.8741,0.6701,105.87,1.4335,7.995
10-Mar-94,1.4055,1.3575,0.8652,0.6658,105.67,1.4215,7.9185
11-Mar-94,1.4075,1.3607,0.8596,0.6656,105.12,1.4167,7.8315
14-Mar-94,1.3918,1.36,0.8644,0.6691,105.9,1.433,7.8405
15-Mar-94,1.3899,1.3635,0.8676,0.6705,106.12,1.4418,7.88
16-Mar-94,1.4025,1.3615,0.8651,0.6703,105.85,1.4345,7.858
17-Mar-94,1.4035,1.3682,0.8603,0.668,105.78,1.429,7.816
18-Mar-94,1.4029,1.3685,0.8687,0.6715,106.02,1.441,7.8805
21-Mar-94,1.4114,1.3642,0.8694,0.6739,106.3,1.4375,7.89
22-Mar-94,1.4085,1.3655,0.8658,0.6729,106,1.43,7.875
23-Mar-94,1.4075,1.363,0.8638,0.6696,106.38,1.4265,7.86
24-Mar-94,1.4085,1.3735,0.8586,0.6697,106.25,1.4225,7.879
25-Mar-94,1.4065,1.3748,0.8556,0.6684,104.75,1.4185,7.895
28-Mar-94,1.4035,1.3735,0.8563,0.6683,104.62,1.4205,7.885
29-Mar-94,1.4164,1.3758,0.8538,0.6702,103.65,1.4192,7.8885
30-Mar-94,1.4265,1.378,0.8587,0.6761,103.5,1.4225,7.883
31-Mar-94,1.4265,1.383,0.852,0.6736,102.8,1.409,7.8185
5-Apr-94,1.4215,1.3852,0.8694,0.6832,103.78,1.4375,7.9715
6-Apr-94,1.4174,1.3812,0.8744,0.681,104.6,1.4502,7.9435
7-Apr-94,1.4055,1.3865,0.8743,0.6814,104.85,1.45,7.902
8-Apr-94,1.3765,1.3807,0.872,0.6782,105.18,1.444,7.894
11-Apr-94,1.3812,1.3895,0.869,0.6786,103.35,1.4385,7.8775
12-Apr-94,1.3812,1.3823,0.8743,0.6777,103.3,1.448,7.895
13-Apr-94,1.3847,1.3757,0.8718,0.6777,103.68,1.442,7.928
14-Apr-94,1.3822,1.3795,0.8701,0.677,104.02,1.4425,7.922
15-Apr-94,1.3827,1.3853,0.8723,0.6787,103.68,1.4552,7.925
18-Apr-94,1.3937,1.3878,0.8762,0.6803,103.68,1.459,7.9275
19-Apr-94,1.3996,1.3875,0.8673,0.6765,103.22,1.442,7.92
20-Apr-94,1.3951,1.385,0.8647,0.6729,103.28,1.4405,7.918
21-Apr-94,1.4035,1.383,0.8607,0.668,103.58,1.4325,7.884
22-Apr-94,1.3918,1.3785,0.8633,0.6732,103.67,1.4378,7.89
25-Apr-94,1.3943,1.3815,0.8567,0.6705,103.22,1.4315,7.856
26-Apr-94,1.3889,1.3765,0.8571,0.6657,102.88,1.434,7.848
27-Apr-94,1.3951,1.3758,0.8539,0.6637,102.65,1.426,7.795
28-Apr-94,1.4049,1.3812,0.8514,0.663,101.92,1.4225,7.749
29-Apr-94,1.4015,1.3815,0.8446,0.6594,101.4,1.407,7.65
3-May-94,1.4154,1.384,0.8403,0.6628,101.28,1.404,7.617
4-May-94,1.4029,1.3862,0.8488,0.6678,102.2,1.4145,7.6845
5-May-94,1.3996,1.3855,0.852,0.6681,102.7,1.419,7.719
6-May-94,1.3982,1.382,0.8505,0.6702,102.78,1.4162,7.703
9-May-94,1.3873,1.3802,0.8457,0.6684,102.85,1.4145,7.688
10-May-94,1.3816,1.3772,0.8516,0.6708,103.88,1.429,7.7445
11-May-94,1.3784,1.3765,0.8542,0.6717,104.3,1.429,7.756
12-May-94,1.3893,1.3828,0.8525,0.667,104.5,1.43,7.753
13-May-94,1.3854,1.3785,0.8508,0.6666,104.75,1.4245,7.7365
16-May-94,1.3778,1.3755,0.8549,0.6649,104.58,1.4262,7.784
17-May-94,1.3732,1.3788,0.8512,0.665,104.4,1.42,7.744
18-May-94,1.374,1.377,0.8464,0.6636,103.65,1.4105,7.7085
19-May-94,1.3727,1.3755,0.8444,0.6631,104.05,1.41,7.69
20-May-94,1.3727,1.3765,0.8401,0.6623,103.9,1.4048,7.6675
23-May-94,1.362,1.3785,0.8407,0.6639,104.4,1.409,7.6672
24-May-94,1.3591,1.3795,0.8415,0.6631,104.45,1.408,7.724
