Date,Open,High,Low,Close
1971-01-04,353.87,353.87,353.87,353.87
1971-01-05,354.2,354.2,354.2,354.2
1971-01-06,354.12,354.12,354.12,354.12
1971-01-07,352.65,352.65,352.65,352.65
1971-01-08,352.4,352.4,352.4,352.4
1971-01-11,352.33,352.33,352.33,352.33
1971-01-12,353.44,353.44,353.44,353.44
1971-01-13,354.11,354.11,354.11,354.11
1971-01-14,353.69,353.69,353.69,353.69
1971-01-15,353.63,353.63,353.63,353.63
1971-01-18,353.81,353.81,353.81,353.81
1971-01-19,354.43,354.43,354.43,354.43
1971-01-20,354.35,354.35,354.35,354.35
1971-01-21,354.42,354.42,354.42,354.42
1971-01-22,353.77,353.77,353.77,353.77
1971-01-25,353.81,353.81,353.81,353.81
1971-01-26,353.99,353.99,353.99,353.99
1971-01-27,354.21,354.21,354.21,354.21
1971-01-28,354.63,354.63,354.63,354.63
1971-01-29,354.87,354.87,354.87,354.87
1971-02-01,354.95,354.95,354.95,354.95
1971-02-02,354.46,354.46,354.46,354.46
1971-02-03,354.52,354.52,354.52,354.52
1971-02-04,354.72,354.72,354.72,354.72
1971-02-05,354.74,354.74,354.74,354.74
1971-02-08,354.54,354.54,354.54,354.54
1971-02-09,354.55,354.55,354.55,354.55
1971-02-10,354.44,354.44,354.44,354.44
1971-02-11,354.44,354.44,354.44,354.44
1971-02-16,354.54,354.54,354.54,354.54
1971-02-17,354.44,354.44,354.44,354.44
1971-02-18,354.81,354.81,354.81,354.81
1971-02-19,355.24,355.24,355.24,355.24
1971-02-22,356.08,356.08,356.08,356.08
1971-02-23,356.3,356.3,356.3,356.3
1971-02-24,354.93,354.93,354.93,354.93
1971-02-25,355.24,355.24,355.24,355.24
1971-02-26,355.05,355.05,355.05,355.05
1971-03-01,354.91,354.91,354.91,354.91
1971-03-02,355.02,355.02,355.02,355.02
1971-03-03,354.88,354.88,354.88,354.88
1971-03-04,355.2,355.2,355.2,355.2
1971-03-05,355.93,355.93,355.93,355.93
1971-03-08,356.48,356.48,356.48,356.48
1971-03-09,356.05,356.05,356.05,356.05
1971-03-10,356.32,356.32,356.32,356.32
1971-03-11,355.83,355.83,355.83,355.83
1971-03-12,355.6,355.6,355.6,355.6
1971-03-15,355.45,355.45,355.45,355.45
1971-03-16,355.65,355.65,355.65,355.65
1971-03-17,355.55,355.55,355.55,355.55
1971-03-18,355.26,355.26,355.26,355.26
1971-03-19,354.82,354.82,354.82,354.82
1971-03-22,354.63,354.63,354.63,354.63
1971-03-23,354.74,354.74,354.74,354.74
1971-03-24,354.81,354.81,354.81,354.81
1971-03-25,354.97,354.97,354.97,354.97
1971-03-26,354.82,354.82,354.82,354.82
1971-03-29,354.76,354.76,354.76,354.76
1971-03-30,354.57,354.57,354.57,354.57
1971-03-31,354.54,354.54,354.54,354.54
1971-04-01,354.77,354.77,354.77,354.77
1971-04-02,354.92,354.92,354.92,354.92
1971-04-05,354.96,354.96,354.96,354.96
1971-04-06,355.28,355.28,355.28,355.28
1971-04-07,355.08,355.08,355.08,355.08
1971-04-08,355.01,355.01,355.01,355.01
1971-04-09,355.07,355.07,355.07,355.07
1971-04-12,355.04,355.04,355.04,355.04
1971-04-13,354.9,354.9,354.9,354.9
1971-04-14,354.7,354.7,354.7,354.7
1971-04-15,354.83,354.83,354.83,354.83
1971-04-16,355.11,355.11,355.11,355.11
1971-04-19,354.88,354.88,354.88,354.88
1971-04-20,354.82,354.82,354.82,354.82
1971-04-21,354.88,354.88,354.88,354.88
1971-04-22,354.77,354.77,354.77,354.77
1971-04-23,354.47,354.47,354.47,354.47
1971-04-26,354.23,354.23,354.23,354.23
1971-04-27,354.13,354.13,354.13,354.13
1971-04-28,354.35,354.35,354.35,354.35
1971-04-29,354.35,354.35,354.35,354.35
1971-04-30,354.18,354.18,354.18,354.18
1971-05-03,354.26,354.26,354.26,354.26
1971-05-04,354.2,354.2,354.2,354.2
1971-05-05,354.75,354.75,354.75,354.75
1971-05-06,354.76,354.76,354.76,354.76
1971-05-07,354.94,354.94,354.94,354.94
1971-05-10,354.15,354.15,354.15,354.15
1971-05-11,354.45,354.45,354.45,354.45
1971-05-12,354.58,354.58,354.58,354.58
1971-05-13,354.34,354.34,354.34,354.34
1971-05-14,354.34,354.34,354.34,354.34
1971-05-17,354.25,354.25,354.25,354.25
1971-05-18,354.29,354.29,354.29,354.29
1971-05-19,354.04,354.04,354.04,354.04
1971-05-20,354.17,354.17,354.17,354.17
1971-05-21,354.13,354.13,354.13,354.13
1971-05-24,354.2,354.2,354.2,354.2
1971-05-25,354.18,354.18,354.18,354.18
1971-05-26,354.38,354.38,354.38,354.38
1971-05-27,354.11,354.11,354.11,354.11
1971-05-28,353.83,353.83,353.83,353.83
1971-06-01,352.99,352.99,352.99,352.99
1971-06-02,352.66,352.66,352.66,352.66
1971-06-03,350.99,350.99,350.99,350.99
1971-06-04,351.29,351.29,351.29,351.29
1971-06-07,351.73,351.73,351.73,351.73
1971-06-08,351.12,351.12,351.12,351.12
1971-06-09,350.88,350.88,350.88,350.88
1971-06-10,349.05,349.05,349.05,349.05
1971-06-11,349.05,349.05,349.05,349.05
1971-06-14,349.31,349.31,349.31,349.31
1971-06-15,348.81,348.81,348.81,348.81
1971-06-16,348.95,348.95,348.95,348.95
1971-06-17,349,349,349,349
1971-06-18,349.54,349.54,349.54,349.54
1971-06-21,348.95,348.95,348.95,348.95
1971-06-22,348.91,348.91,348.91,348.91
1971-06-23,349.24,349.24,349.24,349.24
1971-06-24,348.95,348.95,348.95,348.95
1971-06-25,349.27,349.27,349.27,349.27
1971-06-28,349.63,349.63,349.63,349.63
1971-06-29,349.36,349.36,349.36,349.36
1971-06-30,349.2,349.2,349.2,349.2
1971-07-01,349.31,349.31,349.31,349.31
1971-07-02,349.5,349.5,349.5,349.5
1971-07-06,349.41,349.41,349.41,349.41
1971-07-07,349.33,349.33,349.33,349.33
1971-07-08,349.42,349.42,349.42,349.42
1971-07-09,349.37,349.37,349.37,349.37
1971-07-12,349.35,349.35,349.35,349.35
1971-07-13,349.38,349.38,349.38,349.38
1971-07-14,349.37,349.37,349.37,349.37
1971-07-15,349.47,349.47,349.47,349.47
1971-07-16,349.43,349.43,349.43,349.43
1971-07-19,349.63,349.63,349.63,349.63
1971-07-20,350.28,350.28,350.28,350.28
1971-07-21,350.38,350.38,350.38,350.38
1971-07-22,351.22,351.22,351.22,351.22
1971-07-23,352.04,352.04,352.04,352.04
