Date,Open,High,Low,Close
1984-01-02,0.569,0.569,0.569,0.569
1984-01-09,0.5602,0.5602,0.5602,0.5602
1984-01-16,0.5556,0.5556,0.5556,0.5556
1984-01-23,0.561,0.561,0.561,0.561
1984-01-30,0.5549,0.5549,0.5549,0.5549
1984-02-06,0.5566,0.5566,0.5566,0.5566
1984-02-13,0.5579,0.5579,0.5579,0.5579
1984-02-20,0.557,0.557,0.557,0.557
1984-03-01,0.5677,0.5677,0.5677,0.5677
1984-03-05,0.5794,0.5794,0.5794,0.5794
1984-03-12,0.5954,0.5954,0.5954,0.5954
1984-03-19,0.5991,0.5991,0.5991,0.5991
1984-03-26,0.5917,0.5917,0.5917,0.5917
1984-04-02,0.5957,0.5957,0.5957,0.5957
1984-04-09,0.5904,0.5904,0.5904,0.5904
1984-04-16,0.5877,0.5877,0.5877,0.5877
1984-04-24,0.5853,0.5853,0.5853,0.5853
1984-05-02,0.5772,0.5772,0.5772,0.5772
1984-05-07,0.5763,0.5763,0.5763,0.5763
1984-05-14,0.5674,0.5674,0.5674,0.5674
1984-05-21,0.5679,0.5679,0.5679,0.5679
1984-05-28,0.5703,0.5703,0.5703,0.5703
1984-06-04,0.5739,0.5739,0.5739,0.5739
1984-06-11,0.5835,0.5835,0.5835,0.5835
1984-06-18,0.5744,0.5744,0.5744,0.5744
1984-06-25,0.5684,0.5684,0.5684,0.5684
1984-07-02,0.5669,0.5669,0.5669,0.5669
1984-07-09,0.5592,0.5592,0.5592,0.5592
1984-07-16,0.5573,0.5573,0.5573,0.5573
1984-07-23,0.5529,0.5529,0.5529,0.5529
1984-07-30,0.5389,0.5389,0.5389,0.5389
1984-08-06,0.5334,0.5334,0.5334,0.5334
1984-08-13,0.5354,0.5354,0.5354,0.5354
1984-08-20,0.535,0.535,0.535,0.535
1984-08-27,0.5401,0.5401,0.5401,0.5401
1984-09-01,0.5422,0.5422,0.5422,0.5422
1984-09-10,0.5314,0.5314,0.5314,0.5314
1984-09-17,0.5276,0.5276,0.5276,0.5276
1984-09-24,0.5186,0.5186,0.5186,0.5186
1984-10-01,0.5222,0.5222,0.5222,0.5222
1984-10-08,0.524,0.524,0.524,0.524
1984-10-15,0.5213,0.5213,0.5213,0.5213
1984-10-22,0.515,0.515,0.515,0.515
1984-10-29,0.5225,0.5225,0.5225,0.5225
1984-11-05,0.5244,0.5244,0.5244,0.5244
1984-11-12,0.5421,0.5421,0.5421,0.5421
1984-11-19,0.5454,0.5454,0.5454,0.5454
1984-11-26,0.5334,0.5334,0.5334,0.5334
1984-12-01,0.5243,0.5243,0.5243,0.5243
1984-12-10,0.5191,0.5191,0.5191,0.5191
1984-12-17,0.518,0.518,0.518,0.518
1984-12-24,0.5174,0.5174,0.5174,0.5174
1985-01-01,0.5125,0.5125,0.5125,0.5125
1985-01-07,0.5061,0.5061,0.5061,0.5061
1985-01-14,0.5029,0.5029,0.5029,0.5029
1985-01-21,0.49421,0.49421,0.49421,0.49421
1985-01-28,0.4943,0.4943,0.4943,0.4943
1985-02-04,0.49871,0.49871,0.49871,0.49871
1985-02-11,0.48689,0.48689,0.48689,0.48689
1985-02-18,0.47979,0.47979,0.47979,0.47979
1985-02-25,0.47753,0.47753,0.47753,0.47753
1985-03-04,0.48362,0.48362,0.48362,0.48362
1985-03-11,0.47816,0.47816,0.47816,0.47816
1985-03-18,0.48993,0.48993,0.48993,0.48993
1985-03-25,0.48906,0.48906,0.48906,0.48906
1985-03-29,0.5118,0.5118,0.5118,0.5118
1985-04-01,0.5132,0.5132,0.5132,0.5132
1985-04-09,0.5203,0.5203,0.5203,0.5203
1985-04-15,0.5164,0.5164,0.5164,0.5164
1985-04-22,0.5458,0.5458,0.5458,0.5458
1985-04-29,0.5405,0.5405,0.5405,0.5405
1985-05-06,0.5288,0.5288,0.5288,0.5288
1985-05-13,0.5169,0.5169,0.5169,0.5169
1985-05-20,0.5321,0.5321,0.5321,0.5321
1985-05-27,0.533,0.533,0.533,0.533
1985-06-01,0.5281,0.5281,0.5281,0.5281
1985-06-10,0.5357,0.5357,0.5357,0.5357
1985-06-17,0.5269,0.5269,0.5269,0.5269
1985-06-24,0.5352,0.5352,0.5352,0.5352
1985-07-01,0.5325,0.5325,0.5325,0.5325
1985-07-08,0.5313,0.5313,0.5313,0.5313
1985-07-15,0.5418,0.5418,0.5418,0.5418
1985-07-23,0.5631,0.5631,0.5631,0.5631
1985-07-29,0.5757,0.5757,0.5757,0.5757
1985-08-05,0.5855,0.5855,0.5855,0.5855
1985-08-12,0.5765,0.5765,0.5765,0.5765
1985-08-19,0.5939,0.5939,0.5939,0.5939
1985-08-26,0.5992,0.5992,0.5992,0.5992
1985-09-02,0.5973,0.5973,0.5973,0.5973
1985-09-09,0.5864,0.5864,0.5864,0.5864
1985-09-16,0.5647,0.5647,0.5647,0.5647
1985-09-23,0.58,0.58,0.58,0.58
1985-09-30,0.613,0.613,0.613,0.613
1985-10-07,0.6284,0.6284,0.6284,0.6284
1985-10-14,0.6299,0.6299,0.6299,0.6299
1985-10-21,0.6271,0.6271,0.6271,0.6271
1985-10-28,0.6289,0.6289,0.6289,0.6289
1985-11-04,0.6327,0.6327,0.6327,0.6327
1985-11-11,0.639,0.639,0.639,0.639
1985-11-18,0.6393,0.6393,0.6393,0.6393
1985-11-25,0.6446,0.6446,0.6446,0.6446
1985-12-02,0.6541,0.6541,0.6541,0.6541
1985-12-09,0.6581,0.6581,0.6581,0.6581
1985-12-16,0.6597,0.6597,0.6597,0.6597
1985-12-23,0.6642,0.6642,0.6642,0.6642
1986-01-01,0.6608,0.6608,0.6608,0.6608
1986-01-06,0.6736,0.6736,0.6736,0.6736
1986-01-13,0.6805,0.6805,0.6805,0.6805
1986-01-20,0.6674,0.6674,0.6674,0.6674
1986-01-27,0.672,0.672,0.672,0.672
1986-02-01,0.695,0.695,0.695,0.695
1986-02-10,0.7087,0.7087,0.7087,0.7087
1986-02-17,0.6996,0.6996,0.6996,0.6996
1986-02-24,0.7183,0.7183,0.7183,0.7183
1986-03-01,0.736,0.736,0.736,0.736
1986-03-03,0.736,0.736,0.736,0.736
1986-03-10,0.7658,0.7658,0.7658,0.7658
1986-03-17,0.7249,0.7249,0.7249,0.7249
1986-03-18,0.7249,0.7249,0.7249,0.7249
1986-03-24,0.7403,0.7403,0.7403,0.7403
1986-04-01,0.7243,0.7243,0.7243,0.7243
1986-04-07,0.7145,0.7145,0.7145,0.7145
1986-04-09,0.7145,0.7145,0.7145,0.7145
1986-04-14,0.6946,0.6946,0.6946,0.6946
1986-04-21,0.7199,0.7199,0.7199,0.7199
1986-04-28,0.7541,0.7541,0.7541,0.7541
1986-05-05,0.7603,0.7603,0.7603,0.7603
1986-05-12,0.7471,0.7471,0.7471,0.7471
1986-05-19,0.7668,0.7668,0.7668,0.7668
1986-05-26,0.7449,0.7449,0.7449,0.7449
1986-06-02,0.7242,0.7242,0.7242,0.7242
1986-06-09,0.7378,0.7378,0.7378,0.7378
1986-06-16,0.7545,0.7545,0.7545,0.7545
1986-06-23,0.7573,0.7573,0.7573,0.7573
1986-06-30,0.7559,0.7559,0.7559,0.7559
1986-07-07,0.775,0.775,0.775,0.775
1986-07-14,0.7777,0.7777,0.7777,0.7777
1986-07-21,0.7772,0.7772,0.7772,0.7772
1986-07-28,0.8066,0.8066,0.8066,0.8066
1986-08-04,0.8141,0.8141,0.8141,0.8141
1986-08-11,0.8197,0.8197,0.8197,0.8197
1986-08-18,0.8321,0.8321,0.8321,0.8321
1986-08-25,0.831,0.831,0.831,0.831
1986-09-01,0.8463,0.8463,0.8463,0.8463
1986-09-08,0.8485,0.8485,0.8485,0.8485
1986-09-15,0.8211,0.8211,0.8211,0.8211
1986-09-22,0.8339,0.8339,0.8339,0.8339
1986-09-29,0.8429,0.8429,0.8429,0.8429
1986-10-06,0.8459,0.8459,0.8459,0.8459
1986-10-13,0.8466,0.8466,0.8466,0.8466
1986-10-20,0.8571,0.8571,0.8571,0.8571
1986-10-27,0.8522,0.8522,0.8522,0.8522
1986-11-01,0.8281,0.8281,0.8281,0.8281
1986-11-10,0.8102,0.8102,0.8102,0.8102
1986-11-17,0.8213,0.8213,0.8213,0.8213
1986-11-24,0.8224,0.8224,0.8224,0.8224
1986-12-01,0.8248,0.8248,0.8248,0.8248
1986-12-08,0.8432,0.8432,0.8432,0.8432
1986-12-15,0.8201,0.8201,0.8201,0.8201
1986-12-22,0.8087,0.8087,0.8087,0.8087
1986-12-31,0.8445,0.8445,0.8445,0.8445
1987-01-12,0.8487,0.8487,0.8487,0.8487
1987-01-19,0.8632,0.8632,0.8632,0.8632
1987-01-26,0.8812,0.8812,0.8812,0.8812
1987-02-01,0.8827,0.8827,0.8827,0.8827
1987-02-09,0.8832,0.8832,0.8832,0.8832
1987-02-16,0.8715,0.8715,0.8715,0.8715
1987-02-23,0.8725,0.8725,0.8725,0.8725
1987-03-02,0.8559,0.8559,0.8559,0.8559
1987-03-09,0.8641,0.8641,0.8641,0.8641
1987-03-16,0.8513,0.8513,0.8513,0.8513
1987-03-23,0.8553,0.8553,0.8553,0.8553
1987-03-30,0.8632,0.8632,0.8632,0.8632
1987-04-06,0.8728,0.8728,0.8728,0.8728
1987-04-13,0.8634,0.8634,0.8634,0.8634
1987-04-21,0.8771,0.8771,0.8771,0.8771
1987-04-27,0.8908,0.8908,0.8908,0.8908
1987-05-04,0.913,0.913,0.913,0.913
1987-05-11,0.9291,0.9291,0.9291,0.9291
1987-05-18,0.9099,0.9099,0.9099,0.9099
1987-05-25,0.9169,0.9169,0.9169,0.9169
1987-06-01,0.913,0.913,0.913,0.913
1987-06-08,0.8885,0.8885,0.8885,0.8885
1987-06-15,0.898,0.898,0.898,0.898
1987-06-22,0.8869,0.8869,0.8869,0.8869
1987-06-29,0.8705,0.8705,0.8705,0.8705
1987-07-06,0.8767,0.8767,0.8767,0.8767
1987-07-13,0.8655,0.8655,0.8655,0.8655
1987-07-20,0.8587,0.8587,0.8587,0.8587
1987-07-27,0.8516,0.8516,0.8516,0.8516
1987-08-03,0.8645,0.8645,0.8645,0.8645
1987-08-10,0.8525,0.8525,0.8525,0.8525
1987-08-17,0.8456,0.8456,0.8456,0.8456
1987-08-24,0.8636,0.8636,0.8636,0.8636
1987-08-31,0.8771,0.8771,0.8771,0.8771
1987-09-07,0.8833,0.8833,0.8833,0.8833
1987-09-14,0.8839,0.8839,0.8839,0.8839
1987-09-21,0.8711,0.8711,0.8711,0.8711
1987-09-28,0.8722,0.8722,0.8722,0.8722
1987-10-05,0.8574,0.8574,0.8574,0.8574
1987-10-12,0.8548,0.8548,0.8548,0.8548
1987-10-19,0.8637,0.8637,0.8637,0.8637
1987-10-26,0.8757,0.8757,0.8757,0.8757
1987-11-02,0.9004,0.9004,0.9004,0.9004
1987-11-09,0.9318,0.9318,0.9318,0.9318
1987-11-16,0.9652,0.9652,0.9652,0.9652
1987-11-23,0.9454,0.9454,0.9454,0.9454
1987-11-30,0.9531,0.9531,0.9531,0.9531
1987-12-07,0.9671,0.9671,0.9671,0.9671
1987-12-14,0.9606,0.9606,0.9606,0.9606
1987-12-21,0.9871,0.9871,0.9871,0.9871
1987-12-28,0.9882,0.9882,0.9882,0.9882
1988-01-04,1.0037,1.0037,1.0037,1.0037
1988-01-11,0.9908,0.9908,0.9908,0.9908
1988-01-18,0.9615,0.9615,0.9615,0.9615
1988-01-25,0.9381,0.9381,0.9381,0.9381
1988-02-01,0.9425,0.9425,0.9425,0.9425
1988-02-08,0.9243,0.9243,0.9243,0.9243
1988-02-15,0.9076,0.9076,0.9076,0.9076
1988-02-22,0.9047,0.9047,0.9047,0.9047
1988-02-29,0.9115,0.9115,0.9115,0.9115
1988-03-07,0.9065,0.9065,0.9065,0.9065
1988-03-14,0.9091,0.9091,0.9091,0.9091
1988-03-21,0.9135,0.9135,0.9135,0.9135
1988-03-28,0.8934,0.8934,0.8934,0.8934
1988-04-05,0.8996,0.8996,0.8996,0.8996
1988-04-11,0.9092,0.9092,0.9092,0.9092
1988-04-18,0.8881,0.8881,0.8881,0.8881
