Date,Open,High,Low,Close
1971-01-04,82.845,82.845,82.845,82.845
1971-01-05,82.982,82.982,82.982,82.982
1971-01-06,83.007,83.007,83.007,83.007
1971-01-07,83.027,83.027,83.027,83.027
1971-01-08,83.003,83.003,83.003,83.003
1971-01-11,83.044,83.044,83.044,83.044
1971-01-12,83.073,83.073,83.073,83.073
1971-01-13,83.174,83.174,83.174,83.174
1971-01-14,83.162,83.162,83.162,83.162
1971-01-15,83.205,83.205,83.205,83.205
1971-01-18,83.264,83.264,83.264,83.264
1971-01-19,83.324,83.324,83.324,83.324
1971-01-20,83.334,83.334,83.334,83.334
1971-01-21,83.287,83.287,83.287,83.287
1971-01-22,83.238,83.238,83.238,83.238
1971-01-25,83.185,83.185,83.185,83.185
1971-01-26,83.229,83.229,83.229,83.229
1971-01-27,83.263,83.263,83.263,83.263
1971-01-28,83.257,83.257,83.257,83.257
1971-01-29,83.263,83.263,83.263,83.263
1971-02-01,83.242,83.242,83.242,83.242
1971-02-02,83.211,83.211,83.211,83.211
1971-02-03,83.213,83.213,83.213,83.213
1971-02-04,83.206,83.206,83.206,83.206
1971-02-05,83.205,83.205,83.205,83.205
1971-02-08,83.182,83.182,83.182,83.182
1971-02-09,83.2,83.2,83.2,83.2
1971-02-10,83.191,83.191,83.191,83.191
1971-02-11,83.201,83.201,83.201,83.201
1971-02-16,83.207,83.207,83.207,83.207
1971-02-17,83.208,83.208,83.208,83.208
1971-02-18,83.209,83.209,83.209,83.209
1971-02-19,83.226,83.226,83.226,83.226
1971-02-22,83.244,83.244,83.244,83.244
1971-02-23,83.234,83.234,83.234,83.234
1971-02-24,83.136,83.136,83.136,83.136
1971-02-25,83.013,83.013,83.013,83.013
1971-02-26,83.017,83.017,83.017,83.017
1971-03-01,83.028,83.028,83.028,83.028
1971-03-02,83.052,83.052,83.052,83.052
1971-03-03,83.06,83.06,83.06,83.06
1971-03-04,82.997,82.997,82.997,82.997
1971-03-05,83.032,83.032,83.032,83.032
1971-03-08,83.115,83.115,83.115,83.115
1971-03-09,83.108,83.108,83.108,83.108
1971-03-10,83.082,83.082,83.082,83.082
1971-03-11,83.131,83.131,83.131,83.131
1971-03-12,83.138,83.138,83.138,83.138
1971-03-15,83.14,83.14,83.14,83.14
1971-03-16,83.132,83.132,83.132,83.132
1971-03-17,83.154,83.154,83.154,83.154
1971-03-18,83.188,83.188,83.188,83.188
1971-03-19,83.211,83.211,83.211,83.211
1971-03-22,83.181,83.181,83.181,83.181
1971-03-23,83.199,83.199,83.199,83.199
1971-03-24,83.208,83.208,83.208,83.208
1971-03-25,83.194,83.194,83.194,83.194
1971-03-26,83.21,83.21,83.21,83.21
1971-03-29,83.188,83.188,83.188,83.188
1971-03-30,83.217,83.217,83.217,83.217
1971-03-31,83.209,83.209,83.209,83.209
1971-04-01,83.222,83.222,83.222,83.222
1971-04-02,83.25,83.25,83.25,83.25
1971-04-05,83.197,83.197,83.197,83.197
1971-04-06,83.184,83.184,83.184,83.184
1971-04-07,83.229,83.229,83.229,83.229
1971-04-08,83.271,83.271,83.271,83.271
1971-04-09,83.237,83.237,83.237,83.237
1971-04-12,83.2,83.2,83.2,83.2
1971-04-13,83.13,83.13,83.13,83.13
1971-04-14,83.115,83.115,83.115,83.115
1971-04-15,83.157,83.157,83.157,83.157
1971-04-16,83.111,83.111,83.111,83.111
1971-04-19,83.036,83.036,83.036,83.036
1971-04-20,83.06,83.06,83.06,83.06
1971-04-21,83.121,83.121,83.121,83.121
1971-04-22,83.144,83.144,83.144,83.144
1971-04-23,83.091,83.091,83.091,83.091
1971-04-26,83.121,83.121,83.121,83.121
1971-04-27,83.161,83.161,83.161,83.161
1971-04-28,83.226,83.226,83.226,83.226
1971-04-29,83.199,83.199,83.199,83.199
1971-04-30,83.195,83.195,83.195,83.195
1971-05-03,83.207,83.207,83.207,83.207
1971-05-04,83.208,83.208,83.208,83.208
1971-05-05,85.417,85.417,85.417,85.417
1971-05-06,85.775,85.775,85.775,85.775
1971-05-07,86.384,86.384,86.384,86.384
1971-05-10,86.947,86.947,86.947,86.947
1971-05-11,86.829,86.829,86.829,86.829
1971-05-12,87.001,87.001,87.001,87.001
1971-05-13,87.298,87.298,87.298,87.298
1971-05-14,87.301,87.301,87.301,87.301
1971-05-17,87.354,87.354,87.354,87.354
1971-05-18,87.454,87.454,87.454,87.454
1971-05-19,87.457,87.457,87.457,87.457
1971-05-20,87.469,87.469,87.469,87.469
1971-05-21,87.742,87.742,87.742,87.742
1971-05-24,87.659,87.659,87.659,87.659
1971-05-25,87.453,87.453,87.453,87.453
1971-05-26,87.433,87.433,87.433,87.433
1971-05-27,87.207,87.207,87.207,87.207
1971-05-28,87.047,87.047,87.047,87.047
1971-06-01,87.058,87.058,87.058,87.058
1971-06-02,87.185,87.185,87.185,87.185
1971-06-03,87.407,87.407,87.407,87.407
1971-06-04,87.3,87.3,87.3,87.3
1971-06-07,87.43,87.43,87.43,87.43
1971-06-08,87.394,87.394,87.394,87.394
1971-06-09,87.362,87.362,87.362,87.362
1971-06-10,87.488,87.488,87.488,87.488
1971-06-11,87.414,87.414,87.414,87.414
1971-06-14,87.384,87.384,87.384,87.384
1971-06-15,87.297,87.297,87.297,87.297
1971-06-16,87.384,87.384,87.384,87.384
1971-06-17,87.314,87.314,87.314,87.314
1971-06-18,87.32,87.32,87.32,87.32
1971-06-21,87.32,87.32,87.32,87.32
