Date,Open,High,Low,Close
1971-01-04,10.341,10.341,10.341,10.341
1971-01-05,10.331,10.331,10.331,10.331
1971-01-06,10.331,10.331,10.331,10.331
1971-01-07,10.331,10.331,10.331,10.331
1971-01-08,10.341,10.341,10.341,10.341
1971-01-11,10.341,10.341,10.341,10.341
1971-01-12,10.341,10.341,10.341,10.341
1971-01-13,10.352,10.352,10.352,10.352
1971-01-14,10.373,10.373,10.373,10.373
1971-01-15,10.363,10.363,10.363,10.363
1971-01-18,10.352,10.352,10.352,10.352
1971-01-19,10.352,10.352,10.352,10.352
1971-01-20,10.363,10.363,10.363,10.363
1971-01-21,10.363,10.363,10.363,10.363
1971-01-22,10.363,10.363,10.363,10.363
1971-01-25,10.384,10.384,10.384,10.384
1971-01-26,10.384,10.384,10.384,10.384
1971-01-27,10.384,10.384,10.384,10.384
1971-01-28,10.384,10.384,10.384,10.384
1971-01-29,10.384,10.384,10.384,10.384
1971-02-01,10.395,10.395,10.395,10.395
1971-02-02,10.384,10.384,10.384,10.384
1971-02-03,10.395,10.395,10.395,10.395
1971-02-04,10.384,10.384,10.384,10.384
1971-02-05,10.373,10.373,10.373,10.373
1971-02-08,10.395,10.395,10.395,10.395
1971-02-09,10.373,10.373,10.373,10.373
1971-02-10,10.384,10.384,10.384,10.384
1971-02-11,10.384,10.384,10.384,10.384
1971-02-16,10.395,10.395,10.395,10.395
1971-02-17,10.395,10.395,10.395,10.395
1971-02-18,10.395,10.395,10.395,10.395
1971-02-19,10.395,10.395,10.395,10.395
1971-02-22,10.395,10.395,10.395,10.395
1971-02-23,10.395,10.395,10.395,10.395
1971-02-24,10.406,10.406,10.406,10.406
1971-02-25,10.417,10.417,10.417,10.417
1971-02-26,10.406,10.406,10.406,10.406
1971-03-01,10.406,10.406,10.406,10.406
1971-03-02,10.417,10.417,10.417,10.417
1971-03-03,10.406,10.406,10.406,10.406
1971-03-04,10.417,10.417,10.417,10.417
1971-03-05,10.417,10.417,10.417,10.417
1971-03-08,10.406,10.406,10.406,10.406
1971-03-09,10.406,10.406,10.406,10.406
1971-03-10,10.417,10.417,10.417,10.417
1971-03-11,10.406,10.406,10.406,10.406
1971-03-12,10.406,10.406,10.406,10.406
1971-03-15,10.406,10.406,10.406,10.406
1971-03-16,10.395,10.395,10.395,10.395
1971-03-17,10.406,10.406,10.406,10.406
1971-03-18,10.395,10.395,10.395,10.395
1971-03-19,10.395,10.395,10.395,10.395
1971-03-22,10.395,10.395,10.395,10.395
1971-03-23,10.395,10.395,10.395,10.395
1971-03-24,10.395,10.395,10.395,10.395
1971-03-25,10.395,10.395,10.395,10.395
1971-03-26,10.395,10.395,10.395,10.395
1971-03-29,10.395,10.395,10.395,10.395
1971-03-30,10.384,10.384,10.384,10.384
1971-03-31,10.384,10.384,10.384,10.384
1971-04-01,10.373,10.373,10.373,10.373
1971-04-02,10.363,10.363,10.363,10.363
1971-04-05,10.384,10.384,10.384,10.384
1971-04-06,10.395,10.395,10.395,10.395
1971-04-07,10.384,10.384,10.384,10.384
1971-04-08,10.373,10.373,10.373,10.373
1971-04-09,10.384,10.384,10.384,10.384
1971-04-12,10.384,10.384,10.384,10.384
1971-04-13,10.395,10.395,10.395,10.395
1971-04-14,10.406,10.406,10.406,10.406
1971-04-15,10.395,10.395,10.395,10.395
1971-04-16,10.406,10.406,10.406,10.406
1971-04-19,10.417,10.417,10.417,10.417
1971-04-20,10.406,10.406,10.406,10.406
1971-04-21,10.406,10.406,10.406,10.406
1971-04-22,10.406,10.406,10.406,10.406
1971-04-23,10.406,10.406,10.406,10.406
1971-04-26,10.406,10.406,10.406,10.406
1971-04-27,10.395,10.395,10.395,10.395
1971-04-28,10.395,10.395,10.395,10.395
1971-04-29,10.395,10.395,10.395,10.395
1971-04-30,10.395,10.395,10.395,10.395
1971-05-03,10.384,10.384,10.384,10.384
1971-05-04,10.384,10.384,10.384,10.384
1971-05-05,10.122,10.122,10.122,10.122
1971-05-06,10.081,10.081,10.081,10.081
1971-05-07,10.01,10.01,10.01,10.01
1971-05-10,9.931,9.931,9.931,9.931
1971-05-11,9.95,9.95,9.95,9.95
1971-05-12,9.94,9.94,9.94,9.94
1971-05-13,9.901,9.901,9.901,9.901
