Date,Open,High,Low,Close
1971-01-04,12.366,12.366,12.366,12.366
1971-01-05,12.364,12.364,12.364,12.364
1971-01-06,12.377,12.377,12.377,12.377
1971-01-07,12.377,12.377,12.377,12.377
1971-01-08,12.368,12.368,12.368,12.368
1971-01-11,12.383,12.383,12.383,12.383
1971-01-12,12.402,12.402,12.402,12.402
1971-01-13,12.402,12.402,12.402,12.402
1971-01-14,12.417,12.417,12.417,12.417
1971-01-15,12.436,12.436,12.436,12.436
1971-01-18,12.419,12.419,12.419,12.419
1971-01-19,12.441,12.441,12.441,12.441
1971-01-20,12.424,12.424,12.424,12.424
1971-01-21,12.446,12.446,12.446,12.446
1971-01-22,12.438,12.438,12.438,12.438
1971-01-25,12.476,12.476,12.476,12.476
1971-01-26,12.481,12.481,12.481,12.481
1971-01-27,12.469,12.469,12.469,12.469
1971-01-28,12.483,12.483,12.483,12.483
1971-01-29,12.499,12.499,12.499,12.499
1971-02-01,12.526,12.526,12.526,12.526
1971-02-02,12.508,12.508,12.508,12.508
1971-02-03,12.512,12.512,12.512,12.512
1971-02-04,12.493,12.493,12.493,12.493
1971-02-05,12.51,12.51,12.51,12.51
1971-02-08,12.532,12.532,12.532,12.532
1971-02-09,12.513,12.513,12.513,12.513
1971-02-10,12.524,12.524,12.524,12.524
1971-02-11,12.501,12.501,12.501,12.501
1971-02-16,12.517,12.517,12.517,12.517
1971-02-17,12.516,12.516,12.516,12.516
1971-02-18,12.501,12.501,12.501,12.501
1971-02-19,12.513,12.513,12.513,12.513
1971-02-22,12.486,12.486,12.486,12.486
1971-02-23,12.476,12.476,12.476,12.476
1971-02-24,12.477,12.477,12.477,12.477
1971-02-25,12.488,12.488,12.488,12.488
1971-02-26,12.48,12.48,12.48,12.48
1971-03-01,12.463,12.463,12.463,12.463
1971-03-02,12.496,12.496,12.496,12.496
1971-03-03,12.476,12.476,12.476,12.476
1971-03-04,12.481,12.481,12.481,12.481
1971-03-05,12.491,12.491,12.491,12.491
1971-03-08,12.499,12.499,12.499,12.499
1971-03-09,12.481,12.481,12.481,12.481
1971-03-10,12.481,12.481,12.481,12.481
1971-03-11,12.496,12.496,12.496,12.496
1971-03-12,12.485,12.485,12.485,12.485
1971-03-15,12.488,12.488,12.488,12.488
1971-03-16,12.491,12.491,12.491,12.491
1971-03-17,12.483,12.483,12.483,12.483
1971-03-18,12.491,12.491,12.491,12.491
1971-03-19,12.482,12.482,12.482,12.482
1971-03-22,12.486,12.486,12.486,12.486
1971-03-23,12.485,12.485,12.485,12.485
1971-03-24,12.484,12.484,12.484,12.484
1971-03-25,12.496,12.496,12.496,12.496
1971-03-26,12.503,12.503,12.503,12.503
1971-03-29,12.502,12.502,12.502,12.502
1971-03-30,12.479,12.479,12.479,12.479
1971-03-31,12.475,12.475,12.475,12.475
1971-04-01,12.481,12.481,12.481,12.481
1971-04-02,12.467,12.467,12.467,12.467
1971-04-05,12.482,12.482,12.482,12.482
1971-04-06,12.485,12.485,12.485,12.485
1971-04-07,12.481,12.481,12.481,12.481
1971-04-08,12.485,12.485,12.485,12.485
1971-04-09,12.482,12.482,12.482,12.482
1971-04-12,12.484,12.484,12.484,12.484
1971-04-13,12.49,12.49,12.49,12.49
1971-04-14,12.481,12.481,12.481,12.481
1971-04-15,12.475,12.475,12.475,12.475
1971-04-16,12.49,12.49,12.49,12.49
1971-04-19,12.477,12.477,12.477,12.477
1971-04-20,12.477,12.477,12.477,12.477
1971-04-21,12.475,12.475,12.475,12.475
1971-04-22,12.48,12.48,12.48,12.48
1971-04-23,12.488,12.488,12.488,12.488
1971-04-26,12.495,12.495,12.495,12.495
1971-04-27,12.476,12.476,12.476,12.476
1971-04-28,12.497,12.497,12.497,12.497
1971-04-29,12.495,12.495,12.495,12.495
1971-04-30,12.476,12.476,12.476,12.476
1971-05-03,12.494,12.494,12.494,12.494
1971-05-04,12.491,12.491,12.491,12.491
1971-05-05,12.501,12.501,12.501,12.501
1971-05-06,12.5,12.5,12.5,12.5
1971-05-07,12.518,12.518,12.518,12.518
1971-05-10,12.504,12.504,12.504,12.504
1971-05-11,12.505,12.505,12.505,12.505
1971-05-12,12.508,12.508,12.508,12.508
1971-05-13,12.493,12.493,12.493,12.493
1971-05-14,12.494,12.494,12.494,12.494
1971-05-17,12.496,12.496,12.496,12.496
1971-05-18,12.498,12.498,12.498,12.498
1971-05-19,12.504,12.504,12.504,12.504
1971-05-20,12.505,12.505,12.505,12.505
1971-05-21,12.496,12.496,12.496,12.496
1971-05-24,12.497,12.497,12.497,12.497
1971-05-25,12.498,12.498,12.498,12.498
1971-05-26,12.492,12.492,12.492,12.492
1971-05-27,12.5,12.5,12.5,12.5
1971-05-28,12.48,12.48,12.48,12.48
1971-06-01,12.477,12.477,12.477,12.477
1971-06-02,12.491,12.491,12.491,12.491
1971-06-03,12.491,12.491,12.491,12.491
1971-06-04,12.501,12.501,12.501,12.501
1971-06-07,12.491,12.491,12.491,12.491
1971-06-08,12.482,12.482,12.482,12.482
1971-06-09,12.49,12.49,12.49,12.49
1971-06-10,12.488,12.488,12.488,12.488
1971-06-11,12.485,12.485,12.485,12.485
1971-06-14,12.497,12.497,12.497,12.497
1971-06-15,12.496,12.496,12.496,12.496
1971-06-16,12.492,12.492,12.492,12.492
1971-06-17,12.487,12.487,12.487,12.487
1971-06-18,12.488,12.488,12.488,12.488
1971-06-21,12.484,12.484,12.484,12.484
1971-06-22,12.488,12.488,12.488,12.488
1971-06-23,12.476,12.476,12.476,12.476
1971-06-24,12.488,12.488,12.488,12.488
1971-06-25,12.474,12.474,12.474,12.474
1971-06-28,12.486,12.486,12.486,12.486
1971-06-29,12.472,12.472,12.472,12.472
1971-06-30,12.481,12.481,12.481,12.481
1971-07-01,12.477,12.477,12.477,12.477
1971-07-02,12.492,12.492,12.492,12.492
1971-07-06,12.49,12.49,12.49,12.49
1971-07-07,12.499,12.499,12.499,12.499
1971-07-08,12.493,12.493,12.493,12.493
1971-07-09,12.493,12.493,12.493,12.493
1971-07-12,12.493,12.493,12.493,12.493
1971-07-13,12.49,12.49,12.49,12.49
1971-07-14,12.495,12.495,12.495,12.495
1971-07-15,12.489,12.489,12.489,12.489
1971-07-16,12.494,12.494,12.494,12.494
1971-07-19,12.482,12.482,12.482,12.482
1971-07-20,12.483,12.483,12.483,12.483
1971-07-21,12.486,12.486,12.486,12.486
1971-07-22,12.477,12.477,12.477,12.477
1971-07-23,12.474,12.474,12.474,12.474
1971-07-26,12.472,12.472,12.472,12.472
1971-07-27,12.485,12.485,12.485,12.485
1971-07-28,12.488,12.488,12.488,12.488
1971-07-29,12.49,12.49,12.49,12.49
1971-07-30,12.465,12.465,12.465,12.465
1971-08-02,12.468,12.468,12.468,12.468
1971-08-03,12.471,12.471,12.471,12.471
1971-08-04,12.492,12.492,12.492,12.492
1971-08-05,12.467,12.467,12.467,12.467
1971-08-06,12.489,12.489,12.489,12.489
1971-08-09,12.49,12.49,12.49,12.49
1971-08-10,12.495,12.495,12.495,12.495
1971-08-11,12.493,12.493,12.493,12.493
1971-08-12,12.5,12.5,12.5,12.5
1971-08-13,12.486,12.486,12.486,12.486
1971-08-16,12.465,12.465,12.465,12.465
1971-08-17,12.418,12.418,12.418,12.418
1971-08-18,12.433,12.433,12.433,12.433
1971-08-19,12.385,12.385,12.385,12.385
1971-08-20,12.304,12.304,12.304,12.304
1971-08-23,12.428,12.428,12.428,12.428
1971-08-24,12.447,12.447,12.447,12.447
1971-08-25,12.496,12.496,12.496,12.496
1971-08-26,12.565,12.565,12.565,12.565
1971-08-27,12.517,12.517,12.517,12.517
1971-08-30,12.508,12.508,12.508,12.508
1971-08-31,12.466,12.466,12.466,12.466
1971-09-01,12.491,12.491,12.491,12.491
1971-09-02,12.512,12.512,12.512,12.512
1971-09-03,12.498,12.498,12.498,12.498
1971-09-07,12.489,12.489,12.489,12.489
1971-09-08,12.518,12.518,12.518,12.518
1971-09-09,12.512,12.512,12.512,12.512
1971-09-10,12.515,12.515,12.515,12.515
1971-09-13,12.5,12.5,12.5,12.5
1971-09-14,12.526,12.526,12.526,12.526
1971-09-15,12.53,12.53,12.53,12.53
1971-09-16,12.529,12.529,12.529,12.529
1971-09-17,12.528,12.528,12.528,12.528
1971-09-20,12.543,12.543,12.543,12.543
1971-09-21,12.517,12.517,12.517,12.517
1971-09-22,12.513,12.513,12.513,12.513
1971-09-23,12.539,12.539,12.539,12.539
1971-09-24,12.493,12.493,12.493,12.493
1971-09-27,12.523,12.523,12.523,12.523
1971-09-28,12.509,12.509,12.509,12.509
1971-09-29,12.515,12.515,12.515,12.515
1971-09-30,12.488,12.488,12.488,12.488
1971-10-01,12.483,12.483,12.483,12.483
