Date,Open,High,Low,Close
1971-01-04,5.1658,5.1658,5.1658,5.1658
1971-01-05,5.1621,5.1621,5.1621,5.1621
1971-01-06,5.1642,5.1642,5.1642,5.1642
1971-01-07,5.1654,5.1654,5.1654,5.1654
1971-01-08,5.1584,5.1584,5.1584,5.1584
1971-01-11,5.161,5.161,5.161,5.161
1971-01-12,5.1661,5.1661,5.1661,5.1661
1971-01-13,5.1625,5.1625,5.1625,5.1625
1971-01-14,5.1576,5.1576,5.1576,5.1576
1971-01-15,5.1687,5.1687,5.1687,5.1687
1971-01-18,5.164,5.164,5.164,5.164
1971-01-19,5.1668,5.1668,5.1668,5.1668
1971-01-20,5.1588,5.1588,5.1588,5.1588
1971-01-21,5.1658,5.1658,5.1658,5.1658
1971-01-22,5.1599,5.1599,5.1599,5.1599
1971-01-25,5.1668,5.1668,5.1668,5.1668
1971-01-26,5.1647,5.1647,5.1647,5.1647
1971-01-27,5.1616,5.1616,5.1616,5.1616
1971-01-28,5.166,5.166,5.166,5.166
1971-01-29,5.1708,5.1708,5.1708,5.1708
1971-02-01,5.1788,5.1788,5.1788,5.1788
1971-02-02,5.1745,5.1745,5.1745,5.1745
1971-02-03,5.1735,5.1735,5.1735,5.1735
1971-02-04,5.1698,5.1698,5.1698,5.1698
1971-02-05,5.1799,5.1799,5.1799,5.1799
1971-02-08,5.1825,5.1825,5.1825,5.1825
1971-02-09,5.1825,5.1825,5.1825,5.1825
1971-02-10,5.1841,5.1841,5.1841,5.1841
1971-02-11,5.174,5.174,5.174,5.174
1971-02-16,5.1729,5.1729,5.1729,5.1729
1971-02-17,5.1745,5.1745,5.1745,5.1745
1971-02-18,5.1688,5.1688,5.1688,5.1688
1971-02-19,5.1741,5.1741,5.1741,5.1741
1971-02-22,5.1622,5.1622,5.1622,5.1622
1971-02-23,5.1581,5.1581,5.1581,5.1581
1971-02-24,5.1582,5.1582,5.1582,5.1582
1971-02-25,5.1641,5.1641,5.1641,5.1641
1971-02-26,5.1662,5.1662,5.1662,5.1662
1971-03-01,5.1587,5.1587,5.1587,5.1587
1971-03-02,5.1662,5.1662,5.1662,5.1662
1971-03-03,5.1571,5.1571,5.1571,5.1571
1971-03-04,5.163,5.163,5.163,5.163
1971-03-05,5.1643,5.1643,5.1643,5.1643
1971-03-08,5.1655,5.1655,5.1655,5.1655
1971-03-09,5.1606,5.1606,5.1606,5.1606
1971-03-10,5.1586,5.1586,5.1586,5.1586
1971-03-11,5.1653,5.1653,5.1653,5.1653
1971-03-12,5.1589,5.1589,5.1589,5.1589
1971-03-15,5.1604,5.1604,5.1604,5.1604
1971-03-16,5.1669,5.1669,5.1669,5.1669
1971-03-17,5.1589,5.1589,5.1589,5.1589
1971-03-18,5.1636,5.1636,5.1636,5.1636
1971-03-19,5.1592,5.1592,5.1592,5.1592
1971-03-22,5.1602,5.1602,5.1602,5.1602
1971-03-23,5.1597,5.1597,5.1597,5.1597
1971-03-24,5.1587,5.1587,5.1587,5.1587
1971-03-25,5.1662,5.1662,5.1662,5.1662
1971-03-26,5.1677,5.1677,5.1677,5.1677
1971-03-29,5.1682,5.1682,5.1682,5.1682
1971-03-30,5.1618,5.1618,5.1618,5.1618
1971-03-31,5.1613,5.1613,5.1613,5.1613
1971-04-01,5.1688,5.1688,5.1688,5.1688
1971-04-02,5.1672,5.1672,5.1672,5.1672
1971-04-05,5.1662,5.1662,5.1662,5.1662
1971-04-06,5.162,5.162,5.162,5.162
1971-04-07,5.1656,5.1656,5.1656,5.1656
1971-04-08,5.1662,5.1662,5.1662,5.1662
1971-04-09,5.1651,5.1651,5.1651,5.1651
1971-04-12,5.1656,5.1656,5.1656,5.1656
1971-04-13,5.1688,5.1688,5.1688,5.1688
1971-04-14,5.1613,5.1613,5.1613,5.1613
1971-04-15,5.1582,5.1582,5.1582,5.1582
1971-04-16,5.1651,5.1651,5.1651,5.1651
1971-04-19,5.1571,5.1571,5.1571,5.1571
1971-04-20,5.1582,5.1582,5.1582,5.1582
1971-04-21,5.1571,5.1571,5.1571,5.1571
1971-04-22,5.1587,5.1587,5.1587,5.1587
1971-04-23,5.1634,5.1634,5.1634,5.1634
1971-04-26,5.167,5.167,5.167,5.167
1971-04-27,5.1585,5.1585,5.1585,5.1585
1971-04-28,5.1655,5.1655,5.1655,5.1655
1971-04-29,5.1639,5.1639,5.1639,5.1639
1971-04-30,5.1564,5.1564,5.1564,5.1564
1971-05-03,5.1655,5.1655,5.1655,5.1655
1971-05-04,5.166,5.166,5.166,5.166
1971-05-05,5.1677,5.1677,5.1677,5.1677
1971-05-06,5.1677,5.1677,5.1677,5.1677
1971-05-07,5.1757,5.1757,5.1757,5.1757
1971-05-10,5.1729,5.1729,5.1729,5.1729
1971-05-11,5.1729,5.1729,5.1729,5.1729
1971-05-12,5.1724,5.1724,5.1724,5.1724
1971-05-13,5.1655,5.1655,5.1655,5.1655
1971-05-14,5.1655,5.1655,5.1655,5.1655
