Date,Eonia Rate
8/16/17,-0.358
8/15/17,-0.356
8/14/17,-0.355
8/11/17,-0.356
8/10/17,-0.353
8/9/17,-0.354
8/8/17,-0.355
8/7/17,-0.353
8/4/17,-0.356
8/3/17,-0.35
8/2/17,-0.354
8/1/17,-0.356
7/31/17,-0.348
7/28/17,-0.359
7/27/17,-0.361
7/26/17,-0.361
7/25/17,-0.362
7/24/17,-0.361
7/21/17,-0.361
7/20/17,-0.362
7/19/17,-0.362
7/18/17,-0.362
7/17/17,-0.362
7/14/17,-0.361
7/13/17,-0.36
7/12/17,-0.359
7/11/17,-0.36
7/10/17,-0.36
7/7/17,-0.359
7/6/17,-0.359
7/5/17,-0.357
7/4/17,-0.357
7/3/17,-0.356
6/30/17,-0.35
6/29/17,-0.36
6/28/17,-0.362
6/27/17,-0.362
6/26/17,-0.362
6/23/17,-0.362
6/22/17,-0.362
6/21/17,-0.362
6/20/17,-0.362
6/19/17,-0.36
6/16/17,-0.355
6/15/17,-0.361
6/14/17,-0.358
6/13/17,-0.358
6/12/17,-0.358
6/9/17,-0.36
6/8/17,-0.358
6/7/17,-0.362
6/6/17,-0.358
6/5/17,-0.373
6/2/17,-0.331
6/1/17,-0.355
5/31/17,-0.348
5/30/17,-0.361
5/29/17,-0.361
5/26/17,-0.359
5/25/17,-0.365
5/24/17,-0.359
5/23/17,-0.36
5/22/17,-0.359
5/19/17,-0.36
5/18/17,-0.362
5/17/17,-0.359
5/16/17,-0.367
5/15/17,-0.358
5/12/17,-0.358
5/11/17,-0.361
5/10/17,-0.358
5/9/17,-0.357
5/8/17,-0.356
5/5/17,-0.357
5/4/17,-0.357
5/3/17,-0.357
5/2/17,-0.356
4/28/17,-0.351
4/27/17,-0.362
4/26/17,-0.363
4/25/17,-0.362
4/24/17,-0.358
4/21/17,-0.358
4/20/17,-0.358
4/19/17,-0.359
4/18/17,-0.359
4/13/17,-0.358
4/12/17,-0.359
4/11/17,-0.358
4/10/17,-0.357
4/7/17,-0.353
4/6/17,-0.353
4/5/17,-0.352
4/4/17,-0.351
4/3/17,-0.353
3/31/17,-0.355
3/30/17,-0.356
3/29/17,-0.357
3/28/17,-0.357
3/27/17,-0.357
3/24/17,-0.356
3/23/17,-0.357
3/22/17,-0.357
3/21/17,-0.347
3/20/17,-0.35
3/17/17,-0.353
3/16/17,-0.354
3/15/17,-0.354
3/14/17,-0.354
3/13/17,-0.353
3/10/17,-0.352
3/9/17,-0.353
3/8/17,-0.353
3/7/17,-0.353
3/6/17,-0.352
3/3/17,-0.349
3/2/17,-0.351
3/1/17,-0.35
2/28/17,-0.345
2/27/17,-0.357
2/24/17,-0.359
2/23/17,-0.356
2/22/17,-0.36
2/21/17,-0.356
2/20/17,-0.354
2/17/17,-0.355
2/16/17,-0.354
2/15/17,-0.353
2/14/17,-0.353
2/13/17,-0.354
2/10/17,-0.352
2/9/17,-0.353
2/8/17,-0.35
2/7/17,-0.349
2/6/17,-0.351
2/3/17,-0.348
2/2/17,-0.351
2/1/17,-0.347
1/31/17,-0.345
1/30/17,-0.35
1/27/17,-0.351
1/26/17,-0.352
1/25/17,-0.354
1/24/17,-0.353
1/23/17,-0.353
1/20/17,-0.351
1/19/17,-0.351
1/18/17,-0.352
1/17/17,-0.352
1/16/17,-0.353
1/13/17,-0.352
1/12/17,-0.353
1/11/17,-0.351
1/10/17,-0.351
1/9/17,-0.351
1/6/17,-0.356
1/5/17,-0.354
1/4/17,-0.345
1/3/17,-0.348
1/2/17,-0.356
12/30/16,-0.329
12/29/16,-0.355
12/28/16,-0.354
12/27/16,-0.355
12/23/16,-0.356
12/22/16,-0.354
12/21/16,-0.353
12/20/16,-0.354
12/19/16,-0.354
12/16/16,-0.354
12/15/16,-0.356
12/14/16,-0.351
12/13/16,-0.352
12/12/16,-0.35
12/9/16,-0.348
12/8/16,-0.346
12/7/16,-0.349
12/6/16,-0.351
12/5/16,-0.347
12/2/16,-0.347
12/1/16,-0.344
11/30/16,-0.343
11/29/16,-0.351
