Date,EURIBOR,SONIA
4-Jan-99,3.234,5.87
5-Jan-99,3.222,5.7075
6-Jan-99,3.214,5.9969
7-Jan-99,3.206,6.1644
8-Jan-99,3.196,6.0579
11-Jan-99,3.193,5.9405
12-Jan-99,3.19,5.8322
13-Jan-99,3.183,5.7514
14-Jan-99,3.163,5.7995
15-Jan-99,3.134,5.8743
18-Jan-99,3.102,5.8293
19-Jan-99,3.056,6.147
20-Jan-99,3.054,6.1331
21-Jan-99,3.056,5.9009
22-Jan-99,3.059,6.2909
25-Jan-99,3.069,5.9302
26-Jan-99,3.08,5.9369
27-Jan-99,3.08,5.8535
28-Jan-99,3.077,5.9152
29-Jan-99,3.074,6.9125
1-Feb-99,3.078,6.9777
2-Feb-99,3.091,7.1554
3-Feb-99,3.098,7.0211
4-Feb-99,3.105,5.778
5-Feb-99,3.107,5.1908
8-Feb-99,3.113,5.2312
9-Feb-99,3.112,5.6458
10-Feb-99,3.109,5.3485
11-Feb-99,3.106,5.7352
12-Feb-99,3.1,5.8296
15-Feb-99,3.099,5.5055
16-Feb-99,3.092,5.3216
17-Feb-99,3.086,5.3874
18-Feb-99,3.079,5.4418
19-Feb-99,3.077,5.2462
22-Feb-99,3.075,5.3275
23-Feb-99,3.076,5.5352
24-Feb-99,3.079,5.5762
25-Feb-99,3.087,5.9355
26-Feb-99,3.098,6.1965
1-Mar-99,3.099,5.7654
2-Mar-99,3.115,5.9813
3-Mar-99,3.112,5.439
4-Mar-99,3.111,5.3898
5-Mar-99,3.104,5.6121
8-Mar-99,3.093,5.5857
9-Mar-99,3.087,5.2682
10-Mar-99,3.081,5.2619
11-Mar-99,3.074,5.2015
12-Mar-99,3.047,5.3964
15-Mar-99,3.039,5.1885
16-Mar-99,3.036,5.6507
17-Mar-99,3.038,5.3482
18-Mar-99,3.032,5.2003
19-Mar-99,3.027,5.8866
22-Mar-99,3.02,5.6287
23-Mar-99,3.019,5.8539
24-Mar-99,3.014,5.8001
25-Mar-99,2.998,5.4762
26-Mar-99,2.991,5.4497
29-Mar-99,2.985,5.6919
30-Mar-99,2.981,5.5763
31-Mar-99,2.971,6.3772
1-Apr-99,2.942,4.8185
6-Apr-99,2.905,5.8573
7-Apr-99,2.9,5.8328
8-Apr-99,2.895,5.414
9-Apr-99,2.66,5.3268
12-Apr-99,2.661,5.1574
13-Apr-99,2.651,5.1605
14-Apr-99,2.637,5.1844
15-Apr-99,2.628,5.26
16-Apr-99,2.626,5.0776
19-Apr-99,2.621,5.2008
20-Apr-99,2.61,5.5442
21-Apr-99,2.601,5.6504
22-Apr-99,2.596,5.5513
23-Apr-99,2.594,5.0863
26-Apr-99,2.591,5.1941
27-Apr-99,2.59,5.1449
28-Apr-99,2.588,5.3724
29-Apr-99,2.585,5.4185
30-Apr-99,2.583,5.3376
4-May-99,2.581,5.4311
5-May-99,2.581,5.7213
6-May-99,2.579,5.4597
7-May-99,2.581,5.4399
10-May-99,2.582,5.2126
11-May-99,2.579,5.2558
12-May-99,2.578,5.505
13-May-99,2.577,5.2221
14-May-99,2.57,5.0482
17-May-99,2.575,5.1327
18-May-99,2.576,5.2568
19-May-99,2.583,5.1057
20-May-99,2.584,5.3464
21-May-99,2.581,5.0017
24-May-99,2.579,5.0358
25-May-99,2.579,4.9878
26-May-99,2.577,5.0191
27-May-99,2.577,5.4391
28-May-99,2.578,5.488
1-Jun-99,2.585,5.5783
2-Jun-99,2.601,5.3831
3-Jun-99,2.597,5.226
4-Jun-99,2.597,5.0379
7-Jun-99,2.602,5.0057
8-Jun-99,2.6,4.9797
9-Jun-99,2.603,4.9483
10-Jun-99,2.605,5.0102
11-Jun-99,2.619,4.6409
14-Jun-99,2.623,4.6629
15-Jun-99,2.625,4.6361
16-Jun-99,2.628,4.5619
17-Jun-99,2.632,4.5881
18-Jun-99,2.632,4.6168
21-Jun-99,2.637,4.7551
22-Jun-99,2.645,4.6744
23-Jun-99,2.647,5.1528
24-Jun-99,2.649,4.6935
25-Jun-99,2.66,4.6451
28-Jun-99,2.664,4.6998
29-Jun-99,2.667,4.6594
30-Jun-99,2.669,5.582
1-Jul-99,2.655,4.7348
2-Jul-99,2.663,4.7025
5-Jul-99,2.662,4.6792
6-Jul-99,2.663,4.6802
7-Jul-99,2.663,4.761
8-Jul-99,2.664,4.746
9-Jul-99,2.665,4.8424
12-Jul-99,2.665,4.8647
13-Jul-99,2.666,4.738
14-Jul-99,2.664,4.8399
15-Jul-99,2.663,5.1945
16-Jul-99,2.693,5.0481
19-Jul-99,2.699,5.3545
20-Jul-99,2.703,5.2191
21-Jul-99,2.697,5.0238
22-Jul-99,2.681,5.2326
23-Jul-99,2.685,5.266
26-Jul-99,2.685,5.1571
27-Jul-99,2.685,4.9851
28-Jul-99,2.686,5.2128
29-Jul-99,2.686,5.2464
30-Jul-99,2.69,5.4054
2-Aug-99,2.69,5.1476
3-Aug-99,2.705,5.2203
4-Aug-99,2.705,5.1657
5-Aug-99,2.701,5.3348
6-Aug-99,2.703,4.8678
9-Aug-99,2.703,5.1727
10-Aug-99,2.704,4.8729
11-Aug-99,2.703,4.7915
12-Aug-99,2.703,4.7047
13-Aug-99,2.704,4.6307
16-Aug-99,2.704,4.7236
17-Aug-99,2.702,4.6125
18-Aug-99,2.678,4.7743
19-Aug-99,2.677,4.6902
20-Aug-99,2.684,4.7081
23-Aug-99,2.684,4.8177
24-Aug-99,2.686,4.7559
25-Aug-99,2.686,4.6948
26-Aug-99,2.686,4.658
27-Aug-99,2.695,4.5999
31-Aug-99,2.697,4.7368
1-Sep-99,2.699,4.73
2-Sep-99,2.698,4.6892
3-Sep-99,2.696,4.6659
6-Sep-99,2.69,4.6607
7-Sep-99,2.688,4.6507
8-Sep-99,2.687,4.6917
9-Sep-99,2.689,4.8888
10-Sep-99,2.692,4.8765
13-Sep-99,2.693,4.8724
14-Sep-99,2.69,4.8029
15-Sep-99,2.69,4.8048
16-Sep-99,2.69,4.7867
17-Sep-99,2.687,4.9641
20-Sep-99,2.681,4.9809
21-Sep-99,2.684,5.0489
22-Sep-99,2.698,4.9859
23-Sep-99,2.698,5.2705
24-Sep-99,2.69,5.127
27-Sep-99,2.69,4.9998
28-Sep-99,2.698,4.9904
29-Sep-99,3.084,5.1655
30-Sep-99,3.126,5.565
1-Oct-99,3.126,5.1557
4-Oct-99,3.225,5.0116
5-Oct-99,3.252,4.9409
6-Oct-99,3.292,4.8647
7-Oct-99,3.263,5.5851
8-Oct-99,3.277,5.1466
11-Oct-99,3.277,5.0124
12-Oct-99,3.298,5.0367
13-Oct-99,3.358,5.0211
14-Oct-99,3.379,4.9878
15-Oct-99,3.433,5.427
18-Oct-99,3.433,4.9814
19-Oct-99,3.429,5.4543
20-Oct-99,3.45,4.9769
21-Oct-99,3.474,4.8935
22-Oct-99,3.451,4.8776
25-Oct-99,3.451,4.8806
26-Oct-99,3.485,4.8729
27-Oct-99,3.501,4.8909
28-Oct-99,3.502,5.1137
29-Oct-99,3.491,5.1776
1-Nov-99,3.501,4.8062
2-Nov-99,3.528,4.7487
3-Nov-99,3.531,4.6675
4-Nov-99,3.517,5.2428
5-Nov-99,3.505,5.4605
8-Nov-99,3.492,5.0741
9-Nov-99,3.461,4.9785
10-Nov-99,3.461,5.1558
11-Nov-99,3.462,5.2786
12-Nov-99,3.449,4.9753
15-Nov-99,3.449,5.3799
16-Nov-99,3.449,5.6008
17-Nov-99,3.449,5.1463
18-Nov-99,3.45,5.2341
19-Nov-99,3.45,5.127
22-Nov-99,3.453,4.9863
23-Nov-99,3.451,5.154
24-Nov-99,3.446,5.176
25-Nov-99,3.444,6.1146
26-Nov-99,3.445,5.6807
29-Nov-99,3.445,5.4571
30-Nov-99,3.448,6.0847
1-Dec-99,3.45,5.5801
2-Dec-99,3.451,5.3255
3-Dec-99,3.454,5.1933
6-Dec-99,3.459,5.0379
7-Dec-99,3.461,4.9223
8-Dec-99,3.461,4.8698
9-Dec-99,3.461,4.9469
10-Dec-99,3.457,4.8669
13-Dec-99,3.455,4.8518
14-Dec-99,3.456,5.0333
15-Dec-99,3.456,5.9648
16-Dec-99,3.458,5.2886
17-Dec-99,3.465,4.9359
20-Dec-99,3.466,4.7861
21-Dec-99,3.466,4.7752
22-Dec-99,3.458,4.7002
23-Dec-99,3.447,4.6569
24-Dec-99,3.449,3.7325
29-Dec-99,3.345,3.1167
30-Dec-99,3.338,3.0423
4-Jan-00,3.343,4.591
5-Jan-00,3.341,4.4584
6-Jan-00,3.331,4.9208
7-Jan-00,3.322,4.4172
10-Jan-00,3.317,4.2968
11-Jan-00,3.315,3.9486
12-Jan-00,3.322,3.6436
13-Jan-00,3.322,5.5285
14-Jan-00,3.321,5.0126
17-Jan-00,3.316,5.4604
18-Jan-00,3.313,5.5056
19-Jan-00,3.308,6.1642
20-Jan-00,3.31,6.0458
21-Jan-00,3.31,5.8912
24-Jan-00,3.317,5.8686
25-Jan-00,3.322,6.0595
26-Jan-00,3.332,6.0749
27-Jan-00,3.4844,6.5169
28-Jan-00,3.486,6.0424
31-Jan-00,3.492,6.606
1-Feb-00,3.496,6.1338
2-Feb-00,3.489,5.8505
3-Feb-00,3.498,5.8447
4-Feb-00,3.493,5.6334
7-Feb-00,3.496,5.2398
8-Feb-00,3.496,5.0384
9-Feb-00,3.492,4.6908
10-Feb-00,3.487,6.2416
11-Feb-00,3.491,5.8519
14-Feb-00,3.49,5.9246
15-Feb-00,3.487,6.0684
16-Feb-00,3.488,6.227
17-Feb-00,3.489,5.73
18-Feb-00,3.531,6.1442
21-Feb-00,3.612,5.8418
22-Feb-00,3.625,6.1601
23-Feb-00,3.632,5.8504
24-Feb-00,3.632,6.3514
25-Feb-00,3.598,5.9295
28-Feb-00,3.616,5.8994
29-Feb-00,3.634,6.0053
1-Mar-00,3.633,6.241
2-Mar-00,3.642,6.3003
3-Mar-00,3.632,5.8338
6-Mar-00,3.64,5.9165
7-Mar-00,3.646,6.2693
8-Mar-00,3.669,5.9069
9-Mar-00,3.714,5.7663
10-Mar-00,3.779,5.4667
13-Mar-00,3.779,5.4238
14-Mar-00,3.786,5.2997
15-Mar-00,3.794,5.2697
16-Mar-00,3.805,5.1976
17-Mar-00,3.771,6.2567
20-Mar-00,3.769,5.7718
21-Mar-00,3.766,6.1537
22-Mar-00,3.766,6.5235
23-Mar-00,3.767,5.6885
24-Mar-00,3.772,5.4785
27-Mar-00,3.797,5.4679
28-Mar-00,3.812,5.3095
29-Mar-00,3.821,5.5004
30-Mar-00,3.834,5.7661
