Date,us_effr
7/3/00,7.03
7/4/00,6.54
7/5/00,6.52
7/6/00,6.51
7/7/00,6.42
7/10/00,6.51
7/11/00,6.39
7/12/00,6.38
7/13/00,6.5
7/14/00,6.51
7/17/00,6.58
7/18/00,6.47
7/19/00,6.45
7/20/00,6.52
7/21/00,6.51
7/24/00,6.52
7/25/00,6.46
7/26/00,6.49
7/27/00,6.52
7/28/00,6.44
7/31/00,6.64
8/1/00,6.51
8/2/00,6.42
8/3/00,6.45
8/4/00,6.44
8/7/00,6.46
8/8/00,6.44
8/9/00,6.48
8/10/00,6.52
8/11/00,6.5
8/14/00,6.58
8/15/00,6.63
8/16/00,6.48
8/17/00,6.47
8/18/00,6.44
8/21/00,6.48
8/22/00,6.42
8/23/00,6.5
8/24/00,6.56
8/25/00,6.54
8/28/00,6.57
8/29/00,6.51
8/30/00,6.51
8/31/00,6.65
9/1/00,6.52
9/4/00,.
9/5/00,6.61
9/6/00,6.56
9/7/00,6.53
9/8/00,6.5
9/11/00,6.5
9/12/00,6.47
9/13/00,6.47
9/14/00,6.5
9/15/00,6.55
9/18/00,6.44
9/19/00,6.4
9/20/00,6.5
9/21/00,6.53
9/22/00,6.48
9/25/00,6.54
9/26/00,6.5
9/27/00,6.5
9/28/00,6.59
9/29/00,6.6
10/2/00,6.68
10/3/00,6.46
10/4/00,6.51
10/5/00,6.54
10/6/00,6.43
10/9/00,.
10/10/00,6.57
10/11/00,6.46
10/12/00,6.47
10/13/00,6.46
10/16/00,6.59
10/17/00,6.45
10/18/00,6.53
10/19/00,6.54
10/20/00,6.5
10/23/00,6.53
10/24/00,6.49
10/25/00,6.53
10/26/00,6.53
10/27/00,6.51
10/30/00,6.59
10/31/00,6.59
11/1/00,6.61
11/2/00,6.54
11/3/00,6.48
11/6/00,6.49
11/7/00,6.48
11/8/00,6.51
11/9/00,6.52
11/10/00,6.48
11/13/00,6.55
11/14/00,6.52
11/15/00,6.61
11/16/00,6.55
11/17/00,6.48
11/20/00,6.52
11/21/00,6.5
11/22/00,6.58
11/23/00,.
11/24/00,6.49
11/27/00,6.5
11/28/00,6.46
11/29/00,6.5
11/30/00,6.62
12/1/00,6.6
12/4/00,6.57
12/5/00,6.51
12/6/00,6.48
12/7/00,6.49
12/8/00,6.47
12/11/00,6.49
12/12/00,6.43
12/13/00,6.47
12/14/00,6.53
12/15/00,6.58
12/18/00,6.5
12/19/00,6.47
12/20/00,6.47
12/21/00,6.48
12/22/00,6.44
12/25/00,.
12/26/00,6.58
12/27/00,6.53
12/28/00,6.53
12/29/00,5.41
1/1/01,.
1/2/01,6.67
1/3/01,6.35
1/4/01,5.92
1/5/01,5.83
1/8/01,5.98
1/9/01,5.95
1/10/01,6.06
1/11/01,6.05
1/12/01,5.98
1/15/01,.
1/16/01,6.2
1/17/01,5.94
1/18/01,5.93
1/19/01,5.92
1/22/01,6
1/23/01,5.97
1/24/01,6.05
1/25/01,6.1
1/26/01,5.96
1/29/01,5.98
1/30/01,5.9
1/31/01,5.74
2/1/01,5.57
2/2/01,5.5
2/5/01,5.52
2/6/01,5.48
2/7/01,5.5
2/8/01,5.5
2/9/01,5.44
2/12/01,5.48
2/13/01,5.46
2/14/01,5.5
2/15/01,5.57
2/16/01,5.46
2/19/01,.
2/20/01,5.57
2/21/01,5.5
2/22/01,5.52
2/23/01,5.46
2/26/01,5.55
2/27/01,5.49
2/28/01,5.59
3/1/01,5.59
3/2/01,5.52
3/5/01,5.52
3/6/01,5.39
3/7/01,5.34
3/8/01,5.46
3/9/01,5.42
3/12/01,5.5
3/13/01,5.5
3/14/01,5.48
3/15/01,5.52
3/16/01,5.4
3/19/01,5.38
3/20/01,5.14
3/21/01,5.05
3/22/01,5.04
3/23/01,4.94
3/26/01,5.03
3/27/01,.
3/28/01,5.05
3/29/01,5.19
3/30/01,5.29
4/2/01,5.3
4/3/01,5.1
4/4/01,5.01
4/5/01,5.04
4/6/01,4.94
4/9/01,4.98
4/10/01,4.96
4/11/01,4.95
4/12/01,5.02
4/13/01,5.01
4/16/01,5.17
4/17/01,4.99
4/18/01,4.67
4/19/01,4.47
4/20/01,4.38
4/23/01,4.4
4/24/01,4.41
4/25/01,4.54
4/26/01,4.57
4/27/01,4.51
4/30/01,4.67
5/1/01,4.61
5/2/01,4.35
5/3/01,4.48
5/4/01,4.41
5/7/01,4.47
5/8/01,4.41
5/9/01,4.43
5/10/01,4.51
5/11/01,4.47
5/14/01,4.43
5/15/01,4.22
5/16/01,4.04
5/17/01,4.04
5/18/01,3.95
5/21/01,4.02
5/22/01,3.99
5/23/01,3.97
5/24/01,3.98
5/25/01,3.94
5/28/01,.
5/29/01,4.09
5/30/01,4.05
5/31/01,4.24
6/1/01,4.14
6/4/01,4.03
6/5/01,3.93
6/6/01,3.91
6/7/01,3.92
6/8/01,4.02
6/11/01,4.03
6/12/01,3.98
6/13/01,4.04
6/14/01,4.03
6/15/01,3.94
6/18/01,3.91
6/19/01,3.91
6/20/01,3.98
6/21/01,4.02
6/22/01,3.98
6/25/01,3.97
6/26/01,3.75
6/27/01,3.68
6/28/01,3.86
6/29/01,3.95
7/2/01,4.11
7/3/01,3.69
7/4/01,.
7/5/01,3.72
7/6/01,3.6
7/9/01,3.67
7/10/01,3.71
7/11/01,3.78
7/12/01,3.78
7/13/01,3.75
7/16/01,3.82
7/17/01,3.71
7/18/01,3.73
7/19/01,3.77
7/20/01,3.8
7/23/01,3.82
7/24/01,3.82
7/25/01,3.89
7/26/01,3.87
7/27/01,3.75
7/30/01,3.79
7/31/01,3.82
8/1/01,3.79
8/2/01,3.68
8/3/01,3.69
8/6/01,3.73
8/7/01,3.69
8/8/01,3.75
8/9/01,3.77
8/10/01,3.7
8/13/01,3.79
8/14/01,3.76
8/15/01,3.83
8/16/01,3.75
8/17/01,3.66
8/20/01,3.64
8/21/01,3.53
8/22/01,3.51
8/23/01,3.55
8/24/01,3.51
8/27/01,3.54
8/28/01,3.5
8/29/01,3.5
8/30/01,3.58
8/31/01,3.66
9/3/01,.
9/4/01,3.67
9/5/01,3.49
9/6/01,3.52
9/7/01,3.44
9/10/01,3.5
9/11/01,3.5
9/12/01,3.56
9/13/01,3.31
9/14/01,3.13
9/17/01,2.13
9/18/01,1.25
9/19/01,1.19
9/20/01,2.22
9/21/01,3.11
9/24/01,3.31
9/25/01,3.11
9/26/01,2.96
9/27/01,3.08
9/28/01,2.75
10/1/01,3.02
10/2/01,2.35
10/3/01,2.27
10/4/01,2.45
10/5/01,2.42
10/8/01,.
10/9/01,2.5
10/10/01,2.42
10/11/01,2.42
10/12/01,2.39
10/15/01,2.51
10/16/01,2.47
10/17/01,2.51
10/18/01,2.5
10/19/01,2.47
10/22/01,2.52
10/23/01,2.48
10/24/01,2.53
10/25/01,2.54
10/26/01,2.51
10/29/01,2.55
10/30/01,2.55
10/31/01,2.66
11/1/01,2.61
11/2/01,2.43
11/5/01,2.45
11/6/01,2.13
11/7/01,2.04
11/8/01,2.03
11/9/01,1.98
11/12/01,.
11/13/01,2.1
11/14/01,2.16
11/15/01,2.22
11/16/01,1.98
11/19/01,2.01
11/20/01,1.97
11/21/01,1.93
11/22/01,.
11/23/01,1.88
11/26/01,2.04
11/27/01,2.01
11/28/01,2.04
11/29/01,2.09
11/30/01,2.06
12/3/01,2.05
12/4/01,1.93
12/5/01,1.89
12/6/01,1.87
12/7/01,1.92
12/10/01,1.9
12/11/01,1.8
12/12/01,1.81
12/13/01,1.86
12/14/01,1.88
12/17/01,1.93
12/18/01,1.71
12/19/01,1.71
12/20/01,1.79
12/21/01,1.78
12/24/01,1.68
12/25/01,.
12/26/01,1.89
12/27/01,1.85
12/28/01,1.54
12/31/01,1.52
1/1/02,.
1/2/02,1.92
1/3/02,1.72
1/4/02,1.61
1/7/02,1.61
1/8/02,1.61
1/9/02,1.74
1/10/02,1.81
1/11/02,1.71
1/14/02,1.78
1/15/02,1.75
1/16/02,1.69
1/17/02,1.68
1/18/02,1.71
1/21/02,.
1/22/02,1.84
1/23/02,1.81
1/24/02,1.8
1/25/02,1.78
1/28/02,1.79
1/29/02,1.78
1/30/02,1.78
1/31/02,1.85
2/1/02,1.77
2/4/02,1.74
2/5/02,1.64
2/6/02,1.66
2/7/02,1.74
2/8/02,1.69
2/11/02,1.76
2/12/02,1.72
2/13/02,1.75
2/14/02,1.81
2/15/02,1.73
2/18/02,1.73
2/19/02,1.77
2/20/02,1.76
2/21/02,1.77
2/22/02,1.71
