Date,euro_libor
1/2/01,4.84125
1/3/01,4.8325
1/4/01,4.8225
1/5/01,4.78
1/8/01,4.77625
1/9/01,4.78125
1/10/01,4.82
1/11/01,4.82938
1/12/01,4.825
1/15/01,4.8225
1/16/01,4.815
1/17/01,4.78875
1/18/01,4.76875
1/19/01,4.7275
1/22/01,4.64
1/23/01,4.29375
1/24/01,4.78875
1/25/01,4.785
1/26/01,4.7925
1/29/01,4.79375
1/30/01,4.795
1/31/01,4.82375
2/1/01,4.7725
2/2/01,4.77938
2/5/01,4.7745
2/6/01,4.7725
2/7/01,4.77213
2/8/01,4.77325
2/9/01,4.77063
2/12/01,4.7705
2/13/01,4.78538
2/14/01,4.9075
2/15/01,4.915
2/16/01,5.02
2/19/01,5.5
2/20/01,5.6
2/21/01,5.75
2/22/01,5.72875
2/23/01,5.3125
2/26/01,4.84875
2/27/01,4.9
2/28/01,5.0425
3/1/01,4.82125
3/2/01,4.82375
3/5/01,4.815
3/6/01,4.825
3/7/01,4.84125
3/8/01,4.875
3/9/01,4.86625
3/12/01,4.85
3/13/01,4.81125
3/14/01,4.80625
3/15/01,4.80125
3/16/01,4.78875
3/19/01,4.8
3/20/01,4.82
3/21/01,4.84125
3/22/01,4.58375
3/23/01,4.475
3/26/01,4.7725
3/27/01,4.7775
3/28/01,4.77875
3/29/01,4.76875
3/30/01,4.8425
4/2/01,4.78375
4/3/01,4.7825
4/4/01,4.77625
4/5/01,4.77375
4/6/01,4.7625
4/9/01,4.75125
4/10/01,4.83875
4/11/01,5.325
4/12/01,5.75375
4/13/01,.
4/16/01,.
4/17/01,5.77375
4/18/01,5.18125
4/19/01,5.45
4/20/01,5.6
4/23/01,5.2
4/24/01,4.79625
4/25/01,4.81125
4/26/01,4.82125
4/27/01,4.825
4/30/01,4.95375
5/1/01,.
5/2/01,4.84125
5/3/01,4.83625
5/4/01,4.8275
5/7/01,4.82
5/8/01,4.81563
5/9/01,4.8125
5/10/01,4.805
5/11/01,4.595
5/14/01,4.585
5/15/01,4.57875
5/16/01,4.575
5/17/01,4.5675
5/18/01,4.5575
5/21/01,4.54375
5/22/01,4.50125
5/23/01,4.80625
5/24/01,4.59875
5/25/01,4.60875
5/28/01,4.6
5/29/01,4.5925
5/30/01,4.57375
5/31/01,4.62125
6/1/01,4.56063
6/4/01,4.55375
6/5/01,4.5425
6/6/01,4.53125
6/7/01,4.50625
6/8/01,4.54563
6/11/01,4.54188
6/12/01,4.54125
6/13/01,4.5425
6/14/01,4.54438
6/15/01,4.535
6/18/01,4.535
6/19/01,4.5325
6/20/01,4.53375
6/21/01,4.40375
6/22/01,4.5475
6/25/01,4.545
6/26/01,4.5775
6/27/01,4.57375
6/28/01,4.57
6/29/01,4.79625
7/2/01,4.56
7/3/01,4.54625
7/4/01,4.54
7/5/01,4.5325
7/6/01,4.53625
7/9/01,4.53625
