Date,AusEERI,UKEERI,CadEERI,EuroEERI,JapEERI,SwisEERI,SwedEERI,USEERI
2-Jan-90,103.5044,90.7445,101.4491,98.9162,101.6916,93.1135,100.5029,103.4538
3-Jan-90,103.2017,90.9773,101.3766,98.5327,102.2567,93.2927,100.5639,103.5061
4-Jan-90,102.5275,90.7776,101.2009,99.3364,102.6414,93.5917,100.2594,102.5578
5-Jan-90,102.5218,91.1766,101.2499,99.4656,102.5522,93.91,100.3203,102.1928
8-Jan-90,102.1366,91.5705,101.1338,99.8067,101.9501,94.159,100.2593,101.9479
9-Jan-90,102.6137,92.1006,101.1274,99.2015,101.4996,94.4634,100.5195,102.4118
10-Jan-90,102.7413,92.4177,101.3502,98.9642,101.5571,95.4036,100.5331,102.255
11-Jan-90,103.2195,92.2114,101.5225,99.1098,101.4017,94.9945,100.6309,102.2489
12-Jan-90,103.2878,92.6,101.4991,99.0123,101.1531,96.163,100.3953,102.0499
15-Jan-90,103.3527,92.7368,101.149,98.5101,101.4405,95.9546,100.7306,102.4302
16-Jan-90,103.0965,92.4029,100.862,98.4672,101.6154,95.6661,100.6,102.7186
17-Jan-90,103.4197,91.9366,100.9127,98.9477,101.2277,96.0282,100.4476,102.5638
18-Jan-90,103.9549,92.2471,100.456,98.2843,101.3213,96.0842,100.5432,103.2131
19-Jan-90,103.8674,92.2508,99.6036,98.1578,101.5975,96.1854,100.433,103.487
22-Jan-90,104.4484,92.4266,99.6449,97.943,101.456,95.9598,100.1548,103.8228
23-Jan-90,101.6844,92.1627,99.857,98.6494,101.2118,96.4452,100.0884,103.2904
24-Jan-90,99.4516,92.128,99.1441,99.0662,101.4675,96.6158,100.2616,102.875
25-Jan-90,99.4876,92.1974,98.625,98.6567,102.013,96.9564,100.1718,103.0767
26-Jan-90,98.9915,92.2778,98.3133,98.5063,103.0661,96.7757,100.3639,102.6987
29-Jan-90,98.9775,93.0088,98.6846,98.8303,102.8268,96.7297,100.2447,102.0944
30-Jan-90,99.3684,93.3652,98.4986,98.7771,102.2615,96.504,100.0646,102.3486
31-Jan-90,99.9896,93.4727,98.9737,98.5389,101.9774,96.3011,100.1405,102.5848
1-Feb-90,100.313,93.4083,98.8798,98.7459,101.6318,95.9817,100.0888,102.6216
2-Feb-90,100.972,93.5285,98.8202,98.5403,101.2734,96.3528,100.1863,102.9135
5-Feb-90,99.4892,93.6996,98.606,99.0272,100.8495,96.6001,99.8754,102.5562
6-Feb-90,99.467,93.7399,98.6147,99.4045,101.0271,96.42,100.0708,102.0621
7-Feb-90,98.5409,93.5848,98.1792,99.6346,100.6905,96.0055,100.0113,102.3208
8-Feb-90,98.1151,93.5008,97.932,99.123,101.299,95.9383,100.21,102.7157
9-Feb-90,97.9312,93.8459,98.1431,98.8712,101.1795,96.1152,100.0504,102.8082
12-Feb-90,97.7015,93.8837,97.513,99.053,101.7826,95.5676,100.1243,102.564
13-Feb-90,98.0315,93.7909,97.7914,98.7158,101.9945,95.9526,99.8137,102.7402
14-Feb-90,96.9918,93.9774,97.1504,98.9375,101.8318,95.9465,99.9677,102.7349
15-Feb-90,97.646,94.1022,97.2545,98.6263,101.8763,96.0902,99.9273,102.8858
16-Feb-90,98.3701,94.0547,97.8527,98.4972,102.0459,96.0807,99.5967,102.7755
19-Feb-90,98.9933,94.3778,97.8279,98.659,101.6427,96.3067,99.6683,102.5854
20-Feb-90,99.1058,94.4541,97.6492,98.7121,101.0219,96.5536,100.0242,102.786
21-Feb-90,98.3719,94.7222,97.5803,98.893,100.8888,96.7346,100.0705,102.5396
22-Feb-90,99.4887,94.7599,98.2119,98.7761,100.5265,96.9739,100.2077,102.5134
23-Feb-90,100.0139,94.7878,97.8743,98.6544,100.0648,97.0534,100.5772,102.9961
26-Feb-90,100.5578,94.4044,98.3069,98.5118,98.9305,97.2163,100.9256,103.6527
27-Feb-90,99.8864,94.1881,98.382,98.8552,98.9996,97.0225,100.7841,103.5546
28-Feb-90,100.0611,94.4273,98.6284,98.4982,99.0322,97.1175,100.8865,103.6715
1-Mar-90,100.8928,93.72,98.9505,98.2677,98.9943,97.0742,101.0494,104.1809
2-Mar-90,100.7014,93.0738,98.6901,98.4146,98.8844,97.089,101.1173,104.5021
5-Mar-90,100.3271,91.9062,98.7808,99.1014,99.0083,97.0171,101.1568,104.2712
6-Mar-90,100.6654,92.4643,99.2547,99.1244,98.7042,96.974,101.0814,104.086
7-Mar-90,100.8683,92.1384,99.4152,99.1624,97.9307,96.7743,101.031,104.592
8-Mar-90,100.8792,92.1451,99.8427,99.3547,98.0185,96.6172,100.822,104.3085
9-Mar-90,101.0034,90.9399,100.091,99.8089,97.8652,96.6275,101.0331,104.4464
12-Mar-90,101.0966,90.7166,99.9587,99.9088,97.3713,96.4061,101.1863,104.8733
13-Mar-90,101.7876,90.4541,100.3563,99.6737,97.2301,96.0466,101.2546,105.2312
14-Mar-90,101.8455,90.7857,100.4853,99.7481,97.529,96.1206,101.0961,104.7955
15-Mar-90,101.0309,90.9332,100.1167,99.9906,96.9966,95.8023,101.1865,104.9983
16-Mar-90,100.3088,91.0403,99.8729,100.1513,97.212,96.3927,101.2195,104.5223
19-Mar-90,100.6082,90.0875,99.5716,101.1841,96.1324,96.0654,101.1617,104.6393
20-Mar-90,101.2024,90.4293,99.9743,100.6605,96.2422,96.1267,101.2916,104.935
21-Mar-90,100.9736,89.7741,100.3838,100.4832,96.1333,96.2618,101.4647,105.3381
22-Mar-90,100.6722,90.0936,100.1185,100.4956,95.6255,96.5708,101.4747,105.4764
23-Mar-90,100.3291,90.3593,100.3863,100.0801,96.7779,96.6339,101.5167,105.0019
26-Mar-90,100.4679,91.1316,100.4746,100.0952,94.9788,96.2708,101.495,105.6995
27-Mar-90,100.5223,91.6631,100.4756,100.0872,94.4195,96.2412,101.4088,105.7452
28-Mar-90,101.0089,91.8976,100.546,100.2255,93.2323,96.5943,101.3762,106.0507
29-Mar-90,101.1717,91.661,100.4885,100.4288,94.1038,96.8601,101.295,105.4288
30-Mar-90,101.3584,92.2266,100.8307,100.4317,93.4767,96.9296,101.2971,105.3028
2-Apr-90,102.2394,91.8497,101.0711,100.5871,92.608,96.9206,101.5275,105.8743
3-Apr-90,102.7432,91.9322,101.2894,100.5788,92.9892,97.0253,101.4461,105.523
4-Apr-90,103.2441,92.272,101.1076,100.4402,93.447,96.6625,101.3809,105.3097
5-Apr-90,101.6482,92.1918,101.0001,100.3081,93.759,96.7955,101.3087,105.3016
6-Apr-90,102.8249,91.8975,101.2964,100.5671,93.7957,97.0644,101.1269,105.065
9-Apr-90,102.8485,91.7434,101.5617,100.7565,93.8276,96.8434,101.2101,104.8547
10-Apr-90,102.9347,91.515,101.5799,100.9632,93.0723,96.9421,101.313,105.1755
11-Apr-90,102.8782,91.4881,101.1942,101.5525,92.8729,97.0307,101.1416,104.8097
12-Apr-90,102.9137,91.3568,101.3327,101.6008,92.8351,97.0651,101.1685,104.7333
17-Apr-90,103.2831,91.1485,101.1014,101.7589,91.9416,96.886,101.1528,105.4506
18-Apr-90,103.3684,91.0853,101.5548,101.8563,92.2831,97.0333,101.212,104.9215
19-Apr-90,103.4341,91.4702,101.5003,101.2948,93.6566,97.2827,101.0778,104.4465
20-Apr-90,103.44,91.4512,101.4482,101.1032,93.4131,97.0902,101.178,104.7915
23-Apr-90,102.8828,91.7176,101.6581,100.5607,93.6571,97.4842,101.1942,105.0337
24-Apr-90,103.2344,91.5624,101.8785,100.845,92.855,97.6151,101.1786,105.1901
25-Apr-90,103.0907,91.3171,101.5907,101.219,92.7436,98.4876,101.2469,104.9213
26-Apr-90,102.2685,91.0964,101.6923,101.4753,92.7654,98.9013,101.0376,104.7553
27-Apr-90,101.3242,91.0838,101.418,101.4228,92.4387,98.9357,101.2032,105.0335
30-Apr-90,100.9926,91.2955,101.2476,101.4327,92.4662,99.4156,101.15,105.0117
1-May-90,100.4948,91.4105,101.2797,101.258,92.6866,99.1843,101.0501,104.9808
2-May-90,101.1065,91.6209,101.0392,101.025,93.0352,99.1473,101.1197,104.9545
3-May-90,101.4829,91.5334,101.0716,101.0976,93.0883,99.2572,101.0826,104.8511
4-May-90,101.2637,92.1075,101.296,101.2778,92.5361,99.45,100.9298,104.5547
8-May-90,101.1469,92.2125,101.1894,101.6496,92.6215,99.5005,100.775,104.1011
9-May-90,100.9255,91.9966,100.7922,102.0988,92.8573,100.6074,100.6166,103.4944
10-May-90,100.9801,91.9052,100.9265,102.0539,92.7116,101.2557,100.4219,103.5981
11-May-90,100.3223,91.8034,99.5926,101.8722,95.069,101.0594,100.3679,102.8803
14-May-90,100.9237,92.1441,99.8818,101.2513,95.2752,101.3504,100.481,103.0314
15-May-90,100.6464,92.0022,99.3687,100.9119,96.6979,101.4063,100.5773,102.7789
16-May-90,100.5438,91.9588,99.7461,101.2558,95.9669,101.032,100.5062,102.8285
17-May-90,100.5659,92.7207,100.0977,100.9585,95.6792,100.7607,100.4041,102.8885
18-May-90,100.4603,92.8348,99.7479,100.865,95.4291,100.8311,100.5524,103.1432
21-May-90,101.1014,93.378,99.6417,100.5281,95.2487,100.4078,100.4218,103.4691
22-May-90,101.2152,93.5159,98.8605,99.773,96.5096,100.787,101.5988,103.4798
23-May-90,100.9253,93.7048,99.2771,99.6232,96.8913,101.4584,100.1636,103.2562
24-May-90,100.6504,93.7085,99.1581,99.7933,96.597,100.9059,100.3908,103.4154
25-May-90,101.1787,93.7438,99.2487,99.2605,97.9758,100.683,100.3998,103.1831
29-May-90,100.9355,93.7194,99.5036,99.5941,97.027,101.5123,100.515,103.1467
30-May-90,101.7533,93.9384,99.6557,99.2986,96.8755,101.3884,100.5724,103.2712
31-May-90,102.1152,93.7264,100.2438,98.9065,96.5032,101.3355,100.6367,103.9458
1-Jun-90,101.729,93.8593,100.3284,99.0043,97.2191,100.7796,100.7444,103.4569
4-Jun-90,102,93.4537,100.0316,99.1185,96.3708,100.3651,100.7387,104.1697
5-Jun-90,101.9202,93.831,100.0879,99.1243,96.3472,100.4852,100.7086,103.9519
6-Jun-90,102.2708,93.9406,100.3226,99.1795,96.2131,100.8259,100.6594,103.7265
7-Jun-90,102.8866,94.1529,100.7954,99.0329,96.2863,100.3661,100.5549,103.6784
8-Jun-90,102.6062,94.1283,100.2914,99.0342,95.9671,99.8691,100.5935,104.1521
11-Jun-90,103.1674,94.0644,100.689,99.3188,95.0824,100.3299,100.5974,104.1552
12-Jun-90,102.9218,95.0051,100.4641,99.0233,95.058,100.5516,100.5784,104.0614
13-Jun-90,102.8002,95.2812,100.454,98.8894,94.8991,100.704,100.5873,104.0712
14-Jun-90,102.8702,95.1958,100.6226,98.8718,95.244,100.8861,100.6065,103.8347
15-Jun-90,103.1178,95.2327,100.4369,98.6647,95.2814,100.3202,100.627,104.2045
18-Jun-90,103.2623,94.9678,100.358,99.2446,95.0899,100.5403,100.4838,103.7648
19-Jun-90,103.6159,95.1137,100.132,99.4883,95.0459,101.1756,100.4701,103.4627
20-Jun-90,103.7008,95.5439,100.2999,99.0675,95.0353,101.1687,100.4909,103.6394
21-Jun-90,104.5768,95.7174,100.1039,99.2044,94.4237,101.338,100.5858,103.7326
22-Jun-90,103.8918,95.9367,99.6853,99.2011,94.4007,101.2408,100.4351,103.8343
25-Jun-90,104.1337,95.9367,99.662,99.2826,94.013,101.6414,100.4916,103.8736
26-Jun-90,103.9307,96.0197,100.2559,99.1382,94.2031,101.337,100.5526,103.6294
27-Jun-90,103.9567,96.1251,100.3462,99.6047,94.3526,100.9756,100.4398,103.1576
28-Jun-90,103.4041,96.0626,100.2593,99.315,95.272,100.8284,100.466,103.039
29-Jun-90,104.0294,96.1682,100.7153,99.2624,95.7807,100.2597,100.3909,102.6632
2-Jul-90,104.0312,96.8162,100.8839,99.2888,96.1337,100.8394,100.3041,102.0827
3-Jul-90,104.2366,97.4224,100.8595,99.1994,95.8399,101.0636,100.1437,102.0414
4-Jul-90,104.4677,97.5009,100.7567,99.2356,96.7114,100.9411,99.9858,101.3777
5-Jul-90,104.1811,97.4541,100.6676,99.2335,96.1415,100.7836,100.1121,101.6908
6-Jul-90,104.0592,97.9324,100.7405,99.0307,96.0079,100.6403,100.1361,101.8142
9-Jul-90,104.3659,98.7497,101.0582,98.9032,95.8414,100.781,100.2516,101.4685
10-Jul-90,104.5577,99.0901,101.077,98.6978,97.2594,100.7405,100.1521,100.7773
11-Jul-90,103.2779,98.3048,100.9083,98.768,97.4454,100.4212,100.1672,101.0568
12-Jul-90,102.7137,98.4046,100.8955,98.4947,97.5827,100.3019,100.1497,101.4487
13-Jul-90,101.7454,98.4036,100.9808,98.7252,97.9868,100.4916,100.0371,100.7921
16-Jul-90,101.1732,98.7131,100.9921,98.5429,98.023,99.375,100.2489,101.0327
17-Jul-90,102.2519,98.9151,101.1793,98.6049,97.7018,99.5398,100.1312,100.9449
18-Jul-90,102.1113,99.2334,101.3763,98.76,98.1464,99.4454,100.0201,100.3225
19-Jul-90,101.3943,98.9993,101.2362,98.7975,97.8238,99.3817,100.1073,100.68
20-Jul-90,101.312,98.9095,101.1889,99.0018,97.0099,99.4007,100.1745,100.9171
23-Jul-90,101.2103,98.7287,101.0061,99.2984,97.0801,100.0738,100.1544,100.5435
24-Jul-90,101.102,98.5976,100.9929,99.5811,96.8295,100.2481,100.0735,100.428
25-Jul-90,101.4059,97.8847,101.3468,99.8963,96.712,100.5562,100.091,100.4287
26-Jul-90,101.2605,98.1681,101.5585,100.0075,95.5621,100.9544,100.1661,100.7147
27-Jul-90,101.6979,98.9544,101.3009,99.7888,96.1205,100.9687,99.8998,100.2485
