Date,jpy_libor
1/2/01,0.7125
1/3/01,0.8525
1/4/01,1.58125
1/5/01,1.16875
1/8/01,0.90875
1/9/01,0.5175
1/10/01,0.45125
1/11/01,0.4475
1/12/01,0.4475
1/15/01,0.4475
1/16/01,0.4425
1/17/01,0.40875
1/18/01,0.405
1/19/01,0.41125
1/22/01,0.53
1/23/01,0.43375
1/24/01,0.4125
1/25/01,0.40625
1/26/01,0.39875
1/29/01,0.49
1/30/01,0.41875
1/31/01,0.395
2/1/01,0.3925
2/2/01,0.38625
2/5/01,0.3725
2/6/01,0.36125
2/7/01,0.35
2/8/01,0.35
2/9/01,0.33625
2/12/01,0.37
2/13/01,0.36
2/14/01,0.36375
2/15/01,0.35125
2/16/01,0.34875
2/19/01,0.3475
2/20/01,0.34625
2/21/01,0.3475
2/22/01,0.34375
2/23/01,0.3375
2/26/01,0.34
2/27/01,0.35
2/28/01,0.29
3/1/01,0.24875
3/2/01,0.2425
3/5/01,0.2375
3/6/01,0.2275
3/7/01,0.23125
3/8/01,0.23375
3/9/01,0.23875
3/12/01,0.23875
3/13/01,0.23875
3/14/01,0.24375
3/15/01,0.235
3/16/01,0.20375
3/19/01,0.1325
3/20/01,0.16875
3/21/01,0.13875
3/22/01,0.12375
3/23/01,0.11875
3/26/01,0.1025
3/27/01,0.09875
3/28/01,0.30125
3/29/01,0.1225
3/30/01,0.12875
4/2/01,0.14125
4/3/01,0.12375
4/4/01,0.1125
4/5/01,0.1025
4/6/01,0.1025
4/9/01,0.095
4/10/01,0.09125
4/11/01,0.085
4/12/01,0.08125
4/13/01,.
4/16/01,.
4/17/01,0.07125
4/18/01,0.07125
4/19/01,0.06875
4/20/01,0.07
4/23/01,0.0675
4/24/01,0.06625
4/25/01,0.0675
4/26/01,0.065
4/27/01,0.0625
4/30/01,0.0725
5/1/01,0.06625
5/2/01,0.0625
5/3/01,0.0625
5/4/01,0.065
5/7/01,.
5/8/01,0.065
5/9/01,0.065
5/10/01,0.06375
5/11/01,0.0625
5/14/01,0.0625
5/15/01,0.0625
5/16/01,0.06125
5/17/01,0.06125
5/18/01,0.06125
5/21/01,0.05875
5/22/01,0.0575
5/23/01,0.0575
5/24/01,0.05875
5/25/01,0.05875
5/28/01,.
5/29/01,0.055
5/30/01,0.055
5/31/01,0.055
6/1/01,0.055
6/4/01,0.05625
6/5/01,0.05625
6/6/01,0.05625
6/7/01,0.055
6/8/01,0.055
6/11/01,0.05625
6/12/01,0.05625
6/13/01,0.05625
6/14/01,0.05625
6/15/01,0.055
6/18/01,0.0525
6/19/01,0.0525
6/20/01,0.05375
6/21/01,0.05625
6/22/01,0.06625
6/25/01,0.07
6/26/01,0.07
6/27/01,0.08625
6/28/01,0.08
6/29/01,0.065
7/2/01,0.065
7/3/01,0.065
7/4/01,0.06375
7/5/01,0.06375
7/6/01,0.0625
7/9/01,0.06375
7/10/01,0.065
7/11/01,0.06
7/12/01,0.05875
7/13/01,0.05625
7/16/01,0.05625
7/17/01,0.05625
7/18/01,0.05625
7/19/01,0.05625
7/20/01,0.0575
7/23/01,0.05875
7/24/01,0.05625
7/25/01,0.05875
7/26/01,0.0575
7/27/01,0.06
7/30/01,0.06
7/31/01,0.05875
8/1/01,0.06
8/2/01,0.05875
8/3/01,0.05875
8/6/01,0.0575
8/7/01,0.05875
8/8/01,0.0575
8/9/01,0.0575
8/10/01,0.05625
8/13/01,0.05625
8/14/01,0.05125
8/15/01,0.04875
