Date,uk_libor
1/2/01,5.81094
1/3/01,6.0975
1/4/01,5.57125
1/5/01,5.37813
1/8/01,5.5
1/9/01,5.34344
1/10/01,5.5
1/11/01,6
1/12/01,6.12188
1/15/01,6
1/16/01,6.09844
1/17/01,5.87625
1/18/01,6.28
1/19/01,6.67313
1/22/01,6.65875
1/23/01,5.535
1/24/01,5.83031
1/25/01,6.67813
1/26/01,5.5
1/29/01,5.66719
1/30/01,5.62563
1/31/01,6
2/1/01,6.87625
2/2/01,5.75
2/5/01,7
2/6/01,7
2/7/01,7
2/8/01,6.48625
2/9/01,5.71938
2/12/01,5.545
2/13/01,5.63063
2/14/01,5.6525
2/15/01,5.68781
2/16/01,5.87563
2/19/01,5.3775
2/20/01,5.83719
2/21/01,5.12188
2/22/01,5.12375
2/23/01,5.185
2/26/01,5
2/27/01,5.5
2/28/01,6.23594
3/1/01,5.75
3/2/01,5
3/5/01,5.22819
3/6/01,5
3/7/01,4.88781
3/8/01,4.85531
3/9/01,4.78688
3/12/01,4.56063
3/13/01,4.77125
3/14/01,4.75
3/15/01,4.85031
3/16/01,5.81438
3/19/01,6.04406
3/20/01,6.61813
3/21/01,5.56094
3/22/01,5.87813
3/23/01,5.3775
3/26/01,6.20969
3/27/01,6.43906
3/28/01,5.34188
3/29/01,6.02875
3/30/01,6.5
4/2/01,6.4875
4/3/01,6.6475
4/4/01,6.82313
4/5/01,6.17281
4/6/01,5
4/9/01,6.38
4/10/01,6.3825
4/11/01,4.69984
4/12/01,4.04563
4/13/01,.
4/16/01,.
4/17/01,5.15094
4/18/01,4.75
4/19/01,4.59328
4/20/01,4.87375
4/23/01,4.87625
4/24/01,5
4/25/01,4.94031
4/26/01,4.92438
4/27/01,5.24219
4/30/01,5.12938
5/1/01,5.59
5/2/01,5.5
5/3/01,5.75
5/4/01,6.01016
5/7/01,.
5/8/01,6.69
5/9/01,6.69719
5/10/01,5.97875
5/11/01,5.79219
5/14/01,5.74609
5/15/01,6.06578
5/16/01,5.25
5/17/01,5.12188
5/18/01,5.08344
5/21/01,5.25
5/22/01,5
5/23/01,5
5/24/01,4.985
5/25/01,4.73359
5/28/01,.
5/29/01,4.885
5/30/01,5.42297
5/31/01,6.12875
6/1/01,5.31938
6/4/01,5.29891
6/5/01,5.13313
6/6/01,5
6/7/01,4.87625
6/8/01,4.79
6/11/01,4.99375
6/12/01,5.25
6/13/01,5.59344
6/14/01,5.75
6/15/01,4.65406
6/18/01,4.51125
6/19/01,4.52906
6/20/01,4.43594
6/21/01,4.37063
6/22/01,4.2625
6/25/01,4.42703
6/26/01,4.40688
6/27/01,4.5725
6/28/01,4.56156
6/29/01,4.69188
7/2/01,5.0175
7/3/01,5.875
7/4/01,5.70844
7/5/01,5.62938
7/6/01,5.30094
7/9/01,5.465
7/10/01,5.5
7/11/01,6.12438
7/12/01,5.94781
7/13/01,4.63
7/16/01,5.92656
7/17/01,5
7/18/01,4.62688
7/19/01,4.5
7/20/01,4.5075
7/23/01,5.25
7/24/01,4.90969
7/25/01,5.25
7/26/01,5.64563
7/27/01,5.11313
7/30/01,5.69344
7/31/01,5.93625
8/1/01,5.75
8/2/01,5.91063
8/3/01,5.68125
8/6/01,6
8/7/01,4.535
8/8/01,4.385
8/9/01,4.37688
8/10/01,4.25625
8/13/01,4.29125
8/14/01,4.255
8/15/01,4.26625
8/16/01,4.25
8/17/01,4.31656
8/20/01,4.37875
8/21/01,4.3775
8/22/01,4.37125
8/23/01,5.75
8/24/01,5.75
8/27/01,.
8/28/01,4.88063
8/29/01,5.42438
8/30/01,4.44
8/31/01,4.35422
9/3/01,4.2725
9/4/01,4.29375
9/5/01,4.265
9/6/01,4.25
9/7/01,4.23375
9/10/01,4.25
9/11/01,5.56313
9/12/01,5.86266
9/13/01,5.3725
9/14/01,5.23625
9/17/01,5.37313
9/18/01,5.54
9/19/01,5.5
9/20/01,4.77375
9/21/01,4.96078
9/24/01,5.34156
9/25/01,4.98219
9/26/01,4.86406
9/27/01,5.37625
9/28/01,5
10/1/01,5.63563
10/2/01,5.69125
10/3/01,5.75
10/4/01,5.27625
10/5/01,5.22563
10/8/01,5.29563
10/9/01,4.6175
10/10/01,4.5
10/11/01,4.75
10/12/01,4.87813
10/15/01,5.02125
10/16/01,4.38688
10/17/01,4
10/18/01,3.86188
10/19/01,4.08719
10/22/01,4.27125
10/23/01,5.01
10/24/01,4.25
10/25/01,4.07344
10/26/01,4.11
10/29/01,4.66594
10/30/01,4.25
10/31/01,3.87813
11/1/01,3.87875
11/2/01,3.88
11/5/01,3.8475
11/6/01,3.76875
11/7/01,3.75
11/8/01,3.69063
11/9/01,3.37813
11/12/01,3.5075
11/13/01,3.5
11/14/01,3.44219
11/15/01,3.44438
11/16/01,4.3825
11/19/01,4.22844
11/20/01,3.75
11/21/01,3.4375
11/22/01,3.37875
11/23/01,3.32438
11/26/01,3.36188
11/27/01,3.31719
11/28/01,3.31844
11/29/01,3.37875
11/30/01,3.7375
12/3/01,4.70719
12/4/01,4.36156
12/5/01,4.65719
12/6/01,4.63375
12/7/01,3.90625
12/10/01,3.885
12/11/01,3.885
12/12/01,4.15438
12/13/01,4.46875
12/14/01,4.50625
12/17/01,4.60313
12/18/01,4.57656
12/19/01,5.125
12/20/01,5.25
12/21/01,5.25
12/24/01,5.25
12/25/01,.
12/26/01,.
12/27/01,5.43063
12/28/01,4.88625
12/31/01,5.25625
1/1/02,.
1/2/02,3.95
1/3/02,3.62813
1/4/02,3.45094
1/7/02,3.75
1/8/02,4
1/9/02,4.0175
1/10/02,3.64188
1/11/02,3.44375
1/14/02,3.795
1/15/02,3.7775
1/16/02,3.88563
1/17/02,4.10906
1/18/02,4.30125
1/21/02,4
1/22/02,4.25
1/23/02,3.93188
1/24/02,3.3775
1/25/02,3.29906
1/28/02,3.37938
1/29/02,3.30438
1/30/02,4.28688
1/31/02,4
2/1/02,4.30063
2/4/02,3.92688
2/5/02,4.25
2/6/02,4.5
2/7/02,3.5
2/8/02,3.43906
2/11/02,4.72594
2/12/02,4.985
2/13/02,3.3775
2/14/02,3.28125
2/15/02,3.31094
2/18/02,3.5
2/19/02,4
2/20/02,3.5
2/21/02,4.3075
2/22/02,4.69469
2/25/02,5
2/26/02,5
2/27/02,3.75
2/28/02,4.015
3/1/02,4.25
3/4/02,5
3/5/02,4.965
3/6/02,3.75
3/7/02,3.5
3/8/02,3.60031
3/11/02,4.08813
3/12/02,3.61625
3/13/02,3.63313
3/14/02,3.5
3/15/02,4.0925
3/18/02,3.75
3/19/02,4.12688
3/20/02,4.69875
3/21/02,4.07281
3/22/02,4.66938
3/25/02,5
3/26/02,3.89875
3/27/02,3.48125
3/28/02,3.36063
3/29/02,.
4/1/02,.
4/2/02,3.55875
4/3/02,3.62875
4/4/02,4.31313
4/5/02,3.3825
4/8/02,3.42656
4/9/02,4.63
4/10/02,3.37438
4/11/02,3.32906
4/12/02,3.29906
4/15/02,3.44063
4/16/02,3.5
4/17/02,3.52
4/18/02,3.48
4/19/02,3.44344
4/22/02,3.64078
4/23/02,3.5
4/24/02,3.5
4/25/02,4.37813
4/26/02,4.25
4/29/02,4.75
4/30/02,4.94188
5/1/02,3.5
5/2/02,3.5
5/3/02,3.5
5/6/02,.
5/7/02,3.495
5/8/02,3.47625
5/9/02,3.75
5/10/02,3.6275
5/13/02,3.68938
5/14/02,3.86375
5/15/02,3.87938
5/16/02,3.62313
5/17/02,4.24375
5/20/02,4.74375
5/21/02,3.5
5/22/02,3.49375
5/23/02,3.46
5/24/02,4.65188
5/27/02,4.92813
5/28/02,4.96875
5/29/02,4.91938
5/30/02,5
5/31/02,4.13563
6/3/02,.
6/4/02,.
6/5/02,4.25
6/6/02,4.35625
6/7/02,3.385
6/10/02,3.37688
6/11/02,3.32531
6/12/02,3.30125
6/13/02,3.28
6/14/02,3.28141
6/17/02,3.37688
6/18/02,3.50375
6/19/02,4.03656
6/20/02,4
6/21/02,3.34688
6/24/02,3.86313
6/25/02,3.32438
6/26/02,3.31094
6/27/02,3.31063
6/28/02,3.3525
7/1/02,3.73
7/2/02,4.16188
7/3/02,4.83688
7/4/02,4.39625
7/5/02,3.31563
7/8/02,4.6225
7/9/02,3.75
7/10/02,3.30906
7/11/02,3.31063
7/12/02,3.30938
7/15/02,4.125
7/16/02,3.89875
7/17/02,3.40625
7/18/02,3.37875
7/19/02,3.75
7/22/02,3.75
7/23/02,3.5
7/24/02,3.55875
7/25/02,3.60906
7/26/02,3.43563
7/29/02,3.96344
7/30/02,4.84688
7/31/02,4.86
8/1/02,4.75
8/2/02,4.75
8/5/02,4.5
8/6/02,4.62625
8/7/02,3.76531
8/8/02,4.09031
8/9/02,4.39688
8/12/02,3.63875
8/13/02,3.43875
8/14/02,3.5
8/15/02,3.63938
8/16/02,3.48875
8/19/02,4.5
8/20/02,3.93
8/21/02,4.25
8/22/02,4.71125
8/23/02,3.95344
8/26/02,.
8/27/02,4.63375
8/28/02,4
8/29/02,3.88375
8/30/02,4.3825
9/2/02,4.75
9/3/02,4
9/4/02,4.18656
9/5/02,4.5
9/6/02,3.75
9/9/02,4.40875
9/10/02,4.50375
9/11/02,4.28
9/12/02,3.49375
9/13/02,3.5
9/16/02,3.47375
9/17/02,3.64125
9/18/02,3.87438
9/19/02,4.365
9/20/02,3.34969
9/23/02,3.34125
9/24/02,3.37188
9/25/02,4.61563
9/26/02,4.61938
9/27/02,3.36688
9/30/02,3.43563
10/1/02,3.41688
10/2/02,3.3975
10/3/02,3.5
10/4/02,3.9725
10/7/02,3.75
10/8/02,3.5
10/9/02,3.51125
10/10/02,4.45125
10/11/02,4.5
10/14/02,4.87438
10/15/02,4.87813
10/16/02,4.775
10/17/02,4.88438
10/18/02,4.06531
10/21/02,4.76875
10/22/02,3.83219
10/23/02,4.09031
10/24/02,4.68219
10/25/02,3.63625
10/28/02,3.74375
10/29/02,3.75
10/30/02,4.2775
10/31/02,3.47625
11/1/02,3.41922
11/4/02,3.39078
11/5/02,3.34438
11/6/02,3.31781
11/7/02,3.25
11/8/02,3.88063
11/11/02,4.87813
11/12/02,3.5
11/13/02,4.03375
11/14/02,3.8925
11/15/02,3.41688
11/18/02,4.63875
11/19/02,3.735
11/20/02,3.35375
11/21/02,3.30625
11/22/02,3.31688
11/25/02,3.3
11/26/02,3.31813
11/27/02,3.6175
11/28/02,4.40469
11/29/02,4.005
12/2/02,4.82469
12/3/02,3.7875
12/4/02,4.24375
12/5/02,4.74375
12/6/02,4.5
12/9/02,4.82344
12/10/02,4.26875
12/11/02,3.37906
12/12/02,3.61875
12/13/02,3.35813
12/16/02,4.41313
12/17/02,4.37688
12/18/02,4.84563
12/19/02,4.7375
12/20/02,4.86688
12/23/02,5
12/24/02,4.75
12/25/02,.
12/26/02,.
12/27/02,3.91469
12/30/02,4.92125
12/31/02,4.9925
1/1/03,.
1/2/03,4.81438
1/3/03,4
1/6/03,4.15313
1/7/03,4.50625
1/8/03,3.71625
1/9/03,3.75
1/10/03,4.335
1/13/03,3.56563
1/14/03,4.34188
1/15/03,4.365
1/16/03,3.5
1/17/03,3.4
1/20/03,3.44063
1/21/03,3.3975
1/22/03,3.5
1/23/03,3.4475
1/24/03,3.44313
1/27/03,3.38
1/28/03,3.39125
1/29/03,3.41297
1/30/03,3.44469
1/31/03,4.2175
2/3/03,4.745
2/4/03,3.5
2/5/03,3.43813
2/6/03,3.62438
2/7/03,3.31094
2/10/03,4.33625
2/11/03,4.4275
2/12/03,4.5975
2/13/03,3.92594
2/14/03,3.68219
2/17/03,3.50375
2/18/03,3.2725
2/19/03,3.145
2/20/03,3.635
2/21/03,3.75375
2/24/03,4.25375
2/25/03,3.245
2/26/03,3.87688
2/27/03,3.63313
2/28/03,3.39375
3/3/03,4.25
3/4/03,3.7325
3/5/03,4.385
3/6/03,3.83484
3/7/03,4.30875
3/10/03,4.49375
3/11/03,4.62688
3/12/03,4.75
3/13/03,4.12313
3/14/03,3.25
3/17/03,4.5
3/18/03,3.44438
3/19/03,3.60125
3/20/03,3.13
3/21/03,3.12625
3/24/03,3.14906
3/25/03,4.37625
3/26/03,4
