Date,chf_libor
1/2/01,3.36833
1/3/01,3.45333
1/4/01,3.5
1/5/01,3.56667
1/8/01,3.55
1/9/01,3.65
1/10/01,3.65833
1/11/01,3.49333
1/12/01,3.56333
1/15/01,3.69667
1/16/01,3.6
1/17/01,3.47
1/18/01,3.40667
1/19/01,3.65833
1/22/01,3.7
1/23/01,3.6
1/24/01,3.50833
1/25/01,3.53167
1/26/01,3.44333
1/29/01,3.49667
1/30/01,3.51167
1/31/01,3.44833
2/1/01,3.44
2/2/01,3.52833
2/5/01,3.52167
2/6/01,3.55
2/7/01,3.55
2/8/01,3.54833
2/9/01,3.51833
2/12/01,3.515
2/13/01,3.455
2/14/01,3.445
2/15/01,3.39333
2/16/01,3.49167
2/19/01,3.6
2/20/01,3.6
2/21/01,3.62333
2/22/01,3.66333
2/23/01,3.41167
2/26/01,3.475
2/27/01,3.45
2/28/01,3.40833
3/1/01,3.42167
3/2/01,3.42
3/5/01,3.44333
3/6/01,3.5
3/7/01,3.51833
3/8/01,3.58
3/9/01,3.6
3/12/01,3.655
3/13/01,3.45333
3/14/01,3.39667
3/15/01,3.45
3/16/01,3.46833
3/19/01,3.5
3/20/01,3.60833
3/21/01,3.61167
3/22/01,3.65
3/23/01,3.49667
3/26/01,3.5
3/27/01,3.4
3/28/01,3.57667
3/29/01,3.45833
3/30/01,3.39667
4/2/01,3.38667
4/3/01,3.36833
4/4/01,3.45667
4/5/01,3.43167
4/6/01,3.38167
4/9/01,3.34333
4/10/01,3.38167
4/11/01,3.285
4/12/01,3.29167
4/17/01,3.29
4/18/01,3.23
4/19/01,3.18167
4/20/01,3.17833
4/23/01,3.09667
4/24/01,3.005
4/25/01,2.96833
4/26/01,3.20333
4/27/01,3.16
4/30/01,3.19
5/1/01,3.18833
5/2/01,3.18667
5/3/01,3.09333
5/4/01,3.15333
5/8/01,3.2
5/9/01,3.24833
5/10/01,3.2
5/11/01,3.22833
5/14/01,3.30667
5/15/01,3.29
5/16/01,3.25
5/17/01,3.28167
5/18/01,3.3
5/21/01,3.3
5/22/01,3.3
5/23/01,3.3
5/24/01,3.305
5/25/01,3.35
5/29/01,3.30333
5/30/01,3.29333
5/31/01,3.32333
6/1/01,3.34833
