Date,can10_yield
16-Aug-17,1.879
15-Aug-17,1.907
14-Aug-17,1.877
11-Aug-17,1.852
10-Aug-17,1.852
9-Aug-17,1.908
8-Aug-17,1.936
7-Aug-17,1.921
6-Aug-17,1.921
4-Aug-17,1.921
3-Aug-17,1.893
2-Aug-17,1.94
1-Aug-17,1.957
31-Jul-17,2.056
28-Jul-17,2.028
27-Jul-17,1.996
26-Jul-17,1.968
25-Jul-17,2.018
24-Jul-17,1.924
21-Jul-17,1.885
20-Jul-17,1.882
19-Jul-17,1.896
18-Jul-17,1.858
17-Jul-17,1.894
16-Jul-17,1.892
14-Jul-17,1.895
13-Jul-17,1.91
12-Jul-17,1.877
11-Jul-17,1.856
10-Jul-17,1.893
7-Jul-17,1.879
6-Jul-17,1.834
5-Jul-17,1.792
4-Jul-17,1.839
2-Jul-17,1.762
1-Jul-17,1.762
30-Jun-17,1.762
29-Jun-17,1.706
28-Jun-17,1.624
27-Jun-17,1.57
26-Jun-17,1.464
25-Jun-17,1.475
24-Jun-17,1.475
23-Jun-17,1.475
22-Jun-17,1.5
21-Jun-17,1.49
20-Jun-17,1.5
19-Jun-17,1.54
16-Jun-17,1.523
15-Jun-17,1.528
14-Jun-17,1.49
13-Jun-17,1.561
12-Jun-17,1.488
9-Jun-17,1.423
8-Jun-17,1.42
7-Jun-17,1.409
6-Jun-17,1.394
5-Jun-17,1.413
2-Jun-17,1.401
1-Jun-17,1.426
31-May-17,1.416
30-May-17,1.415
29-May-17,1.41
26-May-17,1.443
25-May-17,1.462
24-May-17,1.48
23-May-17,1.511
20-May-17,1.471
19-May-17,1.471
18-May-17,1.445
17-May-17,1.456
16-May-17,1.57
15-May-17,1.595
12-May-17,1.572
11-May-17,1.605
10-May-17,1.638
9-May-17,1.621
8-May-17,1.59
7-May-17,1.543
5-May-17,1.543
4-May-17,1.538
3-May-17,1.545
2-May-17,1.516
1-May-17,1.577
30-Apr-17,1.55
28-Apr-17,1.55
27-Apr-17,1.576
26-Apr-17,1.478
25-Apr-17,1.521
24-Apr-17,1.488
23-Apr-17,1.461
22-Apr-17,1.467
21-Apr-17,1.467
20-Apr-17,1.483
19-Apr-17,1.466
18-Apr-17,1.434
17-Apr-17,1.516
15-Apr-17,1.494
13-Apr-17,1.494
12-Apr-17,1.506
11-Apr-17,1.545
10-Apr-17,1.599
7-Apr-17,1.594
6-Apr-17,1.553
5-Apr-17,1.561
4-Apr-17,1.582
3-Apr-17,1.567
31-Mar-17,1.624
30-Mar-17,1.638
29-Mar-17,1.593
28-Mar-17,1.627
27-Mar-17,1.606
26-Mar-17,1.641
24-Mar-17,1.641
23-Mar-17,1.688
22-Mar-17,1.682
21-Mar-17,1.702
20-Mar-17,1.727
18-Mar-17,1.76
17-Mar-17,1.76
16-Mar-17,1.804
15-Mar-17,1.762
14-Mar-17,1.835
13-Mar-17,1.87
10-Mar-17,1.809
9-Mar-17,1.813
8-Mar-17,1.776
7-Mar-17,1.738
6-Mar-17,1.709
3-Mar-17,1.7
2-Mar-17,1.695
1-Mar-17,1.688
28-Feb-17,1.634
27-Feb-17,1.647
24-Feb-17,1.603
23-Feb-17,1.668
22-Feb-17,1.716
21-Feb-17,1.721
19-Feb-17,1.706
17-Feb-17,1.711
16-Feb-17,1.744
