Date,china10_yield
16-Aug-17,3.624
15-Aug-17,3.618
14-Aug-17,3.631
11-Aug-17,3.64
10-Aug-17,3.676
9-Aug-17,3.68
8-Aug-17,3.68
7-Aug-17,3.658
6-Aug-17,3.638
4-Aug-17,3.638
3-Aug-17,3.644
2-Aug-17,3.648
1-Aug-17,3.646
31-Jul-17,3.629
28-Jul-17,3.622
27-Jul-17,3.632
26-Jul-17,3.622
25-Jul-17,3.598
24-Jul-17,3.599
21-Jul-17,3.593
20-Jul-17,3.6
19-Jul-17,3.598
18-Jul-17,3.593
17-Jul-17,3.582
16-Jul-17,3.585
14-Jul-17,3.585
13-Jul-17,3.587
12-Jul-17,3.597
11-Jul-17,3.609
10-Jul-17,3.609
7-Jul-17,3.597
6-Jul-17,3.596
5-Jul-17,3.622
4-Jul-17,3.623
3-Jul-17,3.598
2-Jul-17,3.578
1-Jul-17,3.578
30-Jun-17,3.578
29-Jun-17,3.559
28-Jun-17,3.54
27-Jun-17,3.535
26-Jun-17,3.566
25-Jun-17,3.57
24-Jun-17,3.57
23-Jun-17,3.57
22-Jun-17,3.552
21-Jun-17,3.502
20-Jun-17,3.489
19-Jun-17,3.545
18-Jun-17,3.54
17-Jun-17,3.559
16-Jun-17,3.556
15-Jun-17,3.531
14-Jun-17,3.562
13-Jun-17,3.57
12-Jun-17,3.617
9-Jun-17,3.668
8-Jun-17,3.667
7-Jun-17,3.664
6-Jun-17,3.65
5-Jun-17,3.651
2-Jun-17,3.65
1-Jun-17,3.644
31-May-17,3.67
27-May-17,3.68
26-May-17,3.684
25-May-17,3.689
24-May-17,3.7
23-May-17,3.689
22-May-17,3.662
19-May-17,3.637
18-May-17,3.65
17-May-17,3.645
16-May-17,3.649
15-May-17,3.663
12-May-17,3.669
11-May-17,3.703
10-May-17,3.669
9-May-17,3.64
8-May-17,3.601
7-May-17,3.574
5-May-17,3.574
4-May-17,3.551
3-May-17,3.513
2-May-17,3.497
28-Apr-17,3.477
27-Apr-17,3.469
26-Apr-17,3.475
25-Apr-17,3.512
24-Apr-17,3.493
22-Apr-17,3.454
21-Apr-17,3.454
20-Apr-17,3.435
19-Apr-17,3.433
18-Apr-17,3.434
17-Apr-17,3.401
14-Apr-17,3.359
