Date,fra10_yield
16-Aug-17,0.741
15-Aug-17,0.73
14-Aug-17,0.704
11-Aug-17,0.685
10-Aug-17,0.71
9-Aug-17,0.719
8-Aug-17,0.763
7-Aug-17,0.741
6-Aug-17,0.751
4-Aug-17,0.749
3-Aug-17,0.725
2-Aug-17,0.748
1-Aug-17,0.75
31-Jul-17,0.806
28-Jul-17,0.822
27-Jul-17,0.802
26-Jul-17,0.813
25-Jul-17,0.815
24-Jul-17,0.741
21-Jul-17,0.751
20-Jul-17,0.794
19-Jul-17,0.794
18-Jul-17,0.823
17-Jul-17,0.84
16-Jul-17,0.861
14-Jul-17,0.86
13-Jul-17,0.876
12-Jul-17,0.865
11-Jul-17,0.926
10-Jul-17,0.915
8-Jul-17,0.945
7-Jul-17,0.938
6-Jul-17,0.921
5-Jul-17,0.814
4-Jul-17,0.825
3-Jul-17,0.832
2-Jul-17,0.817
1-Jul-17,0.817
30-Jun-17,0.82
29-Jun-17,0.805
28-Jun-17,0.72
27-Jun-17,0.703
26-Jun-17,0.609
25-Jun-17,0.603
23-Jun-17,0.605
22-Jun-17,0.594
21-Jun-17,0.605
20-Jun-17,0.607
19-Jun-17,0.631
17-Jun-17,0.637
16-Jun-17,0.639
15-Jun-17,0.644
14-Jun-17,0.582
13-Jun-17,0.609
12-Jun-17,0.601
9-Jun-17,0.652
8-Jun-17,0.653
7-Jun-17,0.684
6-Jun-17,0.672
5-Jun-17,0.724
2-Jun-17,0.71
1-Jun-17,0.738
31-May-17,0.716
30-May-17,0.729
29-May-17,0.74
26-May-17,0.763
25-May-17,0.805
24-May-17,0.844
23-May-17,0.836
22-May-17,0.844
19-May-17,0.813
18-May-17,0.809
17-May-17,0.836
16-May-17,0.875
15-May-17,0.89
12-May-17,0.841
11-May-17,0.876
10-May-17,0.769
9-May-17,0.802
8-May-17,0.77
7-May-17,0.779
5-May-17,0.769
4-May-17,0.763
3-May-17,0.735
2-May-17,0.752
1-May-17,0.77
28-Apr-17,0.763
27-Apr-17,0.759
26-Apr-17,0.833
25-Apr-17,0.828
24-Apr-17,0.771
22-Apr-17,0.875
21-Apr-17,0.883
20-Apr-17,0.865
19-Apr-17,0.896
18-Apr-17,0.902
17-Apr-17,0.922
14-Apr-17,0.922
13-Apr-17,0.904
12-Apr-17,0.916
11-Apr-17,0.952
10-Apr-17,0.939
7-Apr-17,0.881
6-Apr-17,0.901
5-Apr-17,0.932
4-Apr-17,0.918
3-Apr-17,0.951
31-Mar-17,0.965
30-Mar-17,0.942
29-Mar-17,0.933
28-Mar-17,0.942
27-Mar-17,0.986
26-Mar-17,0.993
25-Mar-17,0.993
24-Mar-17,1.005
23-Mar-17,1.04
22-Mar-17,1.049
21-Mar-17,1.096
20-Mar-17,1.113
18-Mar-17,1.106
17-Mar-17,1.1
16-Mar-17,1.092
15-Mar-17,1.039
14-Mar-17,1.1
13-Mar-17,1.093
10-Mar-17,1.114
9-Mar-17,1.066
8-Mar-17,1.034
7-Mar-17,0.97
6-Mar-17,0.969
4-Mar-17,0.942
3-Mar-17,0.961
2-Mar-17,0.92
1-Mar-17,0.933
28-Feb-17,0.882
27-Feb-17,0.9
24-Feb-17,0.919
23-Feb-17,0.999
22-Feb-17,1.046
21-Feb-17,1.087
20-Feb-17,1.044
17-Feb-17,1.043
16-Feb-17,1.019
15-Feb-17,1.071
14-Feb-17,1.059
13-Feb-17,1.034
10-Feb-17,1.043
9-Feb-17,0.981
8-Feb-17,1.018
7-Feb-17,1.103
6-Feb-17,1.144
3-Feb-17,1.069
2-Feb-17,1.04
1-Feb-17,1.089
31-Jan-17,1.028
30-Jan-17,1.052
28-Jan-17,1.042
27-Jan-17,1.043
26-Jan-17,1.043
25-Jan-17,0.974
24-Jan-17,0.872
23-Jan-17,0.864
21-Jan-17,0.916
20-Jan-17,0.897
19-Jan-17,0.857
18-Jan-17,0.822
17-Jan-17,0.791
16-Jan-17,0.803
13-Jan-17,0.811
12-Jan-17,0.781
11-Jan-17,0.786
10-Jan-17,0.805
9-Jan-17,0.815
6-Jan-17,0.835
5-Jan-17,0.817
4-Jan-17,0.809
3-Jan-17,0.789
2-Jan-17,0.667
30-Dec-16,0.683
29-Dec-16,0.653
28-Dec-16,0.692
27-Dec-16,0.684
26-Dec-16,0.703
23-Dec-16,0.717
22-Dec-16,0.73
21-Dec-16,0.705
20-Dec-16,0.714
19-Dec-16,0.724
16-Dec-16,0.793
15-Dec-16,0.799
14-Dec-16,0.733
13-Dec-16,0.802
12-Dec-16,0.885
9-Dec-16,0.814
8-Dec-16,0.831
7-Dec-16,0.754
6-Dec-16,0.799
5-Dec-16,0.818
2-Dec-16,0.729
1-Dec-16,0.787
30-Nov-16,0.736
29-Nov-16,0.71
28-Nov-16,0.769
25-Nov-16,0.78
24-Nov-16,0.781
23-Nov-16,0.796
22-Nov-16,0.719
21-Nov-16,0.741
19-Nov-16,0.781
18-Nov-16,0.752
17-Nov-16,0.75
16-Nov-16,0.753
15-Nov-16,0.732
14-Nov-16,0.837
11-Nov-16,0.737
10-Nov-16,0.687
9-Nov-16,0.499
8-Nov-16,0.482
7-Nov-16,0.461
4-Nov-16,0.457
3-Nov-16,0.48
2-Nov-16,0.447
1-Nov-16,0.51
31-Oct-16,0.479
28-Oct-16,0.475
27-Oct-16,0.479
26-Oct-16,0.373
25-Oct-16,0.296
24-Oct-16,0.299
21-Oct-16,0.283
20-Oct-16,0.288
19-Oct-16,0.319
18-Oct-16,0.323
17-Oct-16,0.344
15-Oct-16,0.333
14-Oct-16,0.34
13-Oct-16,0.324
12-Oct-16,0.365
11-Oct-16,0.326
10-Oct-16,0.352
8-Oct-16,0.315
7-Oct-16,0.313
6-Oct-16,0.307
5-Oct-16,0.259
4-Oct-16,0.169
3-Oct-16,0.148
30-Sep-16,0.119
29-Sep-16,0.125
28-Sep-16,0.099
27-Sep-16,0.097
26-Sep-16,0.129
25-Sep-16,0.152
24-Sep-16,0.152
23-Sep-16,0.151
22-Sep-16,0.141
21-Sep-16,0.232
20-Sep-16,0.214
19-Sep-16,0.256
17-Sep-16,0.241
16-Sep-16,0.235
15-Sep-16,0.269
14-Sep-16,0.257
13-Sep-16,0.268
12-Sep-16,0.267
9-Sep-16,0.237
8-Sep-16,0.152
7-Sep-16,0.101
6-Sep-16,0.124
5-Sep-16,0.171
2-Sep-16,0.201
1-Sep-16,0.182
31-Aug-16,0.162
30-Aug-16,0.147
29-Aug-16,0.16
26-Aug-16,0.146
25-Aug-16,0.161
24-Aug-16,0.149
23-Aug-16,0.139
22-Aug-16,0.144
19-Aug-16,0.181
18-Aug-16,0.142
17-Aug-16,0.17
16-Aug-16,0.193
15-Aug-16,0.148
14-Aug-16,0.123
13-Aug-16,0.123
12-Aug-16,0.112
11-Aug-16,0.119
10-Aug-16,0.107
9-Aug-16,0.137
8-Aug-16,0.16
6-Aug-16,0.159
5-Aug-16,0.161
4-Aug-16,0.13
3-Aug-16,0.195
2-Aug-16,0.186
1-Aug-16,0.13
29-Jul-16,0.112
28-Jul-16,0.138
27-Jul-16,0.144
26-Jul-16,0.2
25-Jul-16,0.191
22-Jul-16,0.219
21-Jul-16,0.221
20-Jul-16,0.227
19-Jul-16,0.216
18-Jul-16,0.211
15-Jul-16,0.23
14-Jul-16,0.186
13-Jul-16,0.148
12-Jul-16,0.189
11-Jul-16,0.13
8-Jul-16,0.107
7-Jul-16,0.148
6-Jul-16,0.135
5-Jul-16,0.136
4-Jul-16,0.177
1-Jul-16,0.167
30-Jun-16,0.201
29-Jun-16,0.226
28-Jun-16,0.254
27-Jun-16,0.301
24-Jun-16,0.374
23-Jun-16,0.435
22-Jun-16,0.43
21-Jun-16,0.426
20-Jun-16,0.435
17-Jun-16,0.428
16-Jun-16,0.405
15-Jun-16,0.41
14-Jun-16,0.419
13-Jun-16,0.416
10-Jun-16,0.388
9-Jun-16,0.387
8-Jun-16,0.421
7-Jun-16,0.414
6-Jun-16,0.449
3-Jun-16,0.423
2-Jun-16,0.472
1-Jun-16,0.479
31-May-16,0.486
30-May-16,0.515
27-May-16,0.481
26-May-16,0.485
25-May-16,0.477
24-May-16,0.507
23-May-16,0.524
20-May-16,0.512
19-May-16,0.511
18-May-16,0.516
17-May-16,0.474
16-May-16,0.496
13-May-16,0.475
12-May-16,0.511
11-May-16,0.473
10-May-16,0.48
9-May-16,0.498
6-May-16,0.524
5-May-16,0.549
4-May-16,0.568
3-May-16,0.56
2-May-16,0.625
29-Apr-16,0.651
28-Apr-16,0.612
27-Apr-16,0.638
26-Apr-16,0.632
25-Apr-16,0.603
22-Apr-16,0.569
21-Apr-16,0.552
20-Apr-16,0.49
19-Apr-16,0.527
18-Apr-16,0.497
15-Apr-16,0.474
14-Apr-16,0.504
13-Apr-16,0.486
12-Apr-16,0.51
11-Apr-16,0.471
8-Apr-16,0.442
7-Apr-16,0.444
6-Apr-16,0.455
5-Apr-16,0.365
4-Apr-16,0.391
3-Apr-16,0.368
2-Apr-16,0.379
1-Apr-16,0.391
31-Mar-16,0.411
30-Mar-16,0.42
29-Mar-16,0.416
28-Mar-16,0.452
25-Mar-16,0.456
24-Mar-16,0.452
23-Mar-16,0.471
22-Mar-16,0.475
21-Mar-16,0.491
20-Mar-16,0.472
18-Mar-16,0.481
17-Mar-16,0.49
16-Mar-16,0.563
15-Mar-16,0.588
14-Mar-16,0.543
13-Mar-16,0.527
11-Mar-16,0.542
10-Mar-16,0.587
9-Mar-16,0.541
8-Mar-16,0.495
7-Mar-16,0.548
6-Mar-16,0.566
4-Mar-16,0.585
3-Mar-16,0.532
2-Mar-16,0.568
1-Mar-16,0.511
29-Feb-16,0.472
28-Feb-16,0.504
27-Feb-16,0.504
26-Feb-16,0.505
25-Feb-16,0.51
24-Feb-16,0.517
23-Feb-16,0.542
22-Feb-16,0.528
21-Feb-16,0.57
19-Feb-16,0.568
18-Feb-16,0.576
17-Feb-16,0.647
16-Feb-16,0.65
15-Feb-16,0.617
14-Feb-16,0.664
12-Feb-16,0.657
11-Feb-16,0.588
10-Feb-16,0.624
9-Feb-16,0.619
8-Feb-16,0.603
7-Feb-16,0.626
6-Feb-16,0.622
5-Feb-16,0.633
4-Feb-16,0.636
3-Feb-16,0.611
2-Feb-16,0.651
1-Feb-16,0.684
31-Jan-16,0.65
29-Jan-16,0.649
28-Jan-16,0.734
27-Jan-16,0.754
26-Jan-16,0.748
25-Jan-16,0.788
24-Jan-16,0.803
22-Jan-16,0.803
21-Jan-16,0.775
20-Jan-16,0.831
19-Jan-16,0.869
18-Jan-16,0.871
17-Jan-16,0.878
15-Jan-16,0.865
14-Jan-16,0.903
13-Jan-16,0.891
12-Jan-16,0.914
11-Jan-16,0.922
10-Jan-16,0.874
8-Jan-16,0.877
7-Jan-16,0.922
6-Jan-16,0.883
5-Jan-16,0.92
4-Jan-16,0.938
3-Jan-16,0.991
1-Jan-16,0.98
31-Dec-15,0.993
30-Dec-15,0.995
29-Dec-15,0.997
28-Dec-15,0.908
25-Dec-15,0.982
24-Dec-15,0.989
23-Dec-15,0.987
22-Dec-15,0.955
21-Dec-15,0.896
18-Dec-15,0.892
17-Dec-15,0.941
16-Dec-15,1.017
15-Dec-15,0.988
14-Dec-15,0.904
11-Dec-15,0.865
10-Dec-15,0.887
9-Dec-15,0.922
8-Dec-15,0.883
7-Dec-15,0.9
6-Dec-15,1.018
4-Dec-15,1.01
3-Dec-15,0.995
2-Dec-15,0.786
1-Dec-15,0.79
30-Nov-15,0.794
29-Nov-15,0.779
27-Nov-15,0.77
26-Nov-15,0.8
25-Nov-15,0.803
24-Nov-15,0.845
23-Nov-15,0.878
22-Nov-15,0.823
20-Nov-15,0.815
19-Nov-15,0.811
18-Nov-15,0.826
17-Nov-15,0.858
16-Nov-15,0.855
15-Nov-15,0.87
14-Nov-15,0.87
13-Nov-15,0.879
12-Nov-15,0.927
11-Nov-15,0.933
10-Nov-15,0.956
9-Nov-15,0.996
8-Nov-15,1.019
7-Nov-15,1.02
6-Nov-15,1.024
5-Nov-15,0.951
4-Nov-15,0.962
3-Nov-15,0.934
2-Nov-15,0.929
1-Nov-15,0.868
31-Oct-15,0.867
30-Oct-15,0.87
29-Oct-15,0.878
28-Oct-15,0.787
27-Oct-15,0.794
26-Oct-15,0.846
25-Oct-15,0.858
23-Oct-15,0.85
22-Oct-15,0.857
21-Oct-15,0.934
20-Oct-15,1.008
19-Oct-15,0.851
18-Oct-15,0.837
17-Oct-15,0.836
16-Oct-15,0.835
15-Oct-15,0.846
14-Oct-15,0.834
13-Oct-15,0.877
12-Oct-15,0.871
11-Oct-15,0.904
10-Oct-15,0.909
9-Oct-15,0.907
8-Oct-15,0.878
7-Oct-15,0.886
6-Oct-15,0.898
5-Oct-15,0.862
3-Oct-15,0.813
2-Oct-15,0.813
1-Oct-15,0.853
30-Sep-15,0.902
29-Sep-15,0.917
28-Sep-15,0.927
