Date,spain10_yield
16-Aug-17,1.452
15-Aug-17,1.467
14-Aug-17,1.43
11-Aug-17,1.454
10-Aug-17,1.451
9-Aug-17,1.422
8-Aug-17,1.44
7-Aug-17,1.448
6-Aug-17,1.464
4-Aug-17,1.472
3-Aug-17,1.447
2-Aug-17,1.448
1-Aug-17,1.43
31-Jul-17,1.491
28-Jul-17,1.517
27-Jul-17,1.497
26-Jul-17,1.544
25-Jul-17,1.544
24-Jul-17,1.481
21-Jul-17,1.461
20-Jul-17,1.474
19-Jul-17,1.558
18-Jul-17,1.542
17-Jul-17,1.59
16-Jul-17,1.656
14-Jul-17,1.654
13-Jul-17,1.702
12-Jul-17,1.632
11-Jul-17,1.689
10-Jul-17,1.669
7-Jul-17,1.741
6-Jul-17,1.672
5-Jul-17,1.567
4-Jul-17,1.522
3-Jul-17,1.513
2-Jul-17,1.541
1-Jul-17,1.541
30-Jun-17,1.53
29-Jun-17,1.523
28-Jun-17,1.421
27-Jun-17,1.476
26-Jun-17,1.37
25-Jun-17,1.372
23-Jun-17,1.386
22-Jun-17,1.37
21-Jun-17,1.36
20-Jun-17,1.379
19-Jun-17,1.439
17-Jun-17,1.461
16-Jun-17,1.461
15-Jun-17,1.418
14-Jun-17,1.376
13-Jun-17,1.431
12-Jun-17,1.44
9-Jun-17,1.438
8-Jun-17,1.472
7-Jun-17,1.566
6-Jun-17,1.54
5-Jun-17,1.575
2-Jun-17,1.574
1-Jun-17,1.562
31-May-17,1.546
30-May-17,1.521
29-May-17,1.546
26-May-17,1.534
25-May-17,1.576
24-May-17,1.603
23-May-17,1.61
22-May-17,1.616
19-May-17,1.574
18-May-17,1.562
17-May-17,1.557
16-May-17,1.623
15-May-17,1.632
12-May-17,1.618
11-May-17,1.64
10-May-17,1.598
9-May-17,1.62
8-May-17,1.588
7-May-17,1.576
5-May-17,1.554
4-May-17,1.592
3-May-17,1.606
2-May-17,1.653
28-Apr-17,1.648
27-Apr-17,1.627
26-Apr-17,1.699
25-Apr-17,1.661
24-Apr-17,1.597
22-Apr-17,1.714
21-Apr-17,1.672
20-Apr-17,1.705
19-Apr-17,1.669
18-Apr-17,1.681
17-Apr-17,1.693
13-Apr-17,1.693
12-Apr-17,1.663
11-Apr-17,1.629
10-Apr-17,1.597
7-Apr-17,1.606
6-Apr-17,1.616
5-Apr-17,1.613
4-Apr-17,1.615
3-Apr-17,1.629
