Date,swed10_yield
16-Aug-17,0.679
15-Aug-17,0.675
14-Aug-17,0.622
11-Aug-17,0.583
10-Aug-17,0
9-Aug-17,0.59
8-Aug-17,0.643
7-Aug-17,0.643
6-Aug-17,0.687
5-Aug-17,0.687
4-Aug-17,0.687
3-Aug-17,0.669
2-Aug-17,0.68
1-Aug-17,0.713
31-Jul-17,0.721
28-Jul-17,0.703
27-Jul-17,0.642
26-Jul-17,0.641
25-Jul-17,0.663
24-Jul-17,0.628
21-Jul-17,0.62
20-Jul-17,0.641
19-Jul-17,0.646
18-Jul-17,0.658
17-Jul-17,0.705
16-Jul-17,0.692
14-Jul-17,0.692
13-Jul-17,0.694
12-Jul-17,0.643
11-Jul-17,0.683
10-Jul-17,0.683
7-Jul-17,0.68
6-Jul-17,0.705
5-Jul-17,0.629
4-Jul-17,0.611
3-Jul-17,0.649
2-Jul-17,0.659
1-Jul-17,0.659
30-Jun-17,0.659
29-Jun-17,0.628
28-Jun-17,0.559
27-Jun-17,0.498
26-Jun-17,0.451
25-Jun-17,0.45
23-Jun-17,0.45
22-Jun-17,0.438
21-Jun-17,0.46
20-Jun-17,0.453
19-Jun-17,0.458
17-Jun-17,0.463
16-Jun-17,0.464
15-Jun-17,0.453
14-Jun-17,0.395
13-Jun-17,0.408
12-Jun-17,0.386
9-Jun-17,0.41
8-Jun-17,0.412
7-Jun-17,0.411
6-Jun-17,0.435
5-Jun-17,0.429
2-Jun-17,0.417
1-Jun-17,0.441
31-May-17,0.468
30-May-17,0.498
29-May-17,0.5
26-May-17,0.511
24-May-17,0.519
23-May-17,0.53
22-May-17,0.518
19-May-17,0.511
18-May-17,0.508
17-May-17,0.549
16-May-17,0.581
15-May-17,0.573
12-May-17,0.597
11-May-17,0.621
10-May-17,0.614
9-May-17,0.647
8-May-17,0.651
7-May-17,0.648
5-May-17,0.648
4-May-17,0.604
3-May-17,0.577
2-May-17,0.593
28-Apr-17,0.567
27-Apr-17,0.583
26-Apr-17,0.651
25-Apr-17,0.647
24-Apr-17,0.595
23-Apr-17,0.546
22-Apr-17,0.546
21-Apr-17,0.546
20-Apr-17,0.564
19-Apr-17,0.538
18-Apr-17,0.524
17-Apr-17,0.508
15-Apr-17,0.508
13-Apr-17,0.512
12-Apr-17,0.565
11-Apr-17,0.546
10-Apr-17,0.544
8-Apr-17,0.534
7-Apr-17,0.534
6-Apr-17,0.57
5-Apr-17,0.586
4-Apr-17,0.57
3-Apr-17,0.597
2-Apr-17,0.601
31-Mar-17,0.601
30-Mar-17,0.61
29-Mar-17,0.615
28-Mar-17,0.639
27-Mar-17,0.642
26-Mar-17,0.676
24-Mar-17,0.676
23-Mar-17,0.689
22-Mar-17,0.697
21-Mar-17,0.758
20-Mar-17,0.757
18-Mar-17,0.751
17-Mar-17,0.751
16-Mar-17,0.756
15-Mar-17,0.741
14-Mar-17,0.75
13-Mar-17,0.768
12-Mar-17,0.781
10-Mar-17,0.781
9-Mar-17,0.73
8-Mar-17,0.699
7-Mar-17,0.649
6-Mar-17,0.67
3-Mar-17,0.692
2-Mar-17,0.657
1-Mar-17,0.626
28-Feb-17,0.529
27-Feb-17,0.53
24-Feb-17,0.553
23-Feb-17,0.607
22-Feb-17,0.619
21-Feb-17,0.656
20-Feb-17,0.661
17-Feb-17,0.681
16-Feb-17,0.733
15-Feb-17,0.744
14-Feb-17,0.751
13-Feb-17,0.718
11-Feb-17,0.645
10-Feb-17,0.645
9-Feb-17,0.641
8-Feb-17,0.647
7-Feb-17,0.684
6-Feb-17,0.708
5-Feb-17,0.701
4-Feb-17,0.701
3-Feb-17,0.701
2-Feb-17,0.706
1-Feb-17,0.753
31-Jan-17,0.739
30-Jan-17,0.758
27-Jan-17,0.755
26-Jan-17,0.761
25-Jan-17,0.737
24-Jan-17,0.667
23-Jan-17,0.662
20-Jan-17,0.702
19-Jan-17,0.665
18-Jan-17,0.618
17-Jan-17,0.606
16-Jan-17,0.611
13-Jan-17,0.626
12-Jan-17,0.581
11-Jan-17,0.571
10-Jan-17,0.59
9-Jan-17,0.602
8-Jan-17,0.619
6-Jan-17,0.619
5-Jan-17,0.613
4-Jan-17,0.603
3-Jan-17,0.601
2-Jan-17,0.53
31-Dec-16,0.552
30-Dec-16,0.552
29-Dec-16,0.54
28-Dec-16,0.575
27-Dec-16,0.56
23-Dec-16,0.628
22-Dec-16,0.654
21-Dec-16,0.665
20-Dec-16,0.678
19-Dec-16,0.643
17-Dec-16,0.635
16-Dec-16,0.642
15-Dec-16,0.634
14-Dec-16,0.567
13-Dec-16,0.606
12-Dec-16,0.639
10-Dec-16,0.595
9-Dec-16,0.6
8-Dec-16,0.648
7-Dec-16,0.579
6-Dec-16,0.621
5-Dec-16,0.626
4-Dec-16,0.556
2-Dec-16,0.566
1-Dec-16,0.575
30-Nov-16,0.519
29-Nov-16,0.5
28-Nov-16,0.516
26-Nov-16,0.526
25-Nov-16,0.531
24-Nov-16,0.517
23-Nov-16,0.518
22-Nov-16,0.477
21-Nov-16,0.523
18-Nov-16,0.503
17-Nov-16,0.498
16-Nov-16,0.519
15-Nov-16,0.494
14-Nov-16,0.541
12-Nov-16,0.457
11-Nov-16,0.461
10-Nov-16,0.458
9-Nov-16,0.302
8-Nov-16,0.268
7-Nov-16,0.262
4-Nov-16,0.247
3-Nov-16,0.264
2-Nov-16,0.25
1-Nov-16,0.283
31-Oct-16,0.26
28-Oct-16,0.266
27-Oct-16,0.257
26-Oct-16,0.211
25-Oct-16,0.15
24-Oct-16,0.152
21-Oct-16,0.165
20-Oct-16,0.223
19-Oct-16,0.262
18-Oct-16,0.271
17-Oct-16,0.288
15-Oct-16,0.284
14-Oct-16,0.284
13-Oct-16,0.247
12-Oct-16,0.246
11-Oct-16,0.234
10-Oct-16,0.289
7-Oct-16,0.275
6-Oct-16,0.27
5-Oct-16,0.253
4-Oct-16,0.193
3-Oct-16,0.175
30-Sep-16,0.163
29-Sep-16,0.182
28-Sep-16,0.147
27-Sep-16,0.138
26-Sep-16,0.178
25-Sep-16,0.211
24-Sep-16,0.211
23-Sep-16,0.211
22-Sep-16,0.23
21-Sep-16,0.29
20-Sep-16,0.278
19-Sep-16,0.304
17-Sep-16,0.292
16-Sep-16,0.292
15-Sep-16,0.316
14-Sep-16,0.279
13-Sep-16,0.282
12-Sep-16,0.307
9-Sep-16,0.281
8-Sep-16,0.187
7-Sep-16,0.142
6-Sep-16,0.15
5-Sep-16,0.142
2-Sep-16,0.141
1-Sep-16,0.133
31-Aug-16,0.091
30-Aug-16,0.095
29-Aug-16,0.125
26-Aug-16,0.098
25-Aug-16,0.109
24-Aug-16,0.098
23-Aug-16,0.092
22-Aug-16,0.128
20-Aug-16,0.132
19-Aug-16,0.134
18-Aug-16,0.075
17-Aug-16,0.068
16-Aug-16,0.067
15-Aug-16,0.055
14-Aug-16,0.036
13-Aug-16,0.036
12-Aug-16,0.036
11-Aug-16,0.065
10-Aug-16,0.069
9-Aug-16,0.121
8-Aug-16,0.131
6-Aug-16,0.114
5-Aug-16,0.114
4-Aug-16,0.123
3-Aug-16,0.136
2-Aug-16,0.128
1-Aug-16,0.059
29-Jul-16,0.103
28-Jul-16,0.11
27-Jul-16,0.179
26-Jul-16,0.207
25-Jul-16,0.194
