Date,us10_yield
8/16/17,2.227
8/15/17,2.273
8/14/17,2.224
8/13/17,2.199
8/11/17,2.191
8/10/17,2.201
8/9/17,2.249
8/8/17,2.262
8/7/17,2.257
8/6/17,2.273
8/4/17,2.264
8/3/17,2.219
8/2/17,2.271
8/1/17,2.253
7/31/17,2.296
7/30/17,2.282
7/28/17,2.291
7/27/17,2.319
7/26/17,2.292
7/25/17,2.332
7/24/17,2.257
7/23/17,2.232
7/21/17,2.237
7/20/17,2.257
7/19/17,2.271
7/18/17,2.261
7/17/17,2.314
7/16/17,2.332
7/14/17,2.332
7/13/17,2.348
7/12/17,2.32
7/11/17,2.361
7/10/17,2.373
7/9/17,2.386
7/7/17,2.386
7/6/17,2.368
7/5/17,2.327
7/4/17,2.334
7/3/17,2.348
7/2/17,2.316
7/1/17,2.304
6/30/17,2.304
6/29/17,2.267
6/28/17,2.226
6/27/17,2.203
6/26/17,2.135
6/25/17,2.146
6/23/17,2.144
6/22/17,2.148
6/21/17,2.165
6/20/17,2.156
6/19/17,2.191
6/18/17,2.157
6/16/17,2.153
6/15/17,2.164
6/14/17,2.127
6/13/17,2.211
6/12/17,2.215
6/11/17,2.211
6/9/17,2.202
6/8/17,2.192
6/7/17,2.176
6/6/17,2.145
6/5/17,2.183
6/4/17,2.159
6/2/17,2.159
6/1/17,2.213
5/31/17,2.206
5/30/17,2.208
5/29/17,2.243
5/26/17,2.25
5/25/17,2.255
5/24/17,2.252
5/23/17,2.282
5/22/17,2.252
5/21/17,2.247
5/19/17,2.235
5/18/17,2.228
5/17/17,2.223
5/16/17,2.326
5/15/17,2.343
5/14/17,2.324
5/12/17,2.326
5/11/17,2.393
5/10/17,2.41
5/9/17,2.398
5/8/17,2.389
5/7/17,2.36
5/5/17,2.35
5/4/17,2.352
5/3/17,2.322
5/2/17,2.287
5/1/17,2.322
4/30/17,2.28
4/28/17,2.289
4/27/17,2.3
4/26/17,2.304
4/25/17,2.334
4/24/17,2.273
4/22/17,2.246
4/21/17,2.246
4/20/17,2.236
4/19/17,2.216
4/18/17,2.172
4/17/17,2.248
4/16/17,2.198
4/13/17,2.232
4/12/17,2.244
4/11/17,2.298
4/10/17,2.366
4/9/17,2.382
4/7/17,2.382
4/6/17,2.341
4/5/17,2.339
4/4/17,2.364
4/3/17,2.323
4/2/17,2.395
3/31/17,2.389
3/30/17,2.421
3/29/17,2.38
3/28/17,2.42
3/27/17,2.378
3/26/17,2.384
3/24/17,2.418
3/23/17,2.418
3/22/17,2.403
3/21/17,2.416
3/20/17,2.463
3/19/17,2.5
3/18/17,2.5
3/17/17,2.501
3/16/17,2.537
3/15/17,2.5
3/14/17,2.602
3/13/17,2.626
3/12/17,2.582
3/10/17,2.575
3/9/17,2.609
3/8/17,2.56
3/7/17,2.518
3/6/17,2.494
3/5/17,2.476
3/3/17,2.482
3/2/17,2.482
3/1/17,2.458
2/28/17,2.397
2/27/17,2.367
2/26/17,2.322
2/24/17,2.315
2/23/17,2.376
2/22/17,2.415
2/21/17,2.431
2/20/17,2.436
2/17/17,2.42
2/16/17,2.447
2/15/17,2.497
2/14/17,2.472
2/13/17,2.436
2/12/17,2.425
2/10/17,2.409
2/9/17,2.397
2/8/17,2.34
2/7/17,2.397
2/6/17,2.417
2/5/17,2.472
2/3/17,2.467
2/2/17,2.474
2/1/17,2.477
1/31/17,2.466
1/30/17,2.49
1/29/17,2.479
1/27/17,2.486
1/26/17,2.512
1/25/17,2.515
1/24/17,2.465
1/23/17,2.401
1/22/17,2.439
1/20/17,2.467
1/19/17,2.47
1/18/17,2.428
1/17/17,2.325
1/16/17,2.378
1/13/17,2.398
1/12/17,2.361
1/11/17,2.37
1/10/17,2.377
1/9/17,2.368
1/8/17,2.421
1/6/17,2.421
1/5/17,2.348
1/4/17,2.441
1/3/17,2.448
1/2/17,2.446
12/30/16,2.446
12/29/16,2.477
12/28/16,2.512
12/27/16,2.561
12/26/16,2.543
12/23/16,2.543
12/22/16,2.553
12/21/16,2.538
12/20/16,2.561
12/19/16,2.544
12/18/16,2.582
12/16/16,2.599
12/15/16,2.606
12/14/16,2.567
12/13/16,2.473
12/12/16,2.477
12/11/16,2.488
12/9/16,2.466
12/8/16,2.409
12/7/16,2.344
12/6/16,2.392
12/5/16,2.401
12/4/16,2.365
12/2/16,2.392
12/1/16,2.454
11/30/16,2.39
11/29/16,2.293
11/28/16,2.312
11/27/16,2.341
11/25/16,2.359
11/24/16,2.382
11/23/16,2.355
11/22/16,2.314
11/21/16,2.314
11/20/16,2.353
11/18/16,2.348
11/17/16,2.297
11/16/16,2.214
11/15/16,2.229
11/14/16,2.254
11/13/16,2.173
11/10/16,2.138
11/9/16,2.068
11/8/16,1.858
11/7/16,1.828
11/6/16,1.83
11/4/16,1.778
11/3/16,1.81
11/2/16,1.801
11/1/16,1.827
10/31/16,1.825
10/30/16,1.841
10/28/16,1.849
10/27/16,1.85
10/26/16,1.791
10/25/16,1.758
10/24/16,1.766
10/23/16,1.74
10/21/16,1.736
10/20/16,1.756
10/19/16,1.747
10/18/16,1.74
10/17/16,1.768
10/16/16,1.789
10/15/16,1.805
10/14/16,1.805
10/13/16,1.746
10/12/16,1.771
10/11/16,1.767
10/10/16,1.765
10/7/16,1.723
10/6/16,1.739
10/5/16,1.706
10/4/16,1.69
10/3/16,1.627
10/2/16,1.6
9/30/16,1.598
9/29/16,1.558
9/28/16,1.572
9/27/16,1.56
9/26/16,1.584
9/25/16,1.615
9/24/16,1.62
9/23/16,1.62
9/22/16,1.618
9/21/16,1.655
9/20/16,1.693
9/19/16,1.707
9/18/16,1.694
9/17/16,1.694
9/16/16,1.694
9/15/16,1.698
9/14/16,1.698
9/13/16,1.729
9/12/16,1.666
9/11/16,1.67
9/9/16,1.675
9/8/16,1.601
9/7/16,1.536
9/6/16,1.536
9/5/16,1.609
9/2/16,1.607
9/1/16,1.568
8/31/16,1.578
8/30/16,1.57
8/29/16,1.563
8/28/16,1.626
8/26/16,1.628
8/25/16,1.578
8/24/16,1.563
8/23/16,1.546
8/22/16,1.544
8/21/16,1.597
8/19/16,1.58
8/18/16,1.534
